Year,Units,Anzeigen,Zeitreihe,Geschlecht,Region,GeoCode,Value
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,60.0
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Hamburg,code02,59.1
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,40.7
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,40.2
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,40.9
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,40.3
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,43.1
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,45.4
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,46.1
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,47.2
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,47.6
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,46.3
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,49.4
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,50.4
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,54.1
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,52.4
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Hessen,code06,52.7
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,38.7
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,38.8
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,39.8
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,40.6
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,44.1
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,46.3
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,46.7
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,48.0
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,48.9
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,47.9
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,52.1
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,53.0
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,58.5
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,57.0
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Hessen,code06,57.4
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,42.6
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,41.6
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,41.9
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,39.9
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,42.0
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,44.6
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,45.5
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,46.3
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,46.1
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,44.8
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,46.6
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,47.8
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,49.6
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,48.0
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Hessen,code06,48.3
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,26.3
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,31.1
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,30.5
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,32.3
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,32.3
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,33.2
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,32.1
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,30.8
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,33.2
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,35.4
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,34.8
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,32.7
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,32.7
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,37.9
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Mecklenburg-Vorpommern,code13,38.7
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,27.0
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,37.3
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,37.2
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,39.4
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,37.4
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,36.5
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,35.3
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,38.5
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,42.1
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,43.3
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,44.1
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,39.2
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,39.7
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,44.4
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Mecklenburg-Vorpommern,code13,41.2
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,25.8
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,26.1
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,25.0
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,26.7
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,27.7
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,30.4
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,29.3
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,23.9
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,25.4
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,28.3
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,26.9
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,27.0
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,26.1
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,32.4
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Mecklenburg-Vorpommern,code13,36.4
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,32.1
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,31.7
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,33.0
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,34.0
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,35.6
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,36.2
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,37.5
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,38.1
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,37.9
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,40.1
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,43.2
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,41.4
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,42.6
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,44.0
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Niedersachsen,code03,44.7
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,29.5
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,29.9
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,30.9
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,33.1
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,36.2
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,37.5
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,39.6
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,40.5
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,38.8
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,42.3
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,46.3
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,44.5
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,45.9
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,48.5
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Niedersachsen,code03,49.0
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,34.6
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,33.5
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,35.1
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,34.9
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,34.9
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,34.9
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,35.4
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,35.7
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,37.0
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,37.9
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,40.1
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,38.4
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,39.5
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,39.8
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Niedersachsen,code03,40.7
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,37.0
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,37.8
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,38.7
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,40.9
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,41.7
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,41.3
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,42.0
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,44.4
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,45.0
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,47.8
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,48.7
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,50.3
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,51.0
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,50.6
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Nordrhein-Westfalen,code05,50.9
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,36.4
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,38.0
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,38.4
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,41.5
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,42.6
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,42.1
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,43.8
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,46.8
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,47.4
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,50.8
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,52.6
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,54.2
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,54.6
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,55.1
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Nordrhein-Westfalen,code05,55.3
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,37.5
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,37.7
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,39.0
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,40.3
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,40.8
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,40.5
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,40.3
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,42.0
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,42.6
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,44.8
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,44.8
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,46.3
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,47.6
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,46.1
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Nordrhein-Westfalen,code05,46.7
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,30.4
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,31.9
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,32.9
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,35.3
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,36.7
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,38.5
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,40.0
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,42.3
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,41.9
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,43.7
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,42.6
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,44.2
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,44.1
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,44.6
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Rheinland-Pfalz,code07,48.2
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,26.6
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,29.3
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,31.8
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,35.1
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,37.0
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,37.0
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,40.9
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,42.3
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,42.2
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,45.6
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,44.6
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,46.6
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,47.9
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,46.7
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Rheinland-Pfalz,code07,51.3
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,34.6
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,34.7
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,34.0
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,35.5
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,36.3
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,40.1
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,39.0
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,42.2
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,41.7
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,41.6
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,40.6
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,41.9
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,40.4
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,42.5
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Rheinland-Pfalz,code07,45.2
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,32.7
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,35.0
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,32.4
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,36.2
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,37.2
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,32.9
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,34.8
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,38.3
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,35.7
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,35.8
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,40.2
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,41.4
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,39.8
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,44.6
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Saarland,code10,47.7
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,32.8
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,35.0
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,33.0
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,37.2
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,40.2
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,36.8
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,38.7
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,42.2
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,39.9
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,35.8
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,41.3
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,37.9
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,40.4
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,49.2
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Saarland,code10,54.2
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,32.5
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,35.0
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,31.7
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,35.1
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,34.2
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,28.8
2011,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,30.8
2012,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,34.7
2013,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,32.3
2014,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,35.8
2015,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,39.2
2016,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,44.4
2017,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,39.4
2018,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,40.8
2019,Prozent,Zeitreihe,Insgesamt,Männlich,Saarland,code10,41.5
2005,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,37.9
2006,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,40.6
2007,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,44.3
2008,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,44.4
2009,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,46.0
2010,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,46.4
2011,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,44.0
2012,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,42.7
2013,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,45.8
2014,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,46.2
2015,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,48.3
2016,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,46.2
2017,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,48.0
2018,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,49.2
2019,Prozent,Zeitreihe,Insgesamt,Insgesamt,Sachsen,code14,50.7
2005,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,42.1
2006,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,48.2
2007,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,52.4
2008,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,52.4
2009,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,55.4
2010,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,55.0
2011,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,53.1
2012,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,50.5
2013,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,55.4
2014,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,54.3
2015,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,56.3
2016,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,54.9
2017,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,56.9
2018,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,57.4
2019,Prozent,Zeitreihe,Insgesamt,Weiblich,Sachsen,code14,59.8
2005,Prozent,Zeitreihe,Insgesamt,Männlich,Sachsen,code14,34.3
2006,Prozent,Zeitreihe,Insgesamt,Männlich,Sachsen,code14,34.0
2007,Prozent,Zeitreihe,Insgesamt,Männlich,Sachsen,code14,37.3
2008,Prozent,Zeitreihe,Insgesamt,Männlich,Sachsen,code14,37.8
2009,Prozent,Zeitreihe,Insgesamt,Männlich,Sachsen,code14,37.8
2010,Prozent,Zeitreihe,Insgesamt,Männlich,Sachsen,code14,38.6
