Year,Units,Series,Geschlecht,Bundesland,GeoCode,Value
2008,Prozent,Ausländer,,,,92.11
2009,Prozent,Ausländer,,,,89.91
2010,Prozent,Ausländer,,,,88.24
2011,Prozent,Ausländer,,,,87.39
2012,Prozent,Ausländer,,,,90.43
2013,Prozent,Ausländer,,,,85.84
2014,Prozent,Ausländer,,,,89.83
2015,Prozent,Ausländer,,,,92.7
2016,Prozent,Ausländer,,,,90.32
2017,Prozent,Ausländer,,,,89.94
2018,Prozent,Ausländer,,,,84.69
2019,Prozent,Ausländer,,,,82.8
2020,Prozent,Ausländer,,,,91.13
1996,Prozent,Ausländer,,,,75.0
1997,Prozent,Ausländer,,,,81.82
1998,Prozent,Ausländer,,,,74.07
1999,Prozent,Ausländer,,,,77.78
2000,Prozent,Ausländer,,,,76.6
2001,Prozent,Ausländer,,,,63.64
2002,Prozent,Ausländer,,,,71.83
2003,Prozent,Ausländer,,,,70.42
2004,Prozent,Ausländer,,,,77.67
2005,Prozent,Ausländer,,,,71.43
2006,Prozent,Ausländer,,,,82.73
2007,Prozent,Ausländer,,,,80.0
2008,Prozent,Ausländer,,,,80.77
2009,Prozent,Ausländer,,,,80.39
2010,Prozent,Ausländer,,,,79.63
2011,Prozent,Ausländer,,,,76.72
2012,Prozent,Ausländer,,,,88.28
2013,Prozent,Ausländer,,,,80.19
2014,Prozent,Ausländer,,,,84.62
2015,Prozent,Ausländer,,,,90.85
2016,Prozent,Ausländer,,,,78.65
2017,Prozent,Ausländer,,,,73.33
2018,Prozent,Ausländer,,,,69.66
2019,Prozent,Ausländer,,,,76.82
2020,Prozent,Ausländer,,,,85.14
1996,Prozent,Ausländer,,,,72.75
1997,Prozent,Ausländer,,,,72.74
1998,Prozent,Ausländer,,,,74.82
1999,Prozent,Ausländer,,,,74.08
2000,Prozent,Ausländer,,,,72.35
2001,Prozent,Ausländer,,,,72.6
2002,Prozent,Ausländer,,,,73.43
2003,Prozent,Ausländer,,,,71.54
2004,Prozent,Ausländer,,,,77.64
2005,Prozent,Ausländer,,,,74.99
2006,Prozent,Ausländer,,,,75.08
2007,Prozent,Ausländer,,,,79.87
2008,Prozent,Ausländer,,,,79.99
2009,Prozent,Ausländer,,,,82.71
2010,Prozent,Ausländer,,,,83.79
2011,Prozent,Ausländer,,,,84.33
2012,Prozent,Ausländer,,,,86.37
2013,Prozent,Ausländer,,,,86.31
2014,Prozent,Ausländer,,,,87.78
2015,Prozent,Ausländer,,,,85.58
2016,Prozent,Ausländer,,,,83.71
2017,Prozent,Ausländer,,,,77.08
2018,Prozent,Ausländer,,,,77.15
2019,Prozent,Ausländer,,,,76.87
2020,Prozent,Ausländer,,,,79.55
1996,Prozent,Ausländer,,,,77.39
1997,Prozent,Ausländer,,,,77.38
1998,Prozent,Ausländer,,,,80.09
1999,Prozent,Ausländer,,,,79.91
2000,Prozent,Ausländer,,,,78.29
2001,Prozent,Ausländer,,,,78.5
2002,Prozent,Ausländer,,,,79.39
2003,Prozent,Ausländer,,,,77.11
2004,Prozent,Ausländer,,,,82.59
2005,Prozent,Ausländer,,,,80.47
2006,Prozent,Ausländer,,,,80.29
2007,Prozent,Ausländer,,,,84.13
2008,Prozent,Ausländer,,,,84.02
2009,Prozent,Ausländer,,,,86.18
2010,Prozent,Ausländer,,,,87.12
2011,Prozent,Ausländer,,,,87.83
2012,Prozent,Ausländer,,,,88.97
2013,Prozent,Ausländer,,,,87.67
2014,Prozent,Ausländer,,,,88.58
2015,Prozent,Ausländer,,,,86.47
2016,Prozent,Ausländer,,,,85.79
2017,Prozent,Ausländer,,,,81.97
2018,Prozent,Ausländer,,,,80.63
2019,Prozent,Ausländer,,,,80.46
2020,Prozent,Ausländer,,,,82.14
1996,Prozent,Ausländer,,,,68.58
1997,Prozent,Ausländer,,,,68.59
1998,Prozent,Ausländer,,,,70.57
1999,Prozent,Ausländer,,,,68.86
2000,Prozent,Ausländer,,,,67.16
2001,Prozent,Ausländer,,,,67.37
2002,Prozent,Ausländer,,,,68.05
2003,Prozent,Ausländer,,,,67.12
2004,Prozent,Ausländer,,,,73.52
2005,Prozent,Ausländer,,,,70.44
2006,Prozent,Ausländer,,,,70.37
2007,Prozent,Ausländer,,,,75.92
2008,Prozent,Ausländer,,,,76.21
2009,Prozent,Ausländer,,,,79.43
2010,Prozent,Ausländer,,,,80.65
2011,Prozent,Ausländer,,,,80.96
2012,Prozent,Ausländer,,,,83.91
2013,Prozent,Ausländer,,,,85.03
2014,Prozent,Ausländer,,,,87.04
2015,Prozent,Ausländer,,,,84.74
2016,Prozent,Ausländer,,,,81.82
2017,Prozent,Ausländer,,,,73.24
2018,Prozent,Ausländer,,,,74.52
2019,Prozent,Ausländer,,,,73.9
2020,Prozent,Ausländer,,,,77.23
1996,Prozent,Ausländer,,,,87.33
1997,Prozent,Ausländer,,,,87.02
1998,Prozent,Ausländer,,,,87.21
1999,Prozent,Ausländer,,,,87.73
2000,Prozent,Ausländer,,,,86.85
2001,Prozent,Ausländer,,,,86.36
2002,Prozent,Ausländer,,,,85.59
2003,Prozent,Ausländer,,,,86.27
2004,Prozent,Ausländer,,,,86.08
2005,Prozent,Ausländer,,,,85.94
2006,Prozent,Ausländer,,,,86.21
2007,Prozent,Ausländer,,,,85.76
2008,Prozent,Ausländer,,,,85.94
2009,Prozent,Ausländer,,,,86.86
2010,Prozent,Ausländer,,,,87.72
2011,Prozent,Ausländer,,,,88.65
2012,Prozent,Ausländer,,,,88.99
2013,Prozent,Ausländer,,,,89.76
2014,Prozent,Ausländer,,,,88.45
2015,Prozent,Ausländer,,,,88.88
2016,Prozent,Ausländer,,,,88.39
2017,Prozent,Ausländer,,,,84.61
2018,Prozent,Ausländer,,,,84.01
2019,Prozent,Ausländer,,,,84.11
2020,Prozent,Ausländer,,,,86.75
1996,Prozent,Ausländer,,,,90.22
1997,Prozent,Ausländer,,,,90.23
1998,Prozent,Ausländer,,,,90.41
1999,Prozent,Ausländer,,,,90.43
2000,Prozent,Ausländer,,,,89.66
2001,Prozent,Ausländer,,,,89.52
2002,Prozent,Ausländer,,,,88.65
2003,Prozent,Ausländer,,,,88.98
2004,Prozent,Ausländer,,,,89.16
2005,Prozent,Ausländer,,,,89.08
2006,Prozent,Ausländer,,,,88.81
2007,Prozent,Ausländer,,,,88.52
2008,Prozent,Ausländer,,,,88.56
2009,Prozent,Ausländer,,,,88.67
2010,Prozent,Ausländer,,,,89.59
2011,Prozent,Ausländer,,,,90.52
2012,Prozent,Ausländer,,,,90.64
2013,Prozent,Ausländer,,,,91.47
2014,Prozent,Ausländer,,,,90.31
2015,Prozent,Ausländer,,,,90.39
2016,Prozent,Ausländer,,,,90.27
2017,Prozent,Ausländer,,,,87.8
2018,Prozent,Ausländer,,,,86.67
2019,Prozent,Ausländer,,,,86.48
2020,Prozent,Ausländer,,,,89.09
1996,Prozent,Ausländer,,,,84.68
1997,Prozent,Ausländer,,,,84.14
1998,Prozent,Ausländer,,,,84.26
1999,Prozent,Ausländer,,,,85.2
2000,Prozent,Ausländer,,,,84.15
2001,Prozent,Ausländer,,,,83.45
2002,Prozent,Ausländer,,,,82.65
2003,Prozent,Ausländer,,,,83.72
2004,Prozent,Ausländer,,,,83.05
2005,Prozent,Ausländer,,,,83.08
2006,Prozent,Ausländer,,,,83.78
2007,Prozent,Ausländer,,,,83.14
2008,Prozent,Ausländer,,,,83.35
2009,Prozent,Ausländer,,,,85.1
2010,Prozent,Ausländer,,,,85.88
2011,Prozent,Ausländer,,,,86.86
2012,Prozent,Ausländer,,,,87.39
2013,Prozent,Ausländer,,,,88.06
2014,Prozent,Ausländer,,,,86.67
2015,Prozent,Ausländer,,,,87.44
2016,Prozent,Ausländer,,,,86.61
2017,Prozent,Ausländer,,,,81.7
2018,Prozent,Ausländer,,,,81.72
2019,Prozent,Ausländer,,,,82.02
2020,Prozent,Ausländer,,,,84.6
1996,Prozent,Ausländer,,,,78.34
1997,Prozent,Ausländer,,,,77.16
1998,Prozent,Ausländer,,,,74.8
1999,Prozent,Ausländer,,,,73.01
2000,Prozent,Ausländer,,,,74.77
2001,Prozent,Ausländer,,,,76.79
2002,Prozent,Ausländer,,,,78.12
2003,Prozent,Ausländer,,,,74.56
2004,Prozent,Ausländer,,,,78.52
2005,Prozent,Ausländer,,,,84.96
2006,Prozent,Ausländer,,,,83.22
2007,Prozent,Ausländer,,,,84.9
2008,Prozent,Ausländer,,,,84.1
2009,Prozent,Ausländer,,,,86.37
2010,Prozent,Ausländer,,,,88.19
2011,Prozent,Ausländer,,,,89.17
2012,Prozent,Ausländer,,,,89.98
2013,Prozent,Ausländer,,,,89.66
2014,Prozent,Ausländer,,,,89.03
2015,Prozent,Ausländer,,,,88.14
2016,Prozent,Ausländer,,,,85.99
2017,Prozent,Ausländer,,,,82.43
2018,Prozent,Ausländer,,,,82.13
2019,Prozent,Ausländer,,,,82.19
2020,Prozent,Ausländer,,,,85.87
1996,Prozent,Ausländer,,,,84.84
1997,Prozent,Ausländer,,,,81.93
1998,Prozent,Ausländer,,,,81.25
1999,Prozent,Ausländer,,,,79.73
2000,Prozent,Ausländer,,,,81.06
2001,Prozent,Ausländer,,,,81.8
2002,Prozent,Ausländer,,,,82.88
2003,Prozent,Ausländer,,,,75.96
2004,Prozent,Ausländer,,,,83.19
2005,Prozent,Ausländer,,,,87.27
2006,Prozent,Ausländer,,,,88.08
2007,Prozent,Ausländer,,,,88.83
2008,Prozent,Ausländer,,,,87.21
2009,Prozent,Ausländer,,,,89.78
2010,Prozent,Ausländer,,,,90.6
2011,Prozent,Ausländer,,,,91.32
2012,Prozent,Ausländer,,,,92.0
2013,Prozent,Ausländer,,,,92.19
2014,Prozent,Ausländer,,,,90.51
2015,Prozent,Ausländer,,,,90.49
2016,Prozent,Ausländer,,,,90.3
2017,Prozent,Ausländer,,,,86.9
2018,Prozent,Ausländer,,,,87.23
2019,Prozent,Ausländer,,,,86.59
2020,Prozent,Ausländer,,,,89.58
1996,Prozent,Ausländer,,,,73.15
1997,Prozent,Ausländer,,,,72.91
1998,Prozent,Ausländer,,,,69.49
1999,Prozent,Ausländer,,,,67.54
2000,Prozent,Ausländer,,,,69.43
2001,Prozent,Ausländer,,,,72.61
2002,Prozent,Ausländer,,,,73.63
2003,Prozent,Ausländer,,,,72.91
2004,Prozent,Ausländer,,,,73.95
2005,Prozent,Ausländer,,,,82.78
2006,Prozent,Ausländer,,,,78.8
2007,Prozent,Ausländer,,,,81.15
2008,Prozent,Ausländer,,,,81.15
2009,Prozent,Ausländer,,,,83.28
2010,Prozent,Ausländer,,,,85.92
2011,Prozent,Ausländer,,,,87.15
2012,Prozent,Ausländer,,,,88.08
2013,Prozent,Ausländer,,,,87.31
2014,Prozent,Ausländer,,,,87.63
2015,Prozent,Ausländer,,,,86.06
2016,Prozent,Ausländer,,,,82.16
2017,Prozent,Ausländer,,,,78.71
2018,Prozent,Ausländer,,,,78.3
2019,Prozent,Ausländer,,,,78.45
2020,Prozent,Ausländer,,,,82.71
1996,Prozent,Ausländer,,,,76.62
1997,Prozent,Ausländer,,,,82.82
1998,Prozent,Ausländer,,,,80.57
1999,Prozent,Ausländer,,,,79.21
2000,Prozent,Ausländer,,,,76.11
2001,Prozent,Ausländer,,,,80.79
2002,Prozent,Ausländer,,,,83.09
2003,Prozent,Ausländer,,,,82.31
2004,Prozent,Ausländer,,,,83.25
2005,Prozent,Ausländer,,,,84.88
2006,Prozent,Ausländer,,,,85.9
2007,Prozent,Ausländer,,,,88.1
2008,Prozent,Ausländer,,,,87.91
2009,Prozent,Ausländer,,,,89.67
2010,Prozent,Ausländer,,,,89.76
2011,Prozent,Ausländer,,,,91.0
2012,Prozent,Ausländer,,,,93.21
2013,Prozent,Ausländer,,,,91.69
2014,Prozent,Ausländer,,,,92.54
2015,Prozent,Ausländer,,,,90.84
2016,Prozent,Ausländer,,,,82.98
2017,Prozent,Ausländer,,,,84.89
2018,Prozent,Ausländer,,,,79.79
2019,Prozent,Ausländer,,,,78.45
2020,Prozent,Ausländer,,,,81.92
1996,Prozent,Ausländer,,,,76.62
1997,Prozent,Ausländer,,,,82.82
1998,Prozent,Ausländer,,,,80.57
1999,Prozent,Ausländer,,,,79.21
2000,Prozent,Ausländer,,,,76.11
2001,Prozent,Ausländer,,,,80.79
2002,Prozent,Ausländer,,,,83.09
2003,Prozent,Ausländer,,,,82.31
2004,Prozent,Ausländer,,,,83.25
2005,Prozent,Ausländer,,,,84.88
2006,Prozent,Ausländer,,,,85.9
2007,Prozent,Ausländer,,,,88.1
2008,Prozent,Ausländer,,,,87.91
2009,Prozent,Ausländer,,,,89.67
2010,Prozent,Ausländer,,,,89.76
2011,Prozent,Ausländer,,,,91.0
2012,Prozent,Ausländer,,,,93.21
2013,Prozent,Ausländer,,,,91.69
2014,Prozent,Ausländer,,,,92.54
2015,Prozent,Ausländer,,,,90.84
2016,Prozent,Ausländer,,,,82.98
2017,Prozent,Ausländer,,,,84.89
2018,Prozent,Ausländer,,,,79.79
2019,Prozent,Ausländer,,,,83.86
2020,Prozent,Ausländer,,,,82.01
1996,Prozent,Ausländer,,,,67.72
1997,Prozent,Ausländer,,,,73.36
1998,Prozent,Ausländer,,,,70.9
1999,Prozent,Ausländer,,,,70.56
2000,Prozent,Ausländer,,,,70.29
2001,Prozent,Ausländer,,,,68.13
2002,Prozent,Ausländer,,,,72.62
2003,Prozent,Ausländer,,,,78.01
2004,Prozent,Ausländer,,,,75.37
2005,Prozent,Ausländer,,,,79.06
2006,Prozent,Ausländer,,,,81.9
2007,Prozent,Ausländer,,,,80.42
2008,Prozent,Ausländer,,,,81.17
2009,Prozent,Ausländer,,,,82.93
2010,Prozent,Ausländer,,,,85.81
2011,Prozent,Ausländer,,,,87.84
2012,Prozent,Ausländer,,,,86.67
2013,Prozent,Ausländer,,,,88.59
2014,Prozent,Ausländer,,,,87.79
2015,Prozent,Ausländer,,,,85.16
2016,Prozent,Ausländer,,,,66.92
2017,Prozent,Ausländer,,,,68.35
2018,Prozent,Ausländer,,,,71.94
2019,Prozent,Ausländer,,,,73.84
2020,Prozent,Ausländer,,,,81.83
1996,Prozent,Ausländer,,,,63.87
1997,Prozent,Ausländer,,,,69.06
1998,Prozent,Ausländer,,,,68.83
1999,Prozent,Ausländer,,,,73.29
2000,Prozent,Ausländer,,,,80.17
2001,Prozent,Ausländer,,,,75.35
2002,Prozent,Ausländer,,,,68.18
2003,Prozent,Ausländer,,,,77.86
2004,Prozent,Ausländer,,,,80.12
2005,Prozent,Ausländer,,,,80.69
2006,Prozent,Ausländer,,,,81.16
2007,Prozent,Ausländer,,,,79.42
2008,Prozent,Ausländer,,,,83.77
2009,Prozent,Ausländer,,,,88.1
2010,Prozent,Ausländer,,,,84.83
2011,Prozent,Ausländer,,,,88.31
2012,Prozent,Ausländer,,,,89.42
2013,Prozent,Ausländer,,,,84.83
2014,Prozent,Ausländer,,,,84.62
2015,Prozent,Ausländer,,,,85.25
2016,Prozent,Ausländer,,,,84.6
2017,Prozent,Ausländer,,,,81.78
2018,Prozent,Ausländer,,,,77.35
2019,Prozent,Ausländer,,,,79.09
2020,Prozent,Ausländer,,,,83.25
1996,Prozent,Ausländer,,,,75.51
1997,Prozent,Ausländer,,,,72.5
1998,Prozent,Ausländer,,,,73.91
1999,Prozent,Ausländer,,,,74.22
2000,Prozent,Ausländer,,,,87.67
2001,Prozent,Ausländer,,,,85.0
2002,Prozent,Ausländer,,,,72.63
2003,Prozent,Ausländer,,,,84.92
2004,Prozent,Ausländer,,,,86.83
2005,Prozent,Ausländer,,,,84.7
2006,Prozent,Ausländer,,,,89.27
2007,Prozent,Ausländer,,,,85.71
2008,Prozent,Ausländer,,,,90.41
2009,Prozent,Ausländer,,,,91.34
2010,Prozent,Ausländer,,,,89.84
2011,Prozent,Ausländer,,,,90.57
2012,Prozent,Ausländer,,,,91.75
2013,Prozent,Ausländer,,,,87.88
2014,Prozent,Ausländer,,,,87.29
2015,Prozent,Ausländer,,,,88.4
2016,Prozent,Ausländer,,,,87.58
2017,Prozent,Ausländer,,,,86.26
2018,Prozent,Ausländer,,,,83.9
2019,Prozent,Ausländer,,,,82.65
2020,Prozent,Ausländer,,,,87.54
1996,Prozent,Ausländer,,,,55.71
1997,Prozent,Ausländer,,,,64.41
1998,Prozent,Ausländer,,,,64.71
1999,Prozent,Ausländer,,,,72.48
2000,Prozent,Ausländer,,,,73.0
2001,Prozent,Ausländer,,,,66.81
2002,Prozent,Ausländer,,,,63.59
2003,Prozent,Ausländer,,,,71.53
2004,Prozent,Ausländer,,,,73.33
2005,Prozent,Ausländer,,,,76.87
2006,Prozent,Ausländer,,,,74.27
2007,Prozent,Ausländer,,,,73.2
2008,Prozent,Ausländer,,,,77.03
2009,Prozent,Ausländer,,,,84.75
2010,Prozent,Ausländer,,,,80.04
2011,Prozent,Ausländer,,,,86.18
2012,Prozent,Ausländer,,,,87.23
2013,Prozent,Ausländer,,,,81.98
2014,Prozent,Ausländer,,,,82.21
2015,Prozent,Ausländer,,,,82.4
2016,Prozent,Ausländer,,,,82.03
2017,Prozent,Ausländer,,,,78.08
2018,Prozent,Ausländer,,,,72.51
2019,Prozent,Ausländer,,,,76.35
2020,Prozent,Ausländer,,,,79.62
1996,Prozent,Ausländer,,,,70.49
1997,Prozent,Ausländer,,,,60.66
1998,Prozent,Ausländer,,,,63.95
1999,Prozent,Ausländer,,,,72.0
2000,Prozent,Ausländer,,,,70.95
2001,Prozent,Ausländer,,,,72.11
2002,Prozent,Ausländer,,,,64.62
2003,Prozent,Ausländer,,,,64.41
2004,Prozent,Ausländer,,,,64.42
2005,Prozent,Ausländer,,,,71.0
2006,Prozent,Ausländer,,,,75.86
2007,Prozent,Ausländer,,,,78.54
2008,Prozent,Ausländer,,,,82.66
2009,Prozent,Ausländer,,,,82.19
2010,Prozent,Ausländer,,,,81.15
2011,Prozent,Ausländer,,,,81.01
2012,Prozent,Ausländer,,,,83.49
2013,Prozent,Ausländer,,,,87.11
2014,Prozent,Ausländer,,,,81.02
2015,Prozent,Ausländer,,,,75.1
2016,Prozent,Ausländer,,,,66.01
2017,Prozent,Ausländer,,,,60.0
2018,Prozent,Ausländer,,,,61.79
2019,Prozent,Ausländer,,,,70.63
2020,Prozent,Ausländer,,,,75.26
1996,Prozent,Ausländer,,,,81.82
1997,Prozent,Ausländer,,,,67.92
1998,Prozent,Ausländer,,,,74.6
1999,Prozent,Ausländer,,,,80.33
2000,Prozent,Ausländer,,,,86.15
2001,Prozent,Ausländer,,,,87.93
2002,Prozent,Ausländer,,,,85.45
2003,Prozent,Ausländer,,,,78.48
2004,Prozent,Ausländer,,,,74.44
2005,Prozent,Ausländer,,,,73.64
2006,Prozent,Ausländer,,,,86.36
2007,Prozent,Ausländer,,,,88.3
2008,Prozent,Ausländer,,,,82.88
2009,Prozent,Ausländer,,,,87.37
2010,Prozent,Ausländer,,,,79.31
2011,Prozent,Ausländer,,,,81.3
2012,Prozent,Ausländer,,,,87.07
2013,Prozent,Ausländer,,,,91.45
2014,Prozent,Ausländer,,,,85.04
2015,Prozent,Ausländer,,,,79.28
2016,Prozent,Ausländer,,,,73.95
2017,Prozent,Ausländer,,,,69.38
2018,Prozent,Ausländer,,,,66.22
2019,Prozent,Ausländer,,,,76.42
2020,Prozent,Ausländer,,,,80.65
1996,Prozent,Ausländer,,,,64.1
1997,Prozent,Ausländer,,,,55.07
1998,Prozent,Ausländer,,,,55.95
1999,Prozent,Ausländer,,,,64.06
2000,Prozent,Ausländer,,,,59.04
2001,Prozent,Ausländer,,,,61.8
2002,Prozent,Ausländer,,,,49.33
2003,Prozent,Ausländer,,,,53.06
2004,Prozent,Ausländer,,,,56.78
2005,Prozent,Ausländer,,,,67.78
2006,Prozent,Ausländer,,,,65.12
2007,Prozent,Ausländer,,,,71.94
2008,Prozent,Ausländer,,,,82.5
2009,Prozent,Ausländer,,,,78.95
2010,Prozent,Ausländer,,,,83.48
2011,Prozent,Ausländer,,,,80.74
2012,Prozent,Ausländer,,,,79.17
2013,Prozent,Ausländer,,,,83.45
2014,Prozent,Ausländer,,,,77.55
2015,Prozent,Ausländer,,,,71.64
2016,Prozent,Ausländer,,,,60.87
2017,Prozent,Ausländer,,,,54.55
2018,Prozent,Ausländer,,,,58.7
2019,Prozent,Ausländer,,,,67.35
2020,Prozent,Ausländer,,,,71.86
1996,Prozent,Ausländer,,,,77.28
1997,Prozent,Ausländer,,,,74.52
1998,Prozent,Ausländer,,,,75.78
1999,Prozent,Ausländer,,,,77.95
2000,Prozent,Ausländer,,,,78.52
2001,Prozent,Ausländer,,,,78.51
2002,Prozent,Ausländer,,,,81.61
2003,Prozent,Ausländer,,,,83.67
2004,Prozent,Ausländer,,,,81.14
2005,Prozent,Ausländer,,,,82.07
2006,Prozent,Ausländer,,,,81.42
2007,Prozent,Ausländer,,,,83.91
2008,Prozent,Ausländer,,,,84.7
2009,Prozent,Ausländer,,,,87.31
2010,Prozent,Ausländer,,,,87.62
2011,Prozent,Ausländer,,,,88.24
2012,Prozent,Ausländer,,,,88.62
2013,Prozent,Ausländer,,,,86.08
2014,Prozent,Ausländer,,,,87.06
2015,Prozent,Ausländer,,,,86.96
2016,Prozent,Ausländer,,,,82.76
2017,Prozent,Ausländer,,,,80.18
2018,Prozent,Ausländer,,,,77.72
2019,Prozent,Ausländer,,,,74.3
2020,Prozent,Ausländer,,,,77.66
1996,Prozent,Ausländer,,,,80.42
1997,Prozent,Ausländer,,,,82.32
1998,Prozent,Ausländer,,,,79.56
1999,Prozent,Ausländer,,,,82.85
2000,Prozent,Ausländer,,,,83.39
2001,Prozent,Ausländer,,,,83.01
2002,Prozent,Ausländer,,,,84.64
2003,Prozent,Ausländer,,,,88.53
2004,Prozent,Ausländer,,,,86.53
2005,Prozent,Ausländer,,,,84.99
2006,Prozent,Ausländer,,,,86.12
2007,Prozent,Ausländer,,,,85.86
2008,Prozent,Ausländer,,,,87.81
2009,Prozent,Ausländer,,,,89.13
2010,Prozent,Ausländer,,,,91.01
2011,Prozent,Ausländer,,,,92.25
2012,Prozent,Ausländer,,,,92.15
2013,Prozent,Ausländer,,,,87.44
2014,Prozent,Ausländer,,,,89.32
2015,Prozent,Ausländer,,,,90.54
2016,Prozent,Ausländer,,,,87.28
2017,Prozent,Ausländer,,,,86.3
2018,Prozent,Ausländer,,,,82.42
2019,Prozent,Ausländer,,,,79.72
2020,Prozent,Ausländer,,,,80.84
1996,Prozent,Ausländer,,,,74.55
1997,Prozent,Ausländer,,,,67.89
1998,Prozent,Ausländer,,,,72.31
1999,Prozent,Ausländer,,,,73.23
2000,Prozent,Ausländer,,,,74.08
2001,Prozent,Ausländer,,,,74.53
2002,Prozent,Ausländer,,,,78.74
2003,Prozent,Ausländer,,,,78.8
2004,Prozent,Ausländer,,,,76.08
2005,Prozent,Ausländer,,,,79.25
2006,Prozent,Ausländer,,,,77.0
2007,Prozent,Ausländer,,,,82.01
2008,Prozent,Ausländer,,,,81.79
2009,Prozent,Ausländer,,,,85.65
2010,Prozent,Ausländer,,,,84.34
2011,Prozent,Ausländer,,,,84.37
2012,Prozent,Ausländer,,,,85.16
2013,Prozent,Ausländer,,,,84.87
2014,Prozent,Ausländer,,,,84.87
2015,Prozent,Ausländer,,,,83.6
2016,Prozent,Ausländer,,,,78.9
2017,Prozent,Ausländer,,,,75.37
2018,Prozent,Ausländer,,,,73.88
2019,Prozent,Ausländer,,,,69.8
2020,Prozent,Ausländer,,,,75.0
1996,Prozent,Ausländer,,,,62.12
1997,Prozent,Ausländer,,,,60.53
1998,Prozent,Ausländer,,,,61.46
1999,Prozent,Ausländer,,,,55.88
2000,Prozent,Ausländer,,,,61.54
2001,Prozent,Ausländer,,,,61.6
2002,Prozent,Ausländer,,,,74.38
2003,Prozent,Ausländer,,,,82.58
2004,Prozent,Ausländer,,,,84.51
2005,Prozent,Ausländer,,,,82.42
2006,Prozent,Ausländer,,,,81.62
2007,Prozent,Ausländer,,,,85.63
2008,Prozent,Ausländer,,,,84.62
2009,Prozent,Ausländer,,,,89.64
2010,Prozent,Ausländer,,,,89.96
2011,Prozent,Ausländer,,,,89.41
2012,Prozent,Ausländer,,,,90.78
2013,Prozent,Ausländer,,,,84.87
2014,Prozent,Ausländer,,,,86.71
2015,Prozent,Ausländer,,,,81.79
2016,Prozent,Ausländer,,,,77.27
2017,Prozent,Ausländer,,,,53.2
2018,Prozent,Ausländer,,,,61.77
2019,Prozent,Ausländer,,,,67.12
2020,Prozent,Ausländer,,,,72.72
1996,Prozent,Ausländer,,,,56.52
1997,Prozent,Ausländer,,,,58.33
1998,Prozent,Ausländer,,,,74.36
1999,Prozent,Ausländer,,,,62.79
2000,Prozent,Ausländer,,,,69.35
2001,Prozent,Ausländer,,,,63.08
2002,Prozent,Ausländer,,,,79.03
2003,Prozent,Ausländer,,,,81.16
2004,Prozent,Ausländer,,,,86.11
2005,Prozent,Ausländer,,,,87.8
2006,Prozent,Ausländer,,,,85.71
2007,Prozent,Ausländer,,,,89.74
2008,Prozent,Ausländer,,,,91.55
2009,Prozent,Ausländer,,,,93.7
2010,Prozent,Ausländer,,,,92.86
2011,Prozent,Ausländer,,,,93.28
2012,Prozent,Ausländer,,,,91.59
2013,Prozent,Ausländer,,,,87.94
2014,Prozent,Ausländer,,,,89.51
2015,Prozent,Ausländer,,,,83.69
2016,Prozent,Ausländer,,,,85.44
2017,Prozent,Ausländer,,,,67.41
2018,Prozent,Ausländer,,,,67.9
2019,Prozent,Ausländer,,,,76.38
2020,Prozent,Ausländer,,,,74.76
1996,Prozent,Ausländer,,,,65.12
1997,Prozent,Ausländer,,,,62.5
1998,Prozent,Ausländer,,,,52.63
1999,Prozent,Ausländer,,,,50.85
2000,Prozent,Ausländer,,,,56.38
2001,Prozent,Ausländer,,,,60.0
2002,Prozent,Ausländer,,,,69.49
2003,Prozent,Ausländer,,,,83.72
2004,Prozent,Ausländer,,,,82.86
2005,Prozent,Ausländer,,,,78.0
2006,Prozent,Ausländer,,,,78.7
2007,Prozent,Ausländer,,,,81.71
2008,Prozent,Ausländer,,,,78.82
2009,Prozent,Ausländer,,,,85.48
2010,Prozent,Ausländer,,,,87.22
2011,Prozent,Ausländer,,,,85.47
2012,Prozent,Ausländer,,,,90.0
2013,Prozent,Ausländer,,,,81.54
2014,Prozent,Ausländer,,,,83.06
2015,Prozent,Ausländer,,,,79.86
2016,Prozent,Ausländer,,,,70.7
2017,Prozent,Ausländer,,,,44.95
2018,Prozent,Ausländer,,,,58.77
2019,Prozent,Ausländer,,,,60.95
2020,Prozent,Ausländer,,,,71.03
1996,Prozent,Deutsche,,,,93.7
1997,Prozent,Deutsche,,,,94.02
1998,Prozent,Deutsche,,,,93.98
1999,Prozent,Deutsche,,,,93.9
2000,Prozent,Deutsche,,,,93.71
2001,Prozent,Deutsche,,,,93.67
2002,Prozent,Deutsche,,,,93.82
2003,Prozent,Deutsche,,,,94.31
2004,Prozent,Deutsche,,,,94.35
2005,Prozent,Deutsche,,,,94.67
2006,Prozent,Deutsche,,,,95.09
2007,Prozent,Deutsche,,,,95.47
2008,Prozent,Deutsche,,,,95.7
2009,Prozent,Deutsche,,,,95.63
2010,Prozent,Deutsche,,,,95.83
2011,Prozent,Deutsche,,,,96.03
2012,Prozent,Deutsche,,,,96.56
2013,Prozent,Deutsche,,,,96.23
2014,Prozent,Deutsche,,,,95.89
2015,Prozent,Deutsche,,,,95.9
2016,Prozent,Deutsche,,,,95.7
2017,Prozent,Deutsche,,,,94.81
2018,Prozent,Deutsche,,,,94.91
2019,Prozent,Deutsche,,,,95.19
2020,Prozent,Deutsche,,,,95.64
1996,Prozent,Deutsche,,,,93.08
1997,Prozent,Deutsche,,,,92.65
