Year,Units,Zeitreihe,Geschlecht,Region,GeoCode,Value
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,74.4
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Berlin,code11,77.5
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,95.8
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,92.7
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,91.1
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,91.0
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,90.3
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,92.4
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,94.4
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,90.0
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,93.2
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,86.3
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,86.6
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,90.5
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,91.6
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,94.9
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,93.3
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,92.9
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,94.3
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,94.0
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,94.7
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,94.5
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,82.7
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,82.7
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,81.0
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Brandenburg,code12,83.9
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,100.0
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,97.8
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,94.3
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,94.7
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,92.9
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,98.6
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,97.7
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,96.1
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,96.2
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,91.8
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,89.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,95.2
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,95.0
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,97.2
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,95.8
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,94.7
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,98.2
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,97.8
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,97.3
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,95.9
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,90.4
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,87.8
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,83.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Brandenburg,code12,86.2
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,91.7
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,87.2
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,87.4
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,87.2
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,87.2
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,83.7
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,91.1
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,83.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,90.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,80.9
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,83.4
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,84.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,87.8
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,92.3
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,90.6
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,91.3
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,90.8
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,90.1
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,92.5
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,93.3
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,75.6
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,79.5
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,79.4
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Brandenburg,code12,82.6
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,77.6
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,82.4
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,82.4
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,83.8
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,80.0
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,81.1
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,85.7
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,81.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,82.2
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,83.4
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,85.4
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,84.1
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,88.4
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,89.1
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,90.1
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,87.3
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,91.2
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,87.3
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,90.0
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,89.5
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,84.6
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,78.7
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,79.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Bremen,code04,73.9
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,81.0
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,86.9
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,84.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,88.4
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,84.3
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,86.7
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,88.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,82.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,85.8
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,88.1
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,90.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,86.8
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,90.9
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,91.2
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,92.4
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,91.4
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,92.6
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,89.7
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,91.2
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,94.4
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,87.2
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,82.9
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,82.1
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Bremen,code04,75.3
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,74.6
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,78.7
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,80.2
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,79.6
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,76.1
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,76.1
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,82.5
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,80.6
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,78.9
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,79.1
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,80.2
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,81.7
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,86.0
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,86.8
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,87.8
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,82.9
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,89.8
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,85.1
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,88.9
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,86.1
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,82.2
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,75.0
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,77.9
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Bremen,code04,72.8
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,81.4
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,82.8
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,81.8
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,79.6
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,79.5
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,80.3
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,82.3
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,81.7
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,80.1
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,80.1
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,79.6
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,81.6
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,84.7
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,85.1
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,87.4
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,87.6
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,89.5
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,90.5
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,90.0
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,89.6
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,86.5
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,87.6
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,84.9
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hamburg,code02,86.7
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,83.8
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,86.0
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,85.1
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,84.8
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,81.9
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,84.5
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,85.5
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,85.8
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,83.8
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,83.8
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,81.5
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,84.2
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,87.3
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,87.5
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,90.0
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,89.0
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,91.6
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,91.6
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,92.1
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,91.9
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,88.3
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,89.0
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,87.3
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hamburg,code02,89.2
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,79.2
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,79.8
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,79.0
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,75.0
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,77.4
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,76.5
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,79.6
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,78.1
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,76.7
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,76.8
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,77.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,79.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,82.2
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,82.9
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,84.7
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,86.2
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,87.4
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,89.3
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,88.0
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,87.1
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,84.7
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,86.4
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,83.1
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hamburg,code02,84.7
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,79.0
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,80.5
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,82.0
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,79.9
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,78.5
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,80.0
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,80.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,81.1
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,81.8
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,83.2
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,83.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,84.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,87.1
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,85.9
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,87.0
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,88.3
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,89.0
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,90.3
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,90.7
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,91.9
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,89.8
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,89.7
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,89.7
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Insgesamt,Hessen,code06,88.7
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,83.2
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,84.2
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,85.9
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,83.9
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,82.6
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,83.6
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,83.9
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,84.3
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,84.9
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,86.7
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,86.0
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,86.1
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,88.7
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,88.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,89.6
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,89.7
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,91.2
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,91.6
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,92.9
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,93.8
2016,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,92.2
2017,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,91.2
2018,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,91.9
2019,Prozent,Ausländische Schulabsolventinnen und -absolventen,Weiblich,Hessen,code06,91.1
1996,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,75.4
1997,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,77.1
1998,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,78.4
1999,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,76.4
2000,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,74.9
2001,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,76.8
2002,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,78.2
2003,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,78.4
2004,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,79.0
2005,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,80.0
2006,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,81.9
2007,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,82.0
2008,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,85.4
2009,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,83.4
2010,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,84.3
2011,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,87.0
2012,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,86.9
2013,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,89.0
2014,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,88.6
2015,Prozent,Ausländische Schulabsolventinnen und -absolventen,Männlich,Hessen,code06,90.0
