Year,Units,Series,Geschlecht,Bundesland,GeoCode,Value
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.1
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.2
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.1
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.6
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.3
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.9
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.1
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.2
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.9
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.5
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.0
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.4
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.2
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.4
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.4
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.2
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.3
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.5
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.0
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.3
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.5
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.9
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.0
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.8
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.2
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.7
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.1
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.0
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.8
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.3
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.5
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.8
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.6
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.8
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,57.8
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,59.0
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,58.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,60.4
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,57.3
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,57.2
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,60.1
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.5
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.8
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.5
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.8
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.5
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.1
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.7
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.1
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.0
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.8
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.7
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.5
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.3
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.0
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.5
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.0
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.5
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.2
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.7
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.7
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.8
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.0
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.2
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.4
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.2
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.1
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.3
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.8
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.0
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.5
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.7
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.2
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.1
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.2
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.4
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.8
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.7
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.5
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.5
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.0
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.6
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.2
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.0
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.6
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.1
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.8
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.7
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.2
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.3
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.8
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.9
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.8
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.9
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.7
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.9
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.5
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.4
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.4
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.6
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.7
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.0
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.9
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.5
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.7
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.1
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.8
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.6
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.6
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.7
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.1
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.4
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.3
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.8
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.3
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.6
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.4
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.4
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.5
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.2
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.7
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.3
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.9
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.2
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.8
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.3
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.1
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.5
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.1
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.0
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.8
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.5
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.3
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.4
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.8
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.6
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.8
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.5
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.6
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.3
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.3
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.4
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.8
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.3
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.5
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.5
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.5
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.1
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.2
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.7
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.4
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.8
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.5
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.2
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.4
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.2
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.9
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.6
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.9
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.6
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.4
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.5
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.2
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.5
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.9
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.9
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.4
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.1
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.5
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.7
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.2
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.0
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.4
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.7
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.7
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.3
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.4
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.1
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.6
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.8
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.8
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.2
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.1
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.1
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.4
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.4
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.1
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.1
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.8
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.2
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.9
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.8
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.5
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.7
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.5
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.7
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,83.9
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,85.0
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.4
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,82.1
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.5
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.4
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.5
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.8
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.3
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.3
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.9
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.4
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.3
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.4
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.8
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.5
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.8
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.1
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.9
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.6
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.5
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.7
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.3
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.6
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.0
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,59.2
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,59.0
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,58.4
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,59.2
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,58.4
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,62.3
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.5
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.4
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.7
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.4
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.1
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.7
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.3
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.1
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.1
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.9
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.2
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.1
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.5
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.6
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.7
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.5
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.6
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.7
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.4
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.2
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,64.1
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.3
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.2
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.3
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.7
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.2
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.5
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.1
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.2
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.7
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.1
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.8
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.8
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.8
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.9
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.5
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,81.5
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.0
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.5
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.1
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.9
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.0
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,68.7
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,70.2
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.4
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.0
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,74.0
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,75.0
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,76.6
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.1
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.6
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.9
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.9
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,77.8
2017,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.7
2018,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.5
2019,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,80.2
2020,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,78.2
2021,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,79.6
2000,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,59.2
2001,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,60.4
2002,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,60.0
2003,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,60.7
2004,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,59.9
2005,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,61.5
2006,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,63.1
2007,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,65.2
2008,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,66.4
2009,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,67.6
2010,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,69.3
2011,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.0
2012,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,71.7
2013,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,72.7
2014,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.0
2015,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.2
2016,Prozent,Erwerbstätigenquote insgesamt (20 bis 64 Jahre),,,,73.3
