Year,Units,Anzeigen,Geschlecht,Region,GeoCode,Value
2010,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,13.9
2011,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,14.1
2012,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,11.8
2013,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,10.8
2014,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,10.7
2015,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,10.7
2016,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,12.1
2017,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,11.3
2018,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,11.0
2019,Prozent,Zeitreihe,Insgesamt,Niedersachsen,code03,11.9
2005,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,18.5
2006,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,14.3
2007,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,13.6
2008,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,12.1
2009,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,12.4
2010,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,12.8
2011,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,13.7
2012,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,10.0
2013,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,10.4
2014,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,9.9
2015,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,10.5
2016,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,11.5
2017,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,10.4
2018,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,9.7
2019,Prozent,Zeitreihe,Weiblich,Niedersachsen,code03,10.7
2005,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,13.7
2006,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,14.9
2007,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,14.3
2008,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,13.8
2009,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,12.7
2010,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,15.0
2011,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,14.5
2012,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,13.5
2013,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,11.1
2014,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,11.5
2015,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,10.8
2016,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,12.5
2017,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,12.2
2018,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,12.1
2019,Prozent,Zeitreihe,Männlich,Niedersachsen,code03,13.1
2005,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,15.8
2006,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,16.7
2007,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,15.0
2008,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,14.5
2009,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,13.7
2010,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,14.6
2011,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,13.6
2012,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,12.8
2013,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,11.6
2014,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,11.3
2015,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,11.4
2016,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,11.4
2017,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,11.6
2018,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,12.0
2019,Prozent,Zeitreihe,Insgesamt,Nordrhein-Westfalen,code05,11.2
2005,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,15.6
2006,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,16.0
2007,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,13.9
2008,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,14.5
2009,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,13.5
2010,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,13.5
2011,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,12.3
2012,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,12.1
2013,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,10.8
2014,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,11.1
2015,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,11.5
2016,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,10.7
2017,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,10.6
2018,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,11.1
2019,Prozent,Zeitreihe,Weiblich,Nordrhein-Westfalen,code05,9.4
2005,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,16.0
2006,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,17.4
2007,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,16.1
2008,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,14.6
2009,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,14.0
2010,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,15.7
2011,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,14.8
2012,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,13.4
2013,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,12.3
2014,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,11.4
2015,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,11.4
2016,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,12.1
2017,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,12.5
2018,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,12.7
2019,Prozent,Zeitreihe,Männlich,Nordrhein-Westfalen,code05,12.8
2005,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,16.4
2006,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,15.3
2007,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,15.5
2008,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,12.4
2009,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,13.7
2010,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,15.5
2011,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,13.5
2012,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,12.5
2013,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,13.1
2014,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,10.4
2015,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,12.2
2016,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,11.8
2017,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,11.7
2018,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,11.5
2019,Prozent,Zeitreihe,Insgesamt,Rheinland-Pfalz,code07,11.6
2005,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,17.6
2006,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,16.5
2007,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,13.0
2008,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,11.7
2009,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,13.5
2010,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,14.5
2011,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,12.2
2012,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,13.2
2013,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,12.7
2014,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,9.9
2015,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,12.2
2016,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,10.4
2017,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,10.0
2018,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,9.6
2019,Prozent,Zeitreihe,Weiblich,Rheinland-Pfalz,code07,10.5
2005,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,15.1
2006,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,14.2
2007,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,17.7
2008,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,13.1
2009,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,13.9
2010,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,16.6
2011,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,14.8
2012,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,11.8
2013,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,13.4
2014,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,10.9
2015,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,12.1
2016,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,13.2
2017,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,13.3
2018,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,13.2
2019,Prozent,Zeitreihe,Männlich,Rheinland-Pfalz,code07,12.6
2005,Prozent,Zeitreihe,Insgesamt,Saarland,code10,20.6
2006,Prozent,Zeitreihe,Insgesamt,Saarland,code10,20.8
2007,Prozent,Zeitreihe,Insgesamt,Saarland,code10,16.3
2008,Prozent,Zeitreihe,Insgesamt,Saarland,code10,14.1
2009,Prozent,Zeitreihe,Insgesamt,Saarland,code10,14.4
2010,Prozent,Zeitreihe,Insgesamt,Saarland,code10,13.2
2011,Prozent,Zeitreihe,Insgesamt,Saarland,code10,15.4
2012,Prozent,Zeitreihe,Insgesamt,Saarland,code10,12.9
2013,Prozent,Zeitreihe,Insgesamt,Saarland,code10,14.1
2014,Prozent,Zeitreihe,Insgesamt,Saarland,code10,11.9
2015,Prozent,Zeitreihe,Insgesamt,Saarland,code10,12.2
2016,Prozent,Zeitreihe,Insgesamt,Saarland,code10,10.3
2017,Prozent,Zeitreihe,Insgesamt,Saarland,code10,11.7
2018,Prozent,Zeitreihe,Insgesamt,Saarland,code10,11.8
2019,Prozent,Zeitreihe,Insgesamt,Saarland,code10,11.5
2005,Prozent,Zeitreihe,Weiblich,Saarland,code10,15.5
2006,Prozent,Zeitreihe,Weiblich,Saarland,code10,18.8
2007,Prozent,Zeitreihe,Weiblich,Saarland,code10,15.9
2009,Prozent,Zeitreihe,Weiblich,Saarland,code10,14.0
2013,Prozent,Zeitreihe,Weiblich,Saarland,code10,14.2
2015,Prozent,Zeitreihe,Weiblich,Saarland,code10,15.9
2005,Prozent,Zeitreihe,Männlich,Saarland,code10,26.4
2006,Prozent,Zeitreihe,Männlich,Saarland,code10,22.9
2007,Prozent,Zeitreihe,Männlich,Saarland,code10,16.8
2008,Prozent,Zeitreihe,Männlich,Saarland,code10,13.9
2009,Prozent,Zeitreihe,Männlich,Saarland,code10,14.8
2010,Prozent,Zeitreihe,Männlich,Saarland,code10,14.8
2011,Prozent,Zeitreihe,Männlich,Saarland,code10,18.4
2012,Prozent,Zeitreihe,Männlich,Saarland,code10,14.7
2013,Prozent,Zeitreihe,Männlich,Saarland,code10,14.0
2017,Prozent,Zeitreihe,Männlich,Saarland,code10,13.0
2005,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,9.8
2006,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,8.9
2007,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,8.4
2008,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,7.4
2009,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,6.7
2010,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,7.6
2011,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,7.7
2012,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,7.7
2013,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,6.5
2014,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,6.8
2015,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,8.4
2016,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,7.7
2017,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,8.6
2018,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,7.5
2019,Prozent,Zeitreihe,Insgesamt,Sachsen,code14,8.3
2005,Prozent,Zeitreihe,Weiblich,Sachsen,code14,10.5
2006,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.8
2007,Prozent,Zeitreihe,Weiblich,Sachsen,code14,8.6
2008,Prozent,Zeitreihe,Weiblich,Sachsen,code14,5.8
2009,Prozent,Zeitreihe,Weiblich,Sachsen,code14,6.6
2010,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.6
2011,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.5
2012,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.2
2013,Prozent,Zeitreihe,Weiblich,Sachsen,code14,6.7
2014,Prozent,Zeitreihe,Weiblich,Sachsen,code14,6.6
2015,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.1
2016,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.0
2017,Prozent,Zeitreihe,Weiblich,Sachsen,code14,9.8
2018,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.0
2019,Prozent,Zeitreihe,Weiblich,Sachsen,code14,7.0
2005,Prozent,Zeitreihe,Männlich,Sachsen,code14,9.1
2006,Prozent,Zeitreihe,Männlich,Sachsen,code14,9.9
2007,Prozent,Zeitreihe,Männlich,Sachsen,code14,8.2
2008,Prozent,Zeitreihe,Männlich,Sachsen,code14,8.8
2009,Prozent,Zeitreihe,Männlich,Sachsen,code14,6.7
2010,Prozent,Zeitreihe,Männlich,Sachsen,code14,7.6
2011,Prozent,Zeitreihe,Männlich,Sachsen,code14,7.9
2012,Prozent,Zeitreihe,Männlich,Sachsen,code14,8.1
2013,Prozent,Zeitreihe,Männlich,Sachsen,code14,6.3
2014,Prozent,Zeitreihe,Männlich,Sachsen,code14,7.0
2015,Prozent,Zeitreihe,Männlich,Sachsen,code14,9.6
2016,Prozent,Zeitreihe,Männlich,Sachsen,code14,8.3
2017,Prozent,Zeitreihe,Männlich,Sachsen,code14,7.5
2018,Prozent,Zeitreihe,Männlich,Sachsen,code14,8.0
2019,Prozent,Zeitreihe,Männlich,Sachsen,code14,9.4
2005,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,12.4
2006,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,12.2
2007,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,11.8
2008,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,12.1
2009,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,10.8
2010,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,11.7
2011,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,12.9
2012,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,11.1
2013,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,9.7
2014,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,9.3
2015,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,12.2
2016,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,11.2
2017,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,13.6
2018,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,9.1
2019,Prozent,Zeitreihe,Insgesamt,Sachsen-Anhalt,code15,12.7
2005,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,9.8
2006,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,11.0
2007,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,9.5
2008,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,11.2
2009,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,9.8
2010,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,9.1
2011,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,11.6
2012,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,10.1
2015,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,11.7
2017,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,11.9
2019,Prozent,Zeitreihe,Weiblich,Sachsen-Anhalt,code15,10.0
2005,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,14.7
2006,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,13.3
2007,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,14.0
2008,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,13.0
2009,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,11.7
2010,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,13.9
2011,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,14.0
2012,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,11.8
2013,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,10.5
2014,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,9.4
2015,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,12.6
2016,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,13.3
2017,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,15.0
2018,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,10.0
2019,Prozent,Zeitreihe,Männlich,Sachsen-Anhalt,code15,14.8
2005,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,15.1
2006,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,17.1
2007,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,11.8
2008,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,13.6
2009,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,12.1
2010,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,12.6
2011,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,12.9
2012,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,12.3
2013,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,10.3
2014,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,12.8
2015,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,10.6
2016,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,10.7
2017,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,9.1
2018,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,10.1
2019,Prozent,Zeitreihe,Insgesamt,Schleswig-Holstein,code01,11.0
2005,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,14.2
2006,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,16.1
2007,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,11.6
2008,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,13.5
2009,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,13.1
2010,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,12.8
2011,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,12.0
2012,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,11.6
2013,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,10.3
2014,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,12.5
2015,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,8.9
2016,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,10.6
2017,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,7.6
2018,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,8.9
2019,Prozent,Zeitreihe,Weiblich,Schleswig-Holstein,code01,8.7
2005,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,16.1
2006,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,18.2
2007,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,11.9
2008,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,13.8
2009,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,11.2
2010,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,12.5
2011,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,13.6
2012,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,12.9
2013,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,10.4
2014,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,13.1
2015,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,12.1
2016,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,10.8
2017,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,10.4
2018,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,11.2
2019,Prozent,Zeitreihe,Männlich,Schleswig-Holstein,code01,13.2
2005,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,6.6
2006,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,8.8
2007,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,10.2
2008,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,7.4
2009,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,5.4
2010,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,6.3
2011,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,7.7
2012,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,7.0
2013,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,7.7
2014,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,6.1
2015,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,8.3
2016,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,8.8
2017,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,8.7
2018,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,8.5
2019,Prozent,Zeitreihe,Insgesamt,Thüringen,code16,9.6
2005,Prozent,Zeitreihe,Weiblich,Thüringen,code16,7.2
2006,Prozent,Zeitreihe,Weiblich,Thüringen,code16,8.6
2007,Prozent,Zeitreihe,Weiblich,Thüringen,code16,11.6
2008,Prozent,Zeitreihe,Weiblich,Thüringen,code16,7.1
2009,Prozent,Zeitreihe,Weiblich,Thüringen,code16,6.0
2010,Prozent,Zeitreihe,Weiblich,Thüringen,code16,6.4
2011,Prozent,Zeitreihe,Weiblich,Thüringen,code16,6.7
2005,Prozent,Zeitreihe,Männlich,Thüringen,code16,6.1
2006,Prozent,Zeitreihe,Männlich,Thüringen,code16,9.0
2007,Prozent,Zeitreihe,Männlich,Thüringen,code16,8.8
2008,Prozent,Zeitreihe,Männlich,Thüringen,code16,7.7
2009,Prozent,Zeitreihe,Männlich,Thüringen,code16,4.8
2010,Prozent,Zeitreihe,Männlich,Thüringen,code16,6.2
2011,Prozent,Zeitreihe,Männlich,Thüringen,code16,8.5
2012,Prozent,Zeitreihe,Männlich,Thüringen,code16,8.0
2013,Prozent,Zeitreihe,Männlich,Thüringen,code16,8.3
2015,Prozent,Zeitreihe,Männlich,Thüringen,code16,9.1
2016,Prozent,Zeitreihe,Männlich,Thüringen,code16,10.0
2017,Prozent,Zeitreihe,Männlich,Thüringen,code16,10.6
2018,Prozent,Zeitreihe,Männlich,Thüringen,code16,10.1
2019,Prozent,Zeitreihe,Männlich,Thüringen,code16,10.5
