Year,Units,Time series,Sex,Federal state,GeoCode,Value
2005,Percentage,Total,Female,North Rhine-Westphalia,code05,36.4
2006,Percentage,Total,Female,North Rhine-Westphalia,code05,38.0
2007,Percentage,Total,Female,North Rhine-Westphalia,code05,38.4
2008,Percentage,Total,Female,North Rhine-Westphalia,code05,41.5
2009,Percentage,Total,Female,North Rhine-Westphalia,code05,42.6
2010,Percentage,Total,Female,North Rhine-Westphalia,code05,42.1
2011,Percentage,Total,Female,North Rhine-Westphalia,code05,43.8
2012,Percentage,Total,Female,North Rhine-Westphalia,code05,46.8
2013,Percentage,Total,Female,North Rhine-Westphalia,code05,47.4
2014,Percentage,Total,Female,North Rhine-Westphalia,code05,50.8
2015,Percentage,Total,Female,North Rhine-Westphalia,code05,52.6
2016,Percentage,Total,Female,North Rhine-Westphalia,code05,54.2
2017,Percentage,Total,Female,North Rhine-Westphalia,code05,54.6
2018,Percentage,Total,Female,North Rhine-Westphalia,code05,55.14
2019,Percentage,Total,Female,North Rhine-Westphalia,code05,55.34
2020,Percentage,Total,Female,North Rhine-Westphalia,code05,60.29
2005,Percentage,Total,Male,North Rhine-Westphalia,code05,37.5
2006,Percentage,Total,Male,North Rhine-Westphalia,code05,37.7
2007,Percentage,Total,Male,North Rhine-Westphalia,code05,39.0
2008,Percentage,Total,Male,North Rhine-Westphalia,code05,40.3
2009,Percentage,Total,Male,North Rhine-Westphalia,code05,40.8
2010,Percentage,Total,Male,North Rhine-Westphalia,code05,40.5
2011,Percentage,Total,Male,North Rhine-Westphalia,code05,40.3
2012,Percentage,Total,Male,North Rhine-Westphalia,code05,42.0
2013,Percentage,Total,Male,North Rhine-Westphalia,code05,42.6
2014,Percentage,Total,Male,North Rhine-Westphalia,code05,44.8
2015,Percentage,Total,Male,North Rhine-Westphalia,code05,44.8
2016,Percentage,Total,Male,North Rhine-Westphalia,code05,46.3
2017,Percentage,Total,Male,North Rhine-Westphalia,code05,47.6
2018,Percentage,Total,Male,North Rhine-Westphalia,code05,46.1
2019,Percentage,Total,Male,North Rhine-Westphalia,code05,46.71
2020,Percentage,Total,Male,North Rhine-Westphalia,code05,48.73
2005,Percentage,Total,,Rhineland Palatinate,code07,30.42
2006,Percentage,Total,,Rhineland Palatinate,code07,31.9
2007,Percentage,Total,,Rhineland Palatinate,code07,32.9
2008,Percentage,Total,,Rhineland Palatinate,code07,35.3
2009,Percentage,Total,,Rhineland Palatinate,code07,36.7
2010,Percentage,Total,,Rhineland Palatinate,code07,38.49
2011,Percentage,Total,,Rhineland Palatinate,code07,39.96
2012,Percentage,Total,,Rhineland Palatinate,code07,42.26
2013,Percentage,Total,,Rhineland Palatinate,code07,41.9
2014,Percentage,Total,,Rhineland Palatinate,code07,43.67
2015,Percentage,Total,,Rhineland Palatinate,code07,42.58
2016,Percentage,Total,,Rhineland Palatinate,code07,44.23
2017,Percentage,Total,,Rhineland Palatinate,code07,44.14
2018,Percentage,Total,,Rhineland Palatinate,code07,44.58
2019,Percentage,Total,,Rhineland Palatinate,code07,48.18
2020,Percentage,Total,,Rhineland Palatinate,code07,50.02
2005,Percentage,Total,Female,Rhineland Palatinate,code07,26.6
2006,Percentage,Total,Female,Rhineland Palatinate,code07,29.3
2007,Percentage,Total,Female,Rhineland Palatinate,code07,31.8
2008,Percentage,Total,Female,Rhineland Palatinate,code07,35.1
2009,Percentage,Total,Female,Rhineland Palatinate,code07,37.0
2010,Percentage,Total,Female,Rhineland Palatinate,code07,37.0
2011,Percentage,Total,Female,Rhineland Palatinate,code07,40.9
2012,Percentage,Total,Female,Rhineland Palatinate,code07,42.3
2013,Percentage,Total,Female,Rhineland Palatinate,code07,42.2
2014,Percentage,Total,Female,Rhineland Palatinate,code07,45.6
2015,Percentage,Total,Female,Rhineland Palatinate,code07,44.6
2016,Percentage,Total,Female,Rhineland Palatinate,code07,46.6
2017,Percentage,Total,Female,Rhineland Palatinate,code07,47.9
2018,Percentage,Total,Female,Rhineland Palatinate,code07,46.72
2019,Percentage,Total,Female,Rhineland Palatinate,code07,51.27
2020,Percentage,Total,Female,Rhineland Palatinate,code07,53.55
2005,Percentage,Total,Male,Rhineland Palatinate,code07,34.6
2006,Percentage,Total,Male,Rhineland Palatinate,code07,34.7
2007,Percentage,Total,Male,Rhineland Palatinate,code07,34.0
2008,Percentage,Total,Male,Rhineland Palatinate,code07,35.5
2009,Percentage,Total,Male,Rhineland Palatinate,code07,36.3
2010,Percentage,Total,Male,Rhineland Palatinate,code07,40.1
2011,Percentage,Total,Male,Rhineland Palatinate,code07,39.0
2012,Percentage,Total,Male,Rhineland Palatinate,code07,42.2
2013,Percentage,Total,Male,Rhineland Palatinate,code07,41.7
2014,Percentage,Total,Male,Rhineland Palatinate,code07,41.6
2015,Percentage,Total,Male,Rhineland Palatinate,code07,40.6
2016,Percentage,Total,Male,Rhineland Palatinate,code07,41.9
2017,Percentage,Total,Male,Rhineland Palatinate,code07,40.4
2018,Percentage,Total,Male,Rhineland Palatinate,code07,42.47
2019,Percentage,Total,Male,Rhineland Palatinate,code07,45.23
2020,Percentage,Total,Male,Rhineland Palatinate,code07,46.46
2005,Percentage,Total,,Saarland,code10,32.67
2006,Percentage,Total,,Saarland,code10,35.0
2007,Percentage,Total,,Saarland,code10,32.4
2008,Percentage,Total,,Saarland,code10,36.2
2009,Percentage,Total,,Saarland,code10,37.2
2010,Percentage,Total,,Saarland,code10,32.86
2011,Percentage,Total,,Saarland,code10,34.78
2012,Percentage,Total,,Saarland,code10,38.26
2013,Percentage,Total,,Saarland,code10,35.69
2014,Percentage,Total,,Saarland,code10,35.75
2015,Percentage,Total,,Saarland,code10,40.2
2016,Percentage,Total,,Saarland,code10,41.4
2017,Percentage,Total,,Saarland,code10,39.83
2018,Percentage,Total,,Saarland,code10,44.6
2019,Percentage,Total,,Saarland,code10,47.73
2020,Percentage,Total,,Saarland,code10,55.3
2005,Percentage,Total,Female,Saarland,code10,32.8
2006,Percentage,Total,Female,Saarland,code10,35.0
2007,Percentage,Total,Female,Saarland,code10,33.0
2008,Percentage,Total,Female,Saarland,code10,37.2
2009,Percentage,Total,Female,Saarland,code10,40.2
2010,Percentage,Total,Female,Saarland,code10,36.8
2011,Percentage,Total,Female,Saarland,code10,38.7
2012,Percentage,Total,Female,Saarland,code10,42.2
2013,Percentage,Total,Female,Saarland,code10,39.9
2014,Percentage,Total,Female,Saarland,code10,35.8
2015,Percentage,Total,Female,Saarland,code10,41.3
2016,Percentage,Total,Female,Saarland,code10,37.9
2017,Percentage,Total,Female,Saarland,code10,40.4
2018,Percentage,Total,Female,Saarland,code10,49.16
2019,Percentage,Total,Female,Saarland,code10,54.21
2020,Percentage,Total,Female,Saarland,code10,65.87
2005,Percentage,Total,Male,Saarland,code10,32.5
2006,Percentage,Total,Male,Saarland,code10,35.0
2007,Percentage,Total,Male,Saarland,code10,31.7
2008,Percentage,Total,Male,Saarland,code10,35.1
2009,Percentage,Total,Male,Saarland,code10,34.2
2010,Percentage,Total,Male,Saarland,code10,28.8
2011,Percentage,Total,Male,Saarland,code10,30.8
2012,Percentage,Total,Male,Saarland,code10,34.7
2013,Percentage,Total,Male,Saarland,code10,32.3
2014,Percentage,Total,Male,Saarland,code10,35.8
2015,Percentage,Total,Male,Saarland,code10,39.2
2016,Percentage,Total,Male,Saarland,code10,44.4
2017,Percentage,Total,Male,Saarland,code10,39.4
2018,Percentage,Total,Male,Saarland,code10,40.81
2019,Percentage,Total,Male,Saarland,code10,41.48
2020,Percentage,Total,Male,Saarland,code10,44.2
2005,Percentage,Total,,Saxony,code14,37.89
2006,Percentage,Total,,Saxony,code14,40.6
2007,Percentage,Total,,Saxony,code14,44.3
2008,Percentage,Total,,Saxony,code14,44.4
2009,Percentage,Total,,Saxony,code14,46.0
2010,Percentage,Total,,Saxony,code14,46.36
2011,Percentage,Total,,Saxony,code14,44.03
2012,Percentage,Total,,Saxony,code14,42.67
2013,Percentage,Total,,Saxony,code14,45.8
2014,Percentage,Total,,Saxony,code14,46.18
2015,Percentage,Total,,Saxony,code14,48.27
2016,Percentage,Total,,Saxony,code14,46.22
2017,Percentage,Total,,Saxony,code14,48.01
2018,Percentage,Total,,Saxony,code14,49.18
2019,Percentage,Total,,Saxony,code14,50.72
2020,Percentage,Total,,Saxony,code14,51.6
2005,Percentage,Total,Female,Saxony,code14,42.1
2006,Percentage,Total,Female,Saxony,code14,48.2
2007,Percentage,Total,Female,Saxony,code14,52.4
2008,Percentage,Total,Female,Saxony,code14,52.4
2009,Percentage,Total,Female,Saxony,code14,55.4
2010,Percentage,Total,Female,Saxony,code14,55.0
2011,Percentage,Total,Female,Saxony,code14,53.1
2012,Percentage,Total,Female,Saxony,code14,50.5
2013,Percentage,Total,Female,Saxony,code14,55.4
2014,Percentage,Total,Female,Saxony,code14,54.3
2015,Percentage,Total,Female,Saxony,code14,56.3
2016,Percentage,Total,Female,Saxony,code14,54.9
2017,Percentage,Total,Female,Saxony,code14,56.9
2018,Percentage,Total,Female,Saxony,code14,57.38
2019,Percentage,Total,Female,Saxony,code14,59.76
2020,Percentage,Total,Female,Saxony,code14,58.95
2005,Percentage,Total,Male,Saxony,code14,34.3
2006,Percentage,Total,Male,Saxony,code14,34.0
2007,Percentage,Total,Male,Saxony,code14,37.3
2008,Percentage,Total,Male,Saxony,code14,37.8
2009,Percentage,Total,Male,Saxony,code14,37.8
2010,Percentage,Total,Male,Saxony,code14,38.6
2011,Percentage,Total,Male,Saxony,code14,36.2
2012,Percentage,Total,Male,Saxony,code14,36.0
2013,Percentage,Total,Male,Saxony,code14,37.8
2014,Percentage,Total,Male,Saxony,code14,39.1
2015,Percentage,Total,Male,Saxony,code14,41.0
2016,Percentage,Total,Male,Saxony,code14,38.4
2017,Percentage,Total,Male,Saxony,code14,39.9
2018,Percentage,Total,Male,Saxony,code14,41.56
2019,Percentage,Total,Male,Saxony,code14,41.69
2020,Percentage,Total,Male,Saxony,code14,44.42
2005,Percentage,Total,,Saxony-Anhalt,code15,27.9
2006,Percentage,Total,,Saxony-Anhalt,code15,28.4
2007,Percentage,Total,,Saxony-Anhalt,code15,27.0
2008,Percentage,Total,,Saxony-Anhalt,code15,30.3
2009,Percentage,Total,,Saxony-Anhalt,code15,32.3
2010,Percentage,Total,,Saxony-Anhalt,code15,32.16
2011,Percentage,Total,,Saxony-Anhalt,code15,31.44
2012,Percentage,Total,,Saxony-Anhalt,code15,30.9
2013,Percentage,Total,,Saxony-Anhalt,code15,30.62
2014,Percentage,Total,,Saxony-Anhalt,code15,32.35
2015,Percentage,Total,,Saxony-Anhalt,code15,34.21
2016,Percentage,Total,,Saxony-Anhalt,code15,33.41
2017,Percentage,Total,,Saxony-Anhalt,code15,35.82
2018,Percentage,Total,,Saxony-Anhalt,code15,38.58
2019,Percentage,Total,,Saxony-Anhalt,code15,36.57
2020,Percentage,Total,,Saxony-Anhalt,code15,39.88
2005,Percentage,Total,Female,Saxony-Anhalt,code15,31.2
2006,Percentage,Total,Female,Saxony-Anhalt,code15,32.1
2007,Percentage,Total,Female,Saxony-Anhalt,code15,34.2
2008,Percentage,Total,Female,Saxony-Anhalt,code15,36.6
2009,Percentage,Total,Female,Saxony-Anhalt,code15,36.9
2010,Percentage,Total,Female,Saxony-Anhalt,code15,37.1
2011,Percentage,Total,Female,Saxony-Anhalt,code15,37.2
2012,Percentage,Total,Female,Saxony-Anhalt,code15,36.3
2013,Percentage,Total,Female,Saxony-Anhalt,code15,36.5
2014,Percentage,Total,Female,Saxony-Anhalt,code15,38.9
2015,Percentage,Total,Female,Saxony-Anhalt,code15,39.8
2016,Percentage,Total,Female,Saxony-Anhalt,code15,41.5
2017,Percentage,Total,Female,Saxony-Anhalt,code15,41.2
2018,Percentage,Total,Female,Saxony-Anhalt,code15,44.33
2019,Percentage,Total,Female,Saxony-Anhalt,code15,41.27
2020,Percentage,Total,Female,Saxony-Anhalt,code15,50.36
2005,Percentage,Total,Male,Saxony-Anhalt,code15,25.2
2006,Percentage,Total,Male,Saxony-Anhalt,code15,24.9
2007,Percentage,Total,Male,Saxony-Anhalt,code15,20.8
2008,Percentage,Total,Male,Saxony-Anhalt,code15,24.7
2009,Percentage,Total,Male,Saxony-Anhalt,code15,27.9
2010,Percentage,Total,Male,Saxony-Anhalt,code15,27.5
2011,Percentage,Total,Male,Saxony-Anhalt,code15,26.2
2012,Percentage,Total,Male,Saxony-Anhalt,code15,25.9
2013,Percentage,Total,Male,Saxony-Anhalt,code15,25.6
2014,Percentage,Total,Male,Saxony-Anhalt,code15,26.5
2015,Percentage,Total,Male,Saxony-Anhalt,code15,29.6
2016,Percentage,Total,Male,Saxony-Anhalt,code15,26.4
2017,Percentage,Total,Male,Saxony-Anhalt,code15,30.8
2018,Percentage,Total,Male,Saxony-Anhalt,code15,32.81
2019,Percentage,Total,Male,Saxony-Anhalt,code15,32.34
2020,Percentage,Total,Male,Saxony-Anhalt,code15,30.51
2005,Percentage,Total,,Schleswig-Holstein,code01,32.52
2006,Percentage,Total,,Schleswig-Holstein,code01,30.6
2007,Percentage,Total,,Schleswig-Holstein,code01,31.8
2008,Percentage,Total,,Schleswig-Holstein,code01,32.1
2009,Percentage,Total,,Schleswig-Holstein,code01,34.6
2010,Percentage,Total,,Schleswig-Holstein,code01,35.78
2011,Percentage,Total,,Schleswig-Holstein,code01,40.39
2012,Percentage,Total,,Schleswig-Holstein,code01,37.28
2013,Percentage,Total,,Schleswig-Holstein,code01,38.19
2014,Percentage,Total,,Schleswig-Holstein,code01,38.89
2015,Percentage,Total,,Schleswig-Holstein,code01,39.66
2016,Percentage,Total,,Schleswig-Holstein,code01,40.06
2017,Percentage,Total,,Schleswig-Holstein,code01,42.43
2018,Percentage,Total,,Schleswig-Holstein,code01,43.39
2019,Percentage,Total,,Schleswig-Holstein,code01,43.43
2020,Percentage,Total,,Schleswig-Holstein,code01,43.4
2005,Percentage,Total,Female,Schleswig-Holstein,code01,32.1
2006,Percentage,Total,Female,Schleswig-Holstein,code01,30.9
2007,Percentage,Total,Female,Schleswig-Holstein,code01,31.2
2008,Percentage,Total,Female,Schleswig-Holstein,code01,32.7
2009,Percentage,Total,Female,Schleswig-Holstein,code01,35.8
2010,Percentage,Total,Female,Schleswig-Holstein,code01,36.7
2011,Percentage,Total,Female,Schleswig-Holstein,code01,41.7
2012,Percentage,Total,Female,Schleswig-Holstein,code01,39.2
2013,Percentage,Total,Female,Schleswig-Holstein,code01,40.7
2014,Percentage,Total,Female,Schleswig-Holstein,code01,40.7
2015,Percentage,Total,Female,Schleswig-Holstein,code01,43.9
2016,Percentage,Total,Female,Schleswig-Holstein,code01,42.9
2017,Percentage,Total,Female,Schleswig-Holstein,code01,47.0
2018,Percentage,Total,Female,Schleswig-Holstein,code01,49.13
2019,Percentage,Total,Female,Schleswig-Holstein,code01,45.8
2020,Percentage,Total,Female,Schleswig-Holstein,code01,43.4
2005,Percentage,Total,Male,Schleswig-Holstein,code01,33.0
2006,Percentage,Total,Male,Schleswig-Holstein,code01,30.3
2007,Percentage,Total,Male,Schleswig-Holstein,code01,32.5
2008,Percentage,Total,Male,Schleswig-Holstein,code01,31.3
2009,Percentage,Total,Male,Schleswig-Holstein,code01,33.4
2010,Percentage,Total,Male,Schleswig-Holstein,code01,34.9
2011,Percentage,Total,Male,Schleswig-Holstein,code01,39.0
2012,Percentage,Total,Male,Schleswig-Holstein,code01,35.3
2013,Percentage,Total,Male,Schleswig-Holstein,code01,35.4
2014,Percentage,Total,Male,Schleswig-Holstein,code01,37.0
2015,Percentage,Total,Male,Schleswig-Holstein,code01,35.5
2016,Percentage,Total,Male,Schleswig-Holstein,code01,37.4
2017,Percentage,Total,Male,Schleswig-Holstein,code01,37.9
2018,Percentage,Total,Male,Schleswig-Holstein,code01,37.78
2019,Percentage,Total,Male,Schleswig-Holstein,code01,41.15
2020,Percentage,Total,Male,Schleswig-Holstein,code01,43.4
2005,Percentage,Total,,Thuringia,code16,31.24
2006,Percentage,Total,,Thuringia,code16,32.2
2007,Percentage,Total,,Thuringia,code16,36.5
2008,Percentage,Total,,Thuringia,code16,35.7
2009,Percentage,Total,,Thuringia,code16,35.4
2010,Percentage,Total,,Thuringia,code16,36.4
2011,Percentage,Total,,Thuringia,code16,37.2
2012,Percentage,Total,,Thuringia,code16,39.1
2013,Percentage,Total,,Thuringia,code16,39.8
2014,Percentage,Total,,Thuringia,code16,37.6
2015,Percentage,Total,,Thuringia,code16,36.89
2016,Percentage,Total,,Thuringia,code16,40.28
2017,Percentage,Total,,Thuringia,code16,40.68
2018,Percentage,Total,,Thuringia,code16,44.57
2019,Percentage,Total,,Thuringia,code16,44.77
2020,Percentage,Total,,Thuringia,code16,43.4
2005,Percentage,Total,Female,Thuringia,code16,33.8
2006,Percentage,Total,Female,Thuringia,code16,35.1
2007,Percentage,Total,Female,Thuringia,code16,40.8
2008,Percentage,Total,Female,Thuringia,code16,41.9
2009,Percentage,Total,Female,Thuringia,code16,42.5
2010,Percentage,Total,Female,Thuringia,code16,43.0
2011,Percentage,Total,Female,Thuringia,code16,45.2
2012,Percentage,Total,Female,Thuringia,code16,46.3
2013,Percentage,Total,Female,Thuringia,code16,47.1
2014,Percentage,Total,Female,Thuringia,code16,44.5
2015,Percentage,Total,Female,Thuringia,code16,45.4
2016,Percentage,Total,Female,Thuringia,code16,48.0
2017,Percentage,Total,Female,Thuringia,code16,49.5
2018,Percentage,Total,Female,Thuringia,code16,51.74
2019,Percentage,Total,Female,Thuringia,code16,51.22
2020,Percentage,Total,Female,Thuringia,code16,43.4
2005,Percentage,Total,Male,Thuringia,code16,29.1
2006,Percentage,Total,Male,Thuringia,code16,29.7
2007,Percentage,Total,Male,Thuringia,code16,32.6
2008,Percentage,Total,Male,Thuringia,code16,30.4
2009,Percentage,Total,Male,Thuringia,code16,29.1
2010,Percentage,Total,Male,Thuringia,code16,30.5
2011,Percentage,Total,Male,Thuringia,code16,29.9
2012,Percentage,Total,Male,Thuringia,code16,32.8
2013,Percentage,Total,Male,Thuringia,code16,33.0
2014,Percentage,Total,Male,Thuringia,code16,31.3
2015,Percentage,Total,Male,Thuringia,code16,29.9
2016,Percentage,Total,Male,Thuringia,code16,33.4
2017,Percentage,Total,Male,Thuringia,code16,32.9
2018,Percentage,Total,Male,Thuringia,code16,38.1
2019,Percentage,Total,Male,Thuringia,code16,38.9
2020,Percentage,Total,Male,Thuringia,code16,43.4
1999,Percentage,With tertiary qualification,,,,24.8
2000,Percentage,With tertiary qualification,,,,25.33
2001,Percentage,With tertiary qualification,,,,25.05
2002,Percentage,With tertiary qualification,,,,25.07
2003,Percentage,With tertiary qualification,,,,25.05
2004,Percentage,With tertiary qualification,,,,26.76
2005,Percentage,With tertiary qualification,,,,26.06
2006,Percentage,With tertiary qualification,,,,25.85
2007,Percentage,With tertiary qualification,,,,26.5
2008,Percentage,With tertiary qualification,,,,27.6
2009,Percentage,With tertiary qualification,,,,29.37
2010,Percentage,With tertiary qualification,,,,29.77
2011,Percentage,With tertiary qualification,,,,30.68
2012,Percentage,With tertiary qualification,,,,31.9
2013,Percentage,With tertiary qualification,,,,33.08
2014,Percentage,With tertiary qualification,,,,31.36
2015,Percentage,With tertiary qualification,,,,32.25
2016,Percentage,With tertiary qualification,,,,33.1
2017,Percentage,With tertiary qualification,,,,34.0
2018,Percentage,With tertiary qualification,,,,34.93
2019,Percentage,With tertiary qualification,,,,35.5
2020,Percentage,With tertiary qualification,,,,36.6
