Year,Units,Series,Art der Fläche,Bundesland,GeoCode,Value
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.6
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.7
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.6
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.7
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.2
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.8
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.1
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.0
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.0
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.1
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.8
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.5
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.1
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.8
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.2
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.9
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.5
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-1.7
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,15.9
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.4
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,14.4
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,14.2
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,14.1
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,13.5
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,11.6
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.3
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.4
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.6
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.3
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.5
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,11.1
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.7
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.5
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.8
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.0
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.1
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.6
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,15.8
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.5
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,15.2
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,14.5
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,14.1
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,15.4
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,14.2
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,13.2
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,12.5
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,11.4
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.3
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.3
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.7
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.5
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.0
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.4
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.8
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.5
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.6
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.6
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.4
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.5
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.3
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.4
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.9
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.1
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.1
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.6
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.8
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.4
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.6
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.4
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.0
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.6
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.8
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.6
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.6
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.6
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.5
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.4
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.3
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.9
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.9
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.8
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.9
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.8
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.2
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.2
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.9
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.6
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.4
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.4
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.2
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.8
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.5
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,7.2
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.4
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.2
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.2
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,9.9
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,12.8
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.2
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,18.1
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,16.1
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,10.0
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.9
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.5
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.6
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,-0.6
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.2
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.5
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.0
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.1
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.0
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,0.7
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.3
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.1
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,8.4
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.4
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.1
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.2
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.6
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.4
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.2
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.2
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.7
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.3
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.5
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.6
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.3
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.5
1996,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,6.1
1997,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1998,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1999,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2000,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.6
2001,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2002,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2003,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2004,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.2
2005,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.0
2006,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.4
2007,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.6
2008,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,1.9
2009,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.2
2010,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,2.7
2011,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,3.5
2012,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.2
2013,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.2
2014,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.3
2015,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,4.7
2016,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,5.5
2017,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2018,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2019,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
2020,Hektar pro Tag,Gleitender Vierjahresdurchschnitt,,,,
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,10.2
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,12.0
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,12.0
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,12.0
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,12.0
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,11.8
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,10.6
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,10.3
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,8.7
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,8.8
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,9.4
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,10.3
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,8.2
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,7.0
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,6.7
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,6.3
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,6.7
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,5.3
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,5.2
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,5.2
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,3.5
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,7.9
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,4.5
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,4.8
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,5.4
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,27.4
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,28.4
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,28.4
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,28.4
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,28.4
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,21.6
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,18.0
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,17.2
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,15.2
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,15.8
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,20.6
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,16.1
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,16.4
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,16.4
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,20.8
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,12.0
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,12.6
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,12.8
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,9.8
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,11.7
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,10.0
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,10.8
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,11.6
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.7
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,1.4
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,1.4
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,1.4
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,1.4
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.6
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,6.9
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,9.3
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,8.0
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,8.3
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,7.0
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,11.2
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,8.4
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,6.8
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,11.5
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,6.7
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,4.8
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,3.2
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,11.2
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,2.9
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,1.9
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,2.9
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,1.6
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,7.7
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,0.5
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,0.6
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,0.3
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.1
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,1.0
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,1.2
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,1.0
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,0.8
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,0.2
2013,Hektar pro Tag,Berechnete jährliche Werte,,,,0.4
2014,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.6
2015,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.9
2016,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.9
2017,Hektar pro Tag,Berechnete jährliche Werte,,,,0.1
2018,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.1
2019,Hektar pro Tag,Berechnete jährliche Werte,,,,-0.1
2020,Hektar pro Tag,Berechnete jährliche Werte,,,,0.0
1996,Hektar pro Tag,Berechnete jährliche Werte,,,,4.5
1997,Hektar pro Tag,Berechnete jährliche Werte,,,,4.9
1998,Hektar pro Tag,Berechnete jährliche Werte,,,,4.9
1999,Hektar pro Tag,Berechnete jährliche Werte,,,,4.9
2000,Hektar pro Tag,Berechnete jährliche Werte,,,,4.9
2001,Hektar pro Tag,Berechnete jährliche Werte,,,,2.7
2002,Hektar pro Tag,Berechnete jährliche Werte,,,,4.8
2003,Hektar pro Tag,Berechnete jährliche Werte,,,,4.1
2004,Hektar pro Tag,Berechnete jährliche Werte,,,,4.2
2005,Hektar pro Tag,Berechnete jährliche Werte,,,,3.7
2006,Hektar pro Tag,Berechnete jährliche Werte,,,,3.3
2007,Hektar pro Tag,Berechnete jährliche Werte,,,,4.2
2008,Hektar pro Tag,Berechnete jährliche Werte,,,,3.2
2009,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
2010,Hektar pro Tag,Berechnete jährliche Werte,,,,3.6
2011,Hektar pro Tag,Berechnete jährliche Werte,,,,1.4
2012,Hektar pro Tag,Berechnete jährliche Werte,,,,3.7
