Year,Units,Time series,Sex,Federal state,GeoCode,Value
2007,Percentage,Foreigns,Female,Hamburg,code02,81.56
2008,Percentage,Foreigns,Female,Hamburg,code02,84.72
2009,Percentage,Foreigns,Female,Hamburg,code02,85.14
2010,Percentage,Foreigns,Female,Hamburg,code02,87.37
2011,Percentage,Foreigns,Female,Hamburg,code02,87.57
2012,Percentage,Foreigns,Female,Hamburg,code02,89.54
2013,Percentage,Foreigns,Female,Hamburg,code02,90.48
2014,Percentage,Foreigns,Female,Hamburg,code02,90.05
2015,Percentage,Foreigns,Female,Hamburg,code02,89.6
2016,Percentage,Foreigns,Female,Hamburg,code02,86.49
2017,Percentage,Foreigns,Female,Hamburg,code02,87.61
2018,Percentage,Foreigns,Female,Hamburg,code02,84.93
2019,Percentage,Foreigns,Female,Hamburg,code02,86.67
2020,Percentage,Foreigns,Female,Hamburg,code02,84.47
1996,Percentage,Foreigns,Male,Hamburg,code02,83.79
1997,Percentage,Foreigns,Male,Hamburg,code02,85.97
1998,Percentage,Foreigns,Male,Hamburg,code02,85.15
1999,Percentage,Foreigns,Male,Hamburg,code02,84.79
2000,Percentage,Foreigns,Male,Hamburg,code02,81.87
2001,Percentage,Foreigns,Male,Hamburg,code02,84.51
2002,Percentage,Foreigns,Male,Hamburg,code02,85.48
2003,Percentage,Foreigns,Male,Hamburg,code02,85.78
2004,Percentage,Foreigns,Male,Hamburg,code02,83.84
2005,Percentage,Foreigns,Male,Hamburg,code02,83.76
2006,Percentage,Foreigns,Male,Hamburg,code02,81.52
2007,Percentage,Foreigns,Male,Hamburg,code02,84.19
2008,Percentage,Foreigns,Male,Hamburg,code02,87.27
2009,Percentage,Foreigns,Male,Hamburg,code02,87.51
2010,Percentage,Foreigns,Male,Hamburg,code02,90.0
2011,Percentage,Foreigns,Male,Hamburg,code02,88.99
2012,Percentage,Foreigns,Male,Hamburg,code02,91.59
2013,Percentage,Foreigns,Male,Hamburg,code02,91.6
2014,Percentage,Foreigns,Male,Hamburg,code02,92.13
2015,Percentage,Foreigns,Male,Hamburg,code02,91.94
2016,Percentage,Foreigns,Male,Hamburg,code02,88.29
2017,Percentage,Foreigns,Male,Hamburg,code02,89.0
2018,Percentage,Foreigns,Male,Hamburg,code02,87.3
2019,Percentage,Foreigns,Male,Hamburg,code02,89.16
2020,Percentage,Foreigns,Male,Hamburg,code02,86.95
1996,Percentage,Foreigns,,Hamburg,code02,79.22
1997,Percentage,Foreigns,,Hamburg,code02,79.8
1998,Percentage,Foreigns,,Hamburg,code02,79.02
1999,Percentage,Foreigns,,Hamburg,code02,75.0
2000,Percentage,Foreigns,,Hamburg,code02,77.44
2001,Percentage,Foreigns,,Hamburg,code02,76.46
2002,Percentage,Foreigns,,Hamburg,code02,79.57
2003,Percentage,Foreigns,,Hamburg,code02,78.06
2004,Percentage,Foreigns,,Hamburg,code02,76.68
2005,Percentage,Foreigns,,Hamburg,code02,76.79
2006,Percentage,Foreigns,,Hamburg,code02,77.86
2007,Percentage,Foreigns,,Hamburg,code02,79.04
2008,Percentage,Foreigns,,Hamburg,code02,82.25
2009,Percentage,Foreigns,,Hamburg,code02,82.9
2010,Percentage,Foreigns,,Hamburg,code02,84.67
2011,Percentage,Foreigns,,Hamburg,code02,86.17
2012,Percentage,Foreigns,,Hamburg,code02,87.41
2013,Percentage,Foreigns,,Hamburg,code02,89.32
2014,Percentage,Foreigns,,Hamburg,code02,87.99
2015,Percentage,Foreigns,,Hamburg,code02,87.09
2016,Percentage,Foreigns,,Hamburg,code02,84.74
2017,Percentage,Foreigns,,Hamburg,code02,86.4
2018,Percentage,Foreigns,,Hamburg,code02,83.05
2019,Percentage,Foreigns,,Hamburg,code02,84.68
2020,Percentage,Foreigns,,Hamburg,code02,82.42
1996,Percentage,Foreigns,Female,Hesse,code06,79.03
1997,Percentage,Foreigns,Female,Hesse,code06,80.47
1998,Percentage,Foreigns,Female,Hesse,code06,81.97
1999,Percentage,Foreigns,Female,Hesse,code06,79.9
2000,Percentage,Foreigns,Female,Hesse,code06,78.53
2001,Percentage,Foreigns,Female,Hesse,code06,80.03
2002,Percentage,Foreigns,Female,Hesse,code06,80.9
2003,Percentage,Foreigns,Female,Hesse,code06,81.15
2004,Percentage,Foreigns,Female,Hesse,code06,81.77
2005,Percentage,Foreigns,Female,Hesse,code06,83.2
2006,Percentage,Foreigns,Female,Hesse,code06,83.91
2007,Percentage,Foreigns,Female,Hesse,code06,83.96
2008,Percentage,Foreigns,Female,Hesse,code06,87.08
2009,Percentage,Foreigns,Female,Hesse,code06,85.85
2010,Percentage,Foreigns,Female,Hesse,code06,86.96
2011,Percentage,Foreigns,Female,Hesse,code06,88.33
2012,Percentage,Foreigns,Female,Hesse,code06,89.04
2013,Percentage,Foreigns,Female,Hesse,code06,90.32
2014,Percentage,Foreigns,Female,Hesse,code06,90.72
2015,Percentage,Foreigns,Female,Hesse,code06,91.87
2016,Percentage,Foreigns,Female,Hesse,code06,89.84
2017,Percentage,Foreigns,Female,Hesse,code06,89.7
2018,Percentage,Foreigns,Female,Hesse,code06,89.73
2019,Percentage,Foreigns,Female,Hesse,code06,88.75
2020,Percentage,Foreigns,Female,Hesse,code06,90.36
1996,Percentage,Foreigns,Male,Hesse,code06,83.19
1997,Percentage,Foreigns,Male,Hesse,code06,84.17
1998,Percentage,Foreigns,Male,Hesse,code06,85.9
1999,Percentage,Foreigns,Male,Hesse,code06,83.86
2000,Percentage,Foreigns,Male,Hesse,code06,82.65
2001,Percentage,Foreigns,Male,Hesse,code06,83.58
2002,Percentage,Foreigns,Male,Hesse,code06,83.88
2003,Percentage,Foreigns,Male,Hesse,code06,84.35
2004,Percentage,Foreigns,Male,Hesse,code06,84.94
2005,Percentage,Foreigns,Male,Hesse,code06,86.68
2006,Percentage,Foreigns,Male,Hesse,code06,86.02
2007,Percentage,Foreigns,Male,Hesse,code06,86.06
2008,Percentage,Foreigns,Male,Hesse,code06,88.73
2009,Percentage,Foreigns,Male,Hesse,code06,88.37
2010,Percentage,Foreigns,Male,Hesse,code06,89.63
2011,Percentage,Foreigns,Male,Hesse,code06,89.66
2012,Percentage,Foreigns,Male,Hesse,code06,91.22
2013,Percentage,Foreigns,Male,Hesse,code06,91.64
2014,Percentage,Foreigns,Male,Hesse,code06,92.91
2015,Percentage,Foreigns,Male,Hesse,code06,93.77
2016,Percentage,Foreigns,Male,Hesse,code06,92.19
2017,Percentage,Foreigns,Male,Hesse,code06,91.22
2018,Percentage,Foreigns,Male,Hesse,code06,91.93
2019,Percentage,Foreigns,Male,Hesse,code06,91.14
2020,Percentage,Foreigns,Male,Hesse,code06,92.91
1996,Percentage,Foreigns,,Hesse,code06,75.41
1997,Percentage,Foreigns,,Hesse,code06,77.08
1998,Percentage,Foreigns,,Hesse,code06,78.38
1999,Percentage,Foreigns,,Hesse,code06,76.41
2000,Percentage,Foreigns,,Hesse,code06,74.88
2001,Percentage,Foreigns,,Hesse,code06,76.77
2002,Percentage,Foreigns,,Hesse,code06,78.18
2003,Percentage,Foreigns,,Hesse,code06,78.39
2004,Percentage,Foreigns,,Hesse,code06,78.95
2005,Percentage,Foreigns,,Hesse,code06,79.99
2006,Percentage,Foreigns,,Hesse,code06,81.9
2007,Percentage,Foreigns,,Hesse,code06,81.96
2008,Percentage,Foreigns,,Hesse,code06,85.43
2009,Percentage,Foreigns,,Hesse,code06,83.4
2010,Percentage,Foreigns,,Hesse,code06,84.34
2011,Percentage,Foreigns,,Hesse,code06,87.03
2012,Percentage,Foreigns,,Hesse,code06,86.94
2013,Percentage,Foreigns,,Hesse,code06,89.02
2014,Percentage,Foreigns,,Hesse,code06,88.56
2015,Percentage,Foreigns,,Hesse,code06,90.04
2016,Percentage,Foreigns,,Hesse,code06,87.62
2017,Percentage,Foreigns,,Hesse,code06,88.37
2018,Percentage,Foreigns,,Hesse,code06,87.99
2019,Percentage,Foreigns,,Hesse,code06,86.68
2020,Percentage,Foreigns,,Hesse,code06,88.1
1996,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,87.18
1997,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,85.71
1998,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,73.91
1999,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,78.69
2000,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,85.59
2001,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,73.02
2002,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,83.45
2003,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,79.45
2004,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,85.34
2005,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,78.7
2006,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,85.19
2007,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,81.53
2008,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,86.7
2009,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,85.31
2010,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,83.81
2011,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,81.94
2012,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,89.3
2013,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,83.11
2014,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,87.23
2015,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,91.76
2016,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,84.08
2017,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,80.18
2018,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,75.0
2019,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,79.18
2020,Percentage,Foreigns,Female,Mecklenburg Western Pomerania,code13,87.74
1996,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,100.0
1997,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,90.0
1998,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,73.68
1999,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,79.66
2000,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,91.55
2001,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,83.33
2002,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,94.59
2003,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,88.0
2004,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,91.47
2005,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,86.54
2006,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,88.61
2007,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,82.93
2008,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,92.11
2009,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,89.91
2010,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,88.24
2011,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,87.39
2012,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,90.43
2013,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,85.84
2014,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,89.83
2015,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,92.7
2016,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,90.32
2017,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,89.94
2018,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,84.69
2019,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,82.8
2020,Percentage,Foreigns,Male,Mecklenburg Western Pomerania,code13,91.13
1996,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,75.0
1997,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,81.82
1998,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,74.07
1999,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,77.78
2000,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,76.6
2001,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,63.64
2002,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,71.83
2003,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,70.42
2004,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,77.67
2005,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,71.43
2006,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,82.73
2007,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,80.0
2008,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,80.77
2009,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,80.39
2010,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,79.63
2011,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,76.72
2012,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,88.28
2013,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,80.19
2014,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,84.62
2015,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,90.85
2016,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,78.65
2017,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,73.33
2018,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,69.66
2019,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,76.82
2020,Percentage,Foreigns,,Mecklenburg Western Pomerania,code13,85.14
1996,Percentage,Foreigns,Female,Lower Saxony,code03,72.75
1997,Percentage,Foreigns,Female,Lower Saxony,code03,72.74
1998,Percentage,Foreigns,Female,Lower Saxony,code03,74.82
1999,Percentage,Foreigns,Female,Lower Saxony,code03,74.08
2000,Percentage,Foreigns,Female,Lower Saxony,code03,72.35
2001,Percentage,Foreigns,Female,Lower Saxony,code03,72.6
2002,Percentage,Foreigns,Female,Lower Saxony,code03,73.43
2003,Percentage,Foreigns,Female,Lower Saxony,code03,71.54
2004,Percentage,Foreigns,Female,Lower Saxony,code03,77.64
2005,Percentage,Foreigns,Female,Lower Saxony,code03,74.99
2006,Percentage,Foreigns,Female,Lower Saxony,code03,75.08
2007,Percentage,Foreigns,Female,Lower Saxony,code03,79.87
2008,Percentage,Foreigns,Female,Lower Saxony,code03,79.99
2009,Percentage,Foreigns,Female,Lower Saxony,code03,82.71
2010,Percentage,Foreigns,Female,Lower Saxony,code03,83.79
2011,Percentage,Foreigns,Female,Lower Saxony,code03,84.33
2012,Percentage,Foreigns,Female,Lower Saxony,code03,86.37
2013,Percentage,Foreigns,Female,Lower Saxony,code03,86.31
2014,Percentage,Foreigns,Female,Lower Saxony,code03,87.78
2015,Percentage,Foreigns,Female,Lower Saxony,code03,85.58
2016,Percentage,Foreigns,Female,Lower Saxony,code03,83.71
2017,Percentage,Foreigns,Female,Lower Saxony,code03,77.08
2018,Percentage,Foreigns,Female,Lower Saxony,code03,77.15
2019,Percentage,Foreigns,Female,Lower Saxony,code03,76.87
2020,Percentage,Foreigns,Female,Lower Saxony,code03,79.55
1996,Percentage,Foreigns,Male,Lower Saxony,code03,77.39
1997,Percentage,Foreigns,Male,Lower Saxony,code03,77.38
1998,Percentage,Foreigns,Male,Lower Saxony,code03,80.09
1999,Percentage,Foreigns,Male,Lower Saxony,code03,79.91
2000,Percentage,Foreigns,Male,Lower Saxony,code03,78.29
2001,Percentage,Foreigns,Male,Lower Saxony,code03,78.5
2002,Percentage,Foreigns,Male,Lower Saxony,code03,79.39
2003,Percentage,Foreigns,Male,Lower Saxony,code03,77.11
2004,Percentage,Foreigns,Male,Lower Saxony,code03,82.59
2005,Percentage,Foreigns,Male,Lower Saxony,code03,80.47
2006,Percentage,Foreigns,Male,Lower Saxony,code03,80.29
2007,Percentage,Foreigns,Male,Lower Saxony,code03,84.13
2008,Percentage,Foreigns,Male,Lower Saxony,code03,84.02
2009,Percentage,Foreigns,Male,Lower Saxony,code03,86.18
2010,Percentage,Foreigns,Male,Lower Saxony,code03,87.12
2011,Percentage,Foreigns,Male,Lower Saxony,code03,87.83
2012,Percentage,Foreigns,Male,Lower Saxony,code03,88.97
2013,Percentage,Foreigns,Male,Lower Saxony,code03,87.67
2014,Percentage,Foreigns,Male,Lower Saxony,code03,88.58
2015,Percentage,Foreigns,Male,Lower Saxony,code03,86.47
2016,Percentage,Foreigns,Male,Lower Saxony,code03,85.79
2017,Percentage,Foreigns,Male,Lower Saxony,code03,81.97
2018,Percentage,Foreigns,Male,Lower Saxony,code03,80.63
2019,Percentage,Foreigns,Male,Lower Saxony,code03,80.46
2020,Percentage,Foreigns,Male,Lower Saxony,code03,82.14
1996,Percentage,Foreigns,,Lower Saxony,code03,68.58
1997,Percentage,Foreigns,,Lower Saxony,code03,68.59
1998,Percentage,Foreigns,,Lower Saxony,code03,70.57
1999,Percentage,Foreigns,,Lower Saxony,code03,68.86
2000,Percentage,Foreigns,,Lower Saxony,code03,67.16
2001,Percentage,Foreigns,,Lower Saxony,code03,67.37
2002,Percentage,Foreigns,,Lower Saxony,code03,68.05
2003,Percentage,Foreigns,,Lower Saxony,code03,67.12
2004,Percentage,Foreigns,,Lower Saxony,code03,73.52
2005,Percentage,Foreigns,,Lower Saxony,code03,70.44
2006,Percentage,Foreigns,,Lower Saxony,code03,70.37
2007,Percentage,Foreigns,,Lower Saxony,code03,75.92
2008,Percentage,Foreigns,,Lower Saxony,code03,76.21
2009,Percentage,Foreigns,,Lower Saxony,code03,79.43
2010,Percentage,Foreigns,,Lower Saxony,code03,80.65
2011,Percentage,Foreigns,,Lower Saxony,code03,80.96
2012,Percentage,Foreigns,,Lower Saxony,code03,83.91
2013,Percentage,Foreigns,,Lower Saxony,code03,85.03
2014,Percentage,Foreigns,,Lower Saxony,code03,87.04
2015,Percentage,Foreigns,,Lower Saxony,code03,84.74
2016,Percentage,Foreigns,,Lower Saxony,code03,81.82
2017,Percentage,Foreigns,,Lower Saxony,code03,73.24
2018,Percentage,Foreigns,,Lower Saxony,code03,74.52
2019,Percentage,Foreigns,,Lower Saxony,code03,73.9
2020,Percentage,Foreigns,,Lower Saxony,code03,77.23
1996,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,87.33
1997,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,87.02
1998,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,87.21
1999,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,87.73
2000,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.85
2001,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.36
2002,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,85.59
2003,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.27
2004,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.08
2005,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,85.94
2006,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.21
2007,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,85.76
2008,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,85.94
2009,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.86
2010,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,87.72
2011,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.65
2012,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.99
2013,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,89.76
2014,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.45
2015,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.88
2016,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,88.39
2017,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,84.61
2018,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,84.01
2019,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,84.11
2020,Percentage,Foreigns,Female,North Rhine-Westphalia,code05,86.75
1996,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.22
1997,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.23
1998,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.41
1999,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.43
2000,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,89.66
2001,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,89.52
2002,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.65
2003,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.98
2004,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,89.16
2005,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,89.08
2006,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.81
2007,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.52
2008,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.56
2009,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,88.67
2010,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,89.59
2011,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.52
2012,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.64
2013,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,91.47
2014,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.31
2015,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.39
2016,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,90.27
2017,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,87.8
2018,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,86.67
2019,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,86.48
2020,Percentage,Foreigns,Male,North Rhine-Westphalia,code05,89.09
1996,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.68
1997,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.14
1998,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.26
1999,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.2
2000,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.15
2001,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.45
2002,Percentage,Foreigns,,North Rhine-Westphalia,code05,82.65
2003,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.72
2004,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.05
2005,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.08
2006,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.78
2007,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.14
2008,Percentage,Foreigns,,North Rhine-Westphalia,code05,83.35
2009,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.1
2010,Percentage,Foreigns,,North Rhine-Westphalia,code05,85.88
2011,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.86
2012,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.39
2013,Percentage,Foreigns,,North Rhine-Westphalia,code05,88.06
2014,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.67
2015,Percentage,Foreigns,,North Rhine-Westphalia,code05,87.44
2016,Percentage,Foreigns,,North Rhine-Westphalia,code05,86.61
2017,Percentage,Foreigns,,North Rhine-Westphalia,code05,81.7
2018,Percentage,Foreigns,,North Rhine-Westphalia,code05,81.72
2019,Percentage,Foreigns,,North Rhine-Westphalia,code05,82.02
2020,Percentage,Foreigns,,North Rhine-Westphalia,code05,84.6
1996,Percentage,Foreigns,Female,Rhineland Palatinate,code07,78.34
1997,Percentage,Foreigns,Female,Rhineland Palatinate,code07,77.16
1998,Percentage,Foreigns,Female,Rhineland Palatinate,code07,74.8
1999,Percentage,Foreigns,Female,Rhineland Palatinate,code07,73.01
2000,Percentage,Foreigns,Female,Rhineland Palatinate,code07,74.77
2001,Percentage,Foreigns,Female,Rhineland Palatinate,code07,76.79
2002,Percentage,Foreigns,Female,Rhineland Palatinate,code07,78.12
2003,Percentage,Foreigns,Female,Rhineland Palatinate,code07,74.56
2004,Percentage,Foreigns,Female,Rhineland Palatinate,code07,78.52
2005,Percentage,Foreigns,Female,Rhineland Palatinate,code07,84.96
2006,Percentage,Foreigns,Female,Rhineland Palatinate,code07,83.22
2007,Percentage,Foreigns,Female,Rhineland Palatinate,code07,84.9
2008,Percentage,Foreigns,Female,Rhineland Palatinate,code07,84.1
2009,Percentage,Foreigns,Female,Rhineland Palatinate,code07,86.37
2010,Percentage,Foreigns,Female,Rhineland Palatinate,code07,88.19
2011,Percentage,Foreigns,Female,Rhineland Palatinate,code07,89.17
2012,Percentage,Foreigns,Female,Rhineland Palatinate,code07,89.98
2013,Percentage,Foreigns,Female,Rhineland Palatinate,code07,89.66
2014,Percentage,Foreigns,Female,Rhineland Palatinate,code07,89.03
2015,Percentage,Foreigns,Female,Rhineland Palatinate,code07,88.14
2016,Percentage,Foreigns,Female,Rhineland Palatinate,code07,85.99
2017,Percentage,Foreigns,Female,Rhineland Palatinate,code07,82.43
2018,Percentage,Foreigns,Female,Rhineland Palatinate,code07,82.13
2019,Percentage,Foreigns,Female,Rhineland Palatinate,code07,82.19
2020,Percentage,Foreigns,Female,Rhineland Palatinate,code07,85.87
1996,Percentage,Foreigns,Male,Rhineland Palatinate,code07,84.84
1997,Percentage,Foreigns,Male,Rhineland Palatinate,code07,81.93
1998,Percentage,Foreigns,Male,Rhineland Palatinate,code07,81.25
1999,Percentage,Foreigns,Male,Rhineland Palatinate,code07,79.73
2000,Percentage,Foreigns,Male,Rhineland Palatinate,code07,81.06
2001,Percentage,Foreigns,Male,Rhineland Palatinate,code07,81.8
2002,Percentage,Foreigns,Male,Rhineland Palatinate,code07,82.88
2003,Percentage,Foreigns,Male,Rhineland Palatinate,code07,75.96
2004,Percentage,Foreigns,Male,Rhineland Palatinate,code07,83.19
2005,Percentage,Foreigns,Male,Rhineland Palatinate,code07,87.27
2006,Percentage,Foreigns,Male,Rhineland Palatinate,code07,88.08
2007,Percentage,Foreigns,Male,Rhineland Palatinate,code07,88.83
2008,Percentage,Foreigns,Male,Rhineland Palatinate,code07,87.21
2009,Percentage,Foreigns,Male,Rhineland Palatinate,code07,89.78
2010,Percentage,Foreigns,Male,Rhineland Palatinate,code07,90.6
2011,Percentage,Foreigns,Male,Rhineland Palatinate,code07,91.32
2012,Percentage,Foreigns,Male,Rhineland Palatinate,code07,92.0
2013,Percentage,Foreigns,Male,Rhineland Palatinate,code07,92.19
2014,Percentage,Foreigns,Male,Rhineland Palatinate,code07,90.51
2015,Percentage,Foreigns,Male,Rhineland Palatinate,code07,90.49
2016,Percentage,Foreigns,Male,Rhineland Palatinate,code07,90.3
2017,Percentage,Foreigns,Male,Rhineland Palatinate,code07,86.9
2018,Percentage,Foreigns,Male,Rhineland Palatinate,code07,87.23
2019,Percentage,Foreigns,Male,Rhineland Palatinate,code07,86.59
2020,Percentage,Foreigns,Male,Rhineland Palatinate,code07,89.58
1996,Percentage,Foreigns,,Rhineland Palatinate,code07,73.15
1997,Percentage,Foreigns,,Rhineland Palatinate,code07,72.91
1998,Percentage,Foreigns,,Rhineland Palatinate,code07,69.49
1999,Percentage,Foreigns,,Rhineland Palatinate,code07,67.54
2000,Percentage,Foreigns,,Rhineland Palatinate,code07,69.43
2001,Percentage,Foreigns,,Rhineland Palatinate,code07,72.61
2002,Percentage,Foreigns,,Rhineland Palatinate,code07,73.63
2003,Percentage,Foreigns,,Rhineland Palatinate,code07,72.91
2004,Percentage,Foreigns,,Rhineland Palatinate,code07,73.95
2005,Percentage,Foreigns,,Rhineland Palatinate,code07,82.78
