Year,Units,Federal state,GeoCode,Criminal offences,Value
2000,"Per 100,000 inhabitants",,,,171.909
2001,"Per 100,000 inhabitants",,,,164.145
2002,"Per 100,000 inhabitants",,,,159.443
2003,"Per 100,000 inhabitants",,,,151.1
2004,"Per 100,000 inhabitants",,,,152.32
2005,"Per 100,000 inhabitants",,,,134.805
2006,"Per 100,000 inhabitants",,,,130.562
2007,"Per 100,000 inhabitants",,,,134.599
2008,"Per 100,000 inhabitants",,,,133.836
2009,"Per 100,000 inhabitants",,,,141.158
2010,"Per 100,000 inhabitants",,,,151.03
2011,"Per 100,000 inhabitants",,,,165.285
2012,"Per 100,000 inhabitants",,,,179.411
2013,"Per 100,000 inhabitants",,,,185.7
2014,"Per 100,000 inhabitants",,,,188.3
2015,"Per 100,000 inhabitants",,,,205.8
2016,"Per 100,000 inhabitants",,,,184.075
2017,"Per 100,000 inhabitants",,,,141.2
2018,"Per 100,000 inhabitants",,,,117.769
2019,"Per 100,000 inhabitants",,,,104.97
2020,"Per 100,000 inhabitants",,,,90.208
2021,"Per 100,000 inhabitants",,,,65.223
1993,"Per 100,000 inhabitants",,,,7310.504
1994,"Per 100,000 inhabitants",,,,6969.442
1995,"Per 100,000 inhabitants",,,,7066.485
1996,"Per 100,000 inhabitants",,,,7004.051
1997,"Per 100,000 inhabitants",,,,6902.249
1998,"Per 100,000 inhabitants",,,,6717.579
1999,"Per 100,000 inhabitants",,,,6537.571
2000,"Per 100,000 inhabitants",,,,6429.227
2001,"Per 100,000 inhabitants",,,,6525.908
2002,"Per 100,000 inhabitants",,,,6696.451
2003,"Per 100,000 inhabitants",,,,6667.887
2004,"Per 100,000 inhabitants",,,,6658.625
2005,"Per 100,000 inhabitants",,,,6369.412
2006,"Per 100,000 inhabitants",,,,6266.75
2007,"Per 100,000 inhabitants",,,,6299.947
2008,"Per 100,000 inhabitants",,,,6138.74
2009,"Per 100,000 inhabitants",,,,5997.87
2010,"Per 100,000 inhabitants",,,,5850.772
2011,"Per 100,000 inhabitants",,,,5963.585
2012,"Per 100,000 inhabitants",,,,5923.634
2013,"Per 100,000 inhabitants",,,,5894.4
2014,"Per 100,000 inhabitants",,,,5986.7
2015,"Per 100,000 inhabitants",,,,6243.8
2016,"Per 100,000 inhabitants",,,,6306.277
2017,"Per 100,000 inhabitants",,,,5571.7
2018,"Per 100,000 inhabitants",,,,5411.739
2019,"Per 100,000 inhabitants",,,,5279.749
2020,"Per 100,000 inhabitants",,,,5166.816
2021,"Per 100,000 inhabitants",,,,4903.685
