Year,Units,Time series,Federal state,GeoCode,Value
2011,Percentage,Smoking rate among adults,Saarland,code10,
2012,Percentage,Smoking rate among adults,Saarland,code10,
2013,Percentage,Smoking rate among adults,Saarland,code10,23.51
2014,Percentage,Smoking rate among adults,Saarland,code10,
2015,Percentage,Smoking rate among adults,Saarland,code10,
2016,Percentage,Smoking rate among adults,Saarland,code10,
2017,Percentage,Smoking rate among adults,Saarland,code10,20.59
2018,Percentage,Smoking rate among adults,Saarland,code10,
2019,Percentage,Smoking rate among adults,Saarland,code10,
2021,Percentage,Smoking rate among adults,Saarland,code10,18.1
2003,Percentage,Smoking rate among adults,Saarland,code10,25.19
2004,Percentage,Smoking rate among adults,Saarland,code10,
2005,Percentage,Smoking rate among adults,Saarland,code10,26.2
2006,Percentage,Smoking rate among adults,Saarland,code10,
2007,Percentage,Smoking rate among adults,Saarland,code10,
2008,Percentage,Smoking rate among adults,Saarland,code10,
2009,Percentage,Smoking rate among adults,Saarland,code10,25.3
2010,Percentage,Smoking rate among adults,Saarland,code10,
2011,Percentage,Smoking rate among adults,Saarland,code10,
2012,Percentage,Smoking rate among adults,Saarland,code10,
2013,Percentage,Smoking rate among adults,Saarland,code10,23.51
2014,Percentage,Smoking rate among adults,Saarland,code10,
2015,Percentage,Smoking rate among adults,Saarland,code10,
2016,Percentage,Smoking rate among adults,Saarland,code10,
2017,Percentage,Smoking rate among adults,Saarland,code10,20.59
2018,Percentage,Smoking rate among adults,Saarland,code10,
2019,Percentage,Smoking rate among adults,Saarland,code10,
2020,Percentage,Smoking rate among adults,Saarland,code10,
2003,Percentage,Smoking rate among adults,Saxony,code14,24.92
2004,Percentage,Smoking rate among adults,Saxony,code14,
2005,Percentage,Smoking rate among adults,Saxony,code14,24.4
2007,Percentage,Smoking rate among adults,Saxony,code14,
2008,Percentage,Smoking rate among adults,Saxony,code14,
2009,Percentage,Smoking rate among adults,Saxony,code14,23.8
2010,Percentage,Smoking rate among adults,Saxony,code14,
2011,Percentage,Smoking rate among adults,Saxony,code14,
2012,Percentage,Smoking rate among adults,Saxony,code14,
2013,Percentage,Smoking rate among adults,Saxony,code14,22.74
2014,Percentage,Smoking rate among adults,Saxony,code14,
2015,Percentage,Smoking rate among adults,Saxony,code14,
2016,Percentage,Smoking rate among adults,Saxony,code14,
2017,Percentage,Smoking rate among adults,Saxony,code14,21.47
2018,Percentage,Smoking rate among adults,Saxony,code14,
2019,Percentage,Smoking rate among adults,Saxony,code14,
2021,Percentage,Smoking rate among adults,Saxony,code14,21.1
2003,Percentage,Smoking rate among adults,Saxony,code14,24.92
2004,Percentage,Smoking rate among adults,Saxony,code14,
2005,Percentage,Smoking rate among adults,Saxony,code14,24.4
2006,Percentage,Smoking rate among adults,Saxony,code14,
2007,Percentage,Smoking rate among adults,Saxony,code14,
2008,Percentage,Smoking rate among adults,Saxony,code14,
2009,Percentage,Smoking rate among adults,Saxony,code14,23.8
2010,Percentage,Smoking rate among adults,Saxony,code14,
2011,Percentage,Smoking rate among adults,Saxony,code14,
2012,Percentage,Smoking rate among adults,Saxony,code14,
2013,Percentage,Smoking rate among adults,Saxony,code14,22.74
2014,Percentage,Smoking rate among adults,Saxony,code14,
2015,Percentage,Smoking rate among adults,Saxony,code14,
2016,Percentage,Smoking rate among adults,Saxony,code14,
2017,Percentage,Smoking rate among adults,Saxony,code14,21.47
2018,Percentage,Smoking rate among adults,Saxony,code14,
2019,Percentage,Smoking rate among adults,Saxony,code14,
2020,Percentage,Smoking rate among adults,Saxony,code14,
2003,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,27.23
2004,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2005,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,27.9
2007,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2008,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2009,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,28.9
2010,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2011,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2012,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2013,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,27.85
2014,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2015,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2016,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2017,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,24.77
2018,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2019,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2021,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,22.8
2003,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,27.23
2004,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2005,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,27.9
2006,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2007,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2008,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2009,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,28.9
2010,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2011,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2012,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2013,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,27.85
2014,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2015,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2016,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2017,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,24.77
2018,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2019,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2020,Percentage,Smoking rate among adults,Saxony-Anhalt,code15,
2003,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,30.31
2004,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2005,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,29.5
2007,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2008,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2009,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,27.0
2010,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2011,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2012,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2013,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,25.9
2014,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2015,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2016,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2017,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,23.5
2018,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2019,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2021,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,19.0
2003,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,30.31
2004,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2005,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,29.5
2006,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2007,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2008,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2009,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,27.0
2010,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2011,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2012,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2013,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,25.9
2014,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2015,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2016,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2017,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,23.5
2018,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2019,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2020,Percentage,Smoking rate among adults,Schleswig-Holstein,code01,
2003,Percentage,Smoking rate among adults,Thuringia,code16,26.9
2004,Percentage,Smoking rate among adults,Thuringia,code16,
2005,Percentage,Smoking rate among adults,Thuringia,code16,27.2
2007,Percentage,Smoking rate among adults,Thuringia,code16,
2008,Percentage,Smoking rate among adults,Thuringia,code16,
2009,Percentage,Smoking rate among adults,Thuringia,code16,26.7
2010,Percentage,Smoking rate among adults,Thuringia,code16,
2011,Percentage,Smoking rate among adults,Thuringia,code16,
2012,Percentage,Smoking rate among adults,Thuringia,code16,
2013,Percentage,Smoking rate among adults,Thuringia,code16,26.11
2014,Percentage,Smoking rate among adults,Thuringia,code16,
2015,Percentage,Smoking rate among adults,Thuringia,code16,
2016,Percentage,Smoking rate among adults,Thuringia,code16,
2017,Percentage,Smoking rate among adults,Thuringia,code16,26.24
2018,Percentage,Smoking rate among adults,Thuringia,code16,
2019,Percentage,Smoking rate among adults,Thuringia,code16,
2021,Percentage,Smoking rate among adults,Thuringia,code16,23.5
2003,Percentage,Smoking rate among adults,Thuringia,code16,26.9
2004,Percentage,Smoking rate among adults,Thuringia,code16,
2005,Percentage,Smoking rate among adults,Thuringia,code16,27.2
2006,Percentage,Smoking rate among adults,Thuringia,code16,
2007,Percentage,Smoking rate among adults,Thuringia,code16,
2008,Percentage,Smoking rate among adults,Thuringia,code16,
2009,Percentage,Smoking rate among adults,Thuringia,code16,26.7
2010,Percentage,Smoking rate among adults,Thuringia,code16,
2011,Percentage,Smoking rate among adults,Thuringia,code16,
2012,Percentage,Smoking rate among adults,Thuringia,code16,
2013,Percentage,Smoking rate among adults,Thuringia,code16,26.11
2014,Percentage,Smoking rate among adults,Thuringia,code16,
2015,Percentage,Smoking rate among adults,Thuringia,code16,
2016,Percentage,Smoking rate among adults,Thuringia,code16,
2017,Percentage,Smoking rate among adults,Thuringia,code16,26.24
2018,Percentage,Smoking rate among adults,Thuringia,code16,
2019,Percentage,Smoking rate among adults,Thuringia,code16,
2020,Percentage,Smoking rate among adults,Thuringia,code16,
