Year,Units,Sex,Federal state,GeoCode,Value
2015,Percentage,Male,Schleswig-Holstein,code01,12.06
2016,Percentage,Male,Schleswig-Holstein,code01,10.82
2017,Percentage,Male,Schleswig-Holstein,code01,10.38
2018,Percentage,Male,Schleswig-Holstein,code01,11.18
2019,Percentage,Male,Schleswig-Holstein,code01,13.23
2020,Percentage,Male,Schleswig-Holstein,code01,-14.2
1999,Percentage,,Thuringia,code16,
2010,Percentage,,Thuringia,code16,6.3
2011,Percentage,,Thuringia,code16,7.65
2012,Percentage,,Thuringia,code16,6.99
2013,Percentage,,Thuringia,code16,7.7
2014,Percentage,,Thuringia,code16,6.12
2015,Percentage,,Thuringia,code16,8.33
2016,Percentage,,Thuringia,code16,8.8
2017,Percentage,,Thuringia,code16,8.71
2018,Percentage,,Thuringia,code16,8.46
2019,Percentage,,Thuringia,code16,9.6
2020,Percentage,,Thuringia,code16,-9.1
1999,Percentage,Female,Thuringia,code16,
2010,Percentage,Female,Thuringia,code16,6.4
2011,Percentage,Female,Thuringia,code16,6.67
2012,Percentage,Female,Thuringia,code16,
2013,Percentage,Female,Thuringia,code16,
2014,Percentage,Female,Thuringia,code16,
2015,Percentage,Female,Thuringia,code16,
2016,Percentage,Female,Thuringia,code16,
2017,Percentage,Female,Thuringia,code16,
2018,Percentage,Female,Thuringia,code16,
2019,Percentage,Female,Thuringia,code16,
2020,Percentage,Female,Thuringia,code16,
1999,Percentage,Male,Thuringia,code16,
2010,Percentage,Male,Thuringia,code16,6.2
2011,Percentage,Male,Thuringia,code16,8.49
2012,Percentage,Male,Thuringia,code16,8.04
2013,Percentage,Male,Thuringia,code16,8.3
2014,Percentage,Male,Thuringia,code16,
2015,Percentage,Male,Thuringia,code16,9.13
2016,Percentage,Male,Thuringia,code16,10.02
2017,Percentage,Male,Thuringia,code16,10.56
2018,Percentage,Male,Thuringia,code16,10.1
2019,Percentage,Male,Thuringia,code16,10.48
2020,Percentage,Male,Thuringia,code16,
