Year,Units,Display,Time series,Sex,Region,GeoCode,Value
2017,Percentage,Time series,Total,Total,Lower Saxony,code03,42.6
2018,Percentage,Time series,Total,Total,Lower Saxony,code03,44.0
2019,Percentage,Time series,Total,Total,Lower Saxony,code03,44.7
2005,Percentage,Time series,Total,Female,Lower Saxony,code03,29.5
2006,Percentage,Time series,Total,Female,Lower Saxony,code03,29.9
2007,Percentage,Time series,Total,Female,Lower Saxony,code03,30.9
2008,Percentage,Time series,Total,Female,Lower Saxony,code03,33.1
2009,Percentage,Time series,Total,Female,Lower Saxony,code03,36.2
2010,Percentage,Time series,Total,Female,Lower Saxony,code03,37.5
2011,Percentage,Time series,Total,Female,Lower Saxony,code03,39.6
2012,Percentage,Time series,Total,Female,Lower Saxony,code03,40.5
2013,Percentage,Time series,Total,Female,Lower Saxony,code03,38.8
2014,Percentage,Time series,Total,Female,Lower Saxony,code03,42.3
2015,Percentage,Time series,Total,Female,Lower Saxony,code03,46.3
2016,Percentage,Time series,Total,Female,Lower Saxony,code03,44.5
2017,Percentage,Time series,Total,Female,Lower Saxony,code03,45.9
2018,Percentage,Time series,Total,Female,Lower Saxony,code03,48.5
2019,Percentage,Time series,Total,Female,Lower Saxony,code03,49.0
2005,Percentage,Time series,Total,Male,Lower Saxony,code03,34.6
2006,Percentage,Time series,Total,Male,Lower Saxony,code03,33.5
2007,Percentage,Time series,Total,Male,Lower Saxony,code03,35.1
2008,Percentage,Time series,Total,Male,Lower Saxony,code03,34.9
2009,Percentage,Time series,Total,Male,Lower Saxony,code03,34.9
2010,Percentage,Time series,Total,Male,Lower Saxony,code03,34.9
2011,Percentage,Time series,Total,Male,Lower Saxony,code03,35.4
2012,Percentage,Time series,Total,Male,Lower Saxony,code03,35.7
2013,Percentage,Time series,Total,Male,Lower Saxony,code03,37.0
2014,Percentage,Time series,Total,Male,Lower Saxony,code03,37.9
2015,Percentage,Time series,Total,Male,Lower Saxony,code03,40.1
2016,Percentage,Time series,Total,Male,Lower Saxony,code03,38.4
2017,Percentage,Time series,Total,Male,Lower Saxony,code03,39.5
2018,Percentage,Time series,Total,Male,Lower Saxony,code03,39.8
2019,Percentage,Time series,Total,Male,Lower Saxony,code03,40.7
2005,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,37.0
2006,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,37.8
2007,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,38.7
2008,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,40.9
2009,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,41.7
2010,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,41.3
2011,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,42.0
2012,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,44.4
2013,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,45.0
2014,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,47.8
2015,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,48.7
2016,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,50.3
2017,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,51.0
2018,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,50.6
2019,Percentage,Time series,Total,Total,North Rhine-Westphalia,code05,50.9
2005,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,36.4
2006,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,38.0
2007,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,38.4
2008,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,41.5
2009,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,42.6
2010,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,42.1
2011,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,43.8
2012,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,46.8
2013,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,47.4
2014,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,50.8
2015,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,52.6
2016,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,54.2
2017,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,54.6
2018,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,55.1
2019,Percentage,Time series,Total,Female,North Rhine-Westphalia,code05,55.3
2005,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,37.5
2006,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,37.7
2007,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,39.0
2008,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,40.3
2009,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,40.8
2010,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,40.5
2011,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,40.3
2012,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,42.0
2013,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,42.6
2014,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,44.8
2015,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,44.8
2016,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,46.3
2017,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,47.6
2018,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,46.1
2019,Percentage,Time series,Total,Male,North Rhine-Westphalia,code05,46.7
2005,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,30.4
2006,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,31.9
2007,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,32.9
2008,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,35.3
2009,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,36.7
2010,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,38.5
2011,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,40.0
2012,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,42.3
2013,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,41.9
2014,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,43.7
2015,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,42.6
2016,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,44.2
2017,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,44.1
2018,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,44.6
2019,Percentage,Time series,Total,Total,Rhineland Palatinate,code07,48.2
2005,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,26.6
2006,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,29.3
2007,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,31.8
2008,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,35.1
2009,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,37.0
2010,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,37.0
2011,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,40.9
2012,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,42.3
2013,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,42.2
2014,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,45.6
2015,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,44.6
2016,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,46.6
2017,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,47.9
2018,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,46.7
2019,Percentage,Time series,Total,Female,Rhineland Palatinate,code07,51.3
2005,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,34.6
2006,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,34.7
2007,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,34.0
2008,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,35.5
2009,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,36.3
2010,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,40.1
2011,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,39.0
2012,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,42.2
2013,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,41.7
2014,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,41.6
2015,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,40.6
2016,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,41.9
2017,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,40.4
2018,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,42.5
2019,Percentage,Time series,Total,Male,Rhineland Palatinate,code07,45.2
2005,Percentage,Time series,Total,Total,Saarland,code10,32.7
2006,Percentage,Time series,Total,Total,Saarland,code10,35.0
2007,Percentage,Time series,Total,Total,Saarland,code10,32.4
2008,Percentage,Time series,Total,Total,Saarland,code10,36.2
2009,Percentage,Time series,Total,Total,Saarland,code10,37.2
2010,Percentage,Time series,Total,Total,Saarland,code10,32.9
2011,Percentage,Time series,Total,Total,Saarland,code10,34.8
2012,Percentage,Time series,Total,Total,Saarland,code10,38.3
2013,Percentage,Time series,Total,Total,Saarland,code10,35.7
2014,Percentage,Time series,Total,Total,Saarland,code10,35.8
2015,Percentage,Time series,Total,Total,Saarland,code10,40.2
2016,Percentage,Time series,Total,Total,Saarland,code10,41.4
2017,Percentage,Time series,Total,Total,Saarland,code10,39.8
2018,Percentage,Time series,Total,Total,Saarland,code10,44.6
2019,Percentage,Time series,Total,Total,Saarland,code10,47.7
2005,Percentage,Time series,Total,Female,Saarland,code10,32.8
2006,Percentage,Time series,Total,Female,Saarland,code10,35.0
2007,Percentage,Time series,Total,Female,Saarland,code10,33.0
2008,Percentage,Time series,Total,Female,Saarland,code10,37.2
2009,Percentage,Time series,Total,Female,Saarland,code10,40.2
2010,Percentage,Time series,Total,Female,Saarland,code10,36.8
2011,Percentage,Time series,Total,Female,Saarland,code10,38.7
2012,Percentage,Time series,Total,Female,Saarland,code10,42.2
2013,Percentage,Time series,Total,Female,Saarland,code10,39.9
2014,Percentage,Time series,Total,Female,Saarland,code10,35.8
2015,Percentage,Time series,Total,Female,Saarland,code10,41.3
2016,Percentage,Time series,Total,Female,Saarland,code10,37.9
2017,Percentage,Time series,Total,Female,Saarland,code10,40.4
2018,Percentage,Time series,Total,Female,Saarland,code10,49.2
2019,Percentage,Time series,Total,Female,Saarland,code10,54.2
2005,Percentage,Time series,Total,Male,Saarland,code10,32.5
2006,Percentage,Time series,Total,Male,Saarland,code10,35.0
2007,Percentage,Time series,Total,Male,Saarland,code10,31.7
2008,Percentage,Time series,Total,Male,Saarland,code10,35.1
2009,Percentage,Time series,Total,Male,Saarland,code10,34.2
2010,Percentage,Time series,Total,Male,Saarland,code10,28.8
2011,Percentage,Time series,Total,Male,Saarland,code10,30.8
2012,Percentage,Time series,Total,Male,Saarland,code10,34.7
2013,Percentage,Time series,Total,Male,Saarland,code10,32.3
2014,Percentage,Time series,Total,Male,Saarland,code10,35.8
2015,Percentage,Time series,Total,Male,Saarland,code10,39.2
2016,Percentage,Time series,Total,Male,Saarland,code10,44.4
2017,Percentage,Time series,Total,Male,Saarland,code10,39.4
2018,Percentage,Time series,Total,Male,Saarland,code10,40.8
2019,Percentage,Time series,Total,Male,Saarland,code10,41.5
2005,Percentage,Time series,Total,Total,Saxony,code14,37.9
2006,Percentage,Time series,Total,Total,Saxony,code14,40.6
2007,Percentage,Time series,Total,Total,Saxony,code14,44.3
2008,Percentage,Time series,Total,Total,Saxony,code14,44.4
2009,Percentage,Time series,Total,Total,Saxony,code14,46.0
2010,Percentage,Time series,Total,Total,Saxony,code14,46.4
2011,Percentage,Time series,Total,Total,Saxony,code14,44.0
2012,Percentage,Time series,Total,Total,Saxony,code14,42.7
2013,Percentage,Time series,Total,Total,Saxony,code14,45.8
2014,Percentage,Time series,Total,Total,Saxony,code14,46.2
2015,Percentage,Time series,Total,Total,Saxony,code14,48.3
2016,Percentage,Time series,Total,Total,Saxony,code14,46.2
2017,Percentage,Time series,Total,Total,Saxony,code14,48.0
2018,Percentage,Time series,Total,Total,Saxony,code14,49.2
2019,Percentage,Time series,Total,Total,Saxony,code14,50.7
2005,Percentage,Time series,Total,Female,Saxony,code14,42.1
2006,Percentage,Time series,Total,Female,Saxony,code14,48.2
2007,Percentage,Time series,Total,Female,Saxony,code14,52.4
2008,Percentage,Time series,Total,Female,Saxony,code14,52.4
2009,Percentage,Time series,Total,Female,Saxony,code14,55.4
2010,Percentage,Time series,Total,Female,Saxony,code14,55.0
2011,Percentage,Time series,Total,Female,Saxony,code14,53.1
2012,Percentage,Time series,Total,Female,Saxony,code14,50.5
2013,Percentage,Time series,Total,Female,Saxony,code14,55.4
2014,Percentage,Time series,Total,Female,Saxony,code14,54.3
2015,Percentage,Time series,Total,Female,Saxony,code14,56.3
2016,Percentage,Time series,Total,Female,Saxony,code14,54.9
2017,Percentage,Time series,Total,Female,Saxony,code14,56.9
2018,Percentage,Time series,Total,Female,Saxony,code14,57.4
2019,Percentage,Time series,Total,Female,Saxony,code14,59.8
2005,Percentage,Time series,Total,Male,Saxony,code14,34.3
2006,Percentage,Time series,Total,Male,Saxony,code14,34.0
2007,Percentage,Time series,Total,Male,Saxony,code14,37.3
2008,Percentage,Time series,Total,Male,Saxony,code14,37.8
2009,Percentage,Time series,Total,Male,Saxony,code14,37.8
2010,Percentage,Time series,Total,Male,Saxony,code14,38.6
2011,Percentage,Time series,Total,Male,Saxony,code14,36.2
2012,Percentage,Time series,Total,Male,Saxony,code14,36.0
2013,Percentage,Time series,Total,Male,Saxony,code14,37.8
2014,Percentage,Time series,Total,Male,Saxony,code14,39.1
2015,Percentage,Time series,Total,Male,Saxony,code14,41.0
2016,Percentage,Time series,Total,Male,Saxony,code14,38.4
2017,Percentage,Time series,Total,Male,Saxony,code14,39.9
2018,Percentage,Time series,Total,Male,Saxony,code14,41.6
2019,Percentage,Time series,Total,Male,Saxony,code14,41.7
2005,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,27.9
2006,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,28.4
2007,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,27.0
2008,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,30.3
2009,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,32.3
2010,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,32.2
2011,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,31.4
2012,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,30.9
2013,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,30.6
2014,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,32.3
2015,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,34.2
2016,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,33.4
2017,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,35.8
2018,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,38.6
2019,Percentage,Time series,Total,Total,Saxony-Anhalt,code15,36.6
2005,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,31.2
2006,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,32.1
2007,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,34.2
2008,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,36.6
2009,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,36.9
2010,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,37.1
2011,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,37.2
2012,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,36.3
2013,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,36.5
2014,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,38.9
2015,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,39.8
2016,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,41.5
2017,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,41.2
2018,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,44.3
2019,Percentage,Time series,Total,Female,Saxony-Anhalt,code15,41.3
2005,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,25.2
2006,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,24.9
2007,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,20.8
2008,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,24.7
2009,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,27.9
2010,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,27.5
2011,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,26.2
2012,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,25.9
2013,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,25.6
2014,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,26.5
2015,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,29.6
2016,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,26.4
2017,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,30.8
2018,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,32.8
2019,Percentage,Time series,Total,Male,Saxony-Anhalt,code15,32.3
2005,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,32.5
2006,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,30.6
2007,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,31.8
2008,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,32.1
2009,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,34.6
2010,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,35.8
2011,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,40.4
2012,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,37.3
2013,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,38.2
2014,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,38.9
2015,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,39.7
2016,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,40.1
2017,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,42.4
2018,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,43.4
2019,Percentage,Time series,Total,Total,Schleswig-Holstein,code01,43.4
2005,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,32.1
2006,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,30.9
2007,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,31.2
2008,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,32.7
2009,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,35.8
2010,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,36.7
2011,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,41.7
2012,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,39.2
2013,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,40.7
2014,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,40.7
2015,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,43.9
2016,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,42.9
2017,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,47.0
2018,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,49.1
2019,Percentage,Time series,Total,Female,Schleswig-Holstein,code01,45.8
2005,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,33.0
2006,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,30.3
2007,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,32.5
2008,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,31.3
2009,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,33.4
2010,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,34.9
2011,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,39.0
2012,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,35.3
2013,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,35.4
2014,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,37.0
2015,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,35.5
2016,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,37.4
2017,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,37.9
2018,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,37.8
2019,Percentage,Time series,Total,Male,Schleswig-Holstein,code01,41.2
2005,Percentage,Time series,Total,Total,Thuringia,code16,31.2
2006,Percentage,Time series,Total,Total,Thuringia,code16,32.2
2007,Percentage,Time series,Total,Total,Thuringia,code16,36.5
2008,Percentage,Time series,Total,Total,Thuringia,code16,35.7
2009,Percentage,Time series,Total,Total,Thuringia,code16,35.4
2010,Percentage,Time series,Total,Total,Thuringia,code16,36.4
2011,Percentage,Time series,Total,Total,Thuringia,code16,37.2
2012,Percentage,Time series,Total,Total,Thuringia,code16,39.1
2013,Percentage,Time series,Total,Total,Thuringia,code16,39.8
2014,Percentage,Time series,Total,Total,Thuringia,code16,37.6
2015,Percentage,Time series,Total,Total,Thuringia,code16,36.9
2016,Percentage,Time series,Total,Total,Thuringia,code16,40.3
2017,Percentage,Time series,Total,Total,Thuringia,code16,40.7
2018,Percentage,Time series,Total,Total,Thuringia,code16,44.6
2019,Percentage,Time series,Total,Total,Thuringia,code16,44.8
2005,Percentage,Time series,Total,Female,Thuringia,code16,33.8
2006,Percentage,Time series,Total,Female,Thuringia,code16,35.1
2007,Percentage,Time series,Total,Female,Thuringia,code16,40.8
2008,Percentage,Time series,Total,Female,Thuringia,code16,41.9
2009,Percentage,Time series,Total,Female,Thuringia,code16,42.5
2010,Percentage,Time series,Total,Female,Thuringia,code16,43.0
2011,Percentage,Time series,Total,Female,Thuringia,code16,45.2
2012,Percentage,Time series,Total,Female,Thuringia,code16,46.3
2013,Percentage,Time series,Total,Female,Thuringia,code16,47.1
2014,Percentage,Time series,Total,Female,Thuringia,code16,44.5
2015,Percentage,Time series,Total,Female,Thuringia,code16,45.4
2016,Percentage,Time series,Total,Female,Thuringia,code16,48.0
2017,Percentage,Time series,Total,Female,Thuringia,code16,49.5
2018,Percentage,Time series,Total,Female,Thuringia,code16,51.7
2019,Percentage,Time series,Total,Female,Thuringia,code16,51.2
2005,Percentage,Time series,Total,Male,Thuringia,code16,29.1
2006,Percentage,Time series,Total,Male,Thuringia,code16,29.7
2007,Percentage,Time series,Total,Male,Thuringia,code16,32.6
2008,Percentage,Time series,Total,Male,Thuringia,code16,30.4
2009,Percentage,Time series,Total,Male,Thuringia,code16,29.1
2010,Percentage,Time series,Total,Male,Thuringia,code16,30.5
2011,Percentage,Time series,Total,Male,Thuringia,code16,29.9
2012,Percentage,Time series,Total,Male,Thuringia,code16,32.8
2013,Percentage,Time series,Total,Male,Thuringia,code16,33.0
2014,Percentage,Time series,Total,Male,Thuringia,code16,31.3
2015,Percentage,Time series,Total,Male,Thuringia,code16,29.9
2016,Percentage,Time series,Total,Male,Thuringia,code16,33.4
2017,Percentage,Time series,Total,Male,Thuringia,code16,32.9
2018,Percentage,Time series,Total,Male,Thuringia,code16,38.1
2019,Percentage,Time series,Total,Male,Thuringia,code16,38.9
1999,Percentage,Time series,Tertiary education,Total,Germany,,24.8
2000,Percentage,Time series,Tertiary education,Total,Germany,,25.3
2001,Percentage,Time series,Tertiary education,Total,Germany,,25.1
2002,Percentage,Time series,Tertiary education,Total,Germany,,25.1
2003,Percentage,Time series,Tertiary education,Total,Germany,,25.0
2004,Percentage,Time series,Tertiary education,Total,Germany,,26.8
2005,Percentage,Time series,Tertiary education,Total,Germany,,26.1
2006,Percentage,Time series,Tertiary education,Total,Germany,,25.8
2007,Percentage,Time series,Tertiary education,Total,Germany,,26.5
2008,Percentage,Time series,Tertiary education,Total,Germany,,27.6
2009,Percentage,Time series,Tertiary education,Total,Germany,,29.4
2010,Percentage,Time series,Tertiary education,Total,Germany,,29.8
2011,Percentage,Time series,Tertiary education,Total,Germany,,30.7
2012,Percentage,Time series,Tertiary education,Total,Germany,,31.9
2013,Percentage,Time series,Tertiary education,Total,Germany,,33.1
2014,Percentage,Time series,Tertiary education,Total,Germany,,31.4
2015,Percentage,Time series,Tertiary education,Total,Germany,,32.3
2016,Percentage,Time series,Tertiary education,Total,Germany,,33.1
2017,Percentage,Time series,Tertiary education,Total,Germany,,34.0
2018,Percentage,Time series,Tertiary education,Total,Germany,,34.9
2019,Percentage,Time series,Tertiary education,Total,Germany,,35.5
