Year,Units,Federal state,GeoCode,Time series,Value
2010,Number,,,Students from other developing and emerging countries,6226.0
2011,Number,,,Students from other developing and emerging countries,5974.0
2012,Number,,,Students from other developing and emerging countries,5990.0
2013,Number,,,Students from other developing and emerging countries,6083.0
2014,Number,,,Students from other developing and emerging countries,6295.0
2015,Number,,,Students from other developing and emerging countries,6620.0
2016,Number,,,Students from other developing and emerging countries,7138.0
2017,Number,,,Students from other developing and emerging countries,7835.0
2018,Number,,,Students from other developing and emerging countries,9016.0
2019,Number,,,Students from other developing and emerging countries,9720.0
2020,Number,,,Students from other developing and emerging countries,10360.0
2005,Number,,,Students from other developing and emerging countries,1243.0
2006,Number,,,Students from other developing and emerging countries,1365.0
2007,Number,,,Students from other developing and emerging countries,1362.0
2008,Number,,,Students from other developing and emerging countries,1375.0
2009,Number,,,Students from other developing and emerging countries,1434.0
2010,Number,,,Students from other developing and emerging countries,1641.0
2011,Number,,,Students from other developing and emerging countries,1734.0
2012,Number,,,Students from other developing and emerging countries,1808.0
2013,Number,,,Students from other developing and emerging countries,1856.0
2014,Number,,,Students from other developing and emerging countries,1903.0
2015,Number,,,Students from other developing and emerging countries,1952.0
2016,Number,,,Students from other developing and emerging countries,1961.0
2017,Number,,,Students from other developing and emerging countries,2031.0
2018,Number,,,Students from other developing and emerging countries,2203.0
2019,Number,,,Students from other developing and emerging countries,2441.0
2020,Number,,,Students from other developing and emerging countries,2535.0
2005,Number,,,Students from other developing and emerging countries,4328.0
2006,Number,,,Students from other developing and emerging countries,4440.0
2007,Number,,,Students from other developing and emerging countries,4601.0
2008,Number,,,Students from other developing and emerging countries,4440.0
2009,Number,,,Students from other developing and emerging countries,4624.0
2010,Number,,,Students from other developing and emerging countries,4789.0
2011,Number,,,Students from other developing and emerging countries,5172.0
2012,Number,,,Students from other developing and emerging countries,5850.0
2013,Number,,,Students from other developing and emerging countries,6813.0
2014,Number,,,Students from other developing and emerging countries,7861.0
2015,Number,,,Students from other developing and emerging countries,9042.0
2016,Number,,,Students from other developing and emerging countries,9496.0
2017,Number,,,Students from other developing and emerging countries,9846.0
2018,Number,,,Students from other developing and emerging countries,10885.0
2019,Number,,,Students from other developing and emerging countries,11245.0
2020,Number,,,Students from other developing and emerging countries,11340.0
2005,Number,,,Students from other developing and emerging countries,2825.0
2006,Number,,,Students from other developing and emerging countries,2964.0
2007,Number,,,Students from other developing and emerging countries,2997.0
2008,Number,,,Students from other developing and emerging countries,2976.0
2009,Number,,,Students from other developing and emerging countries,3142.0
2010,Number,,,Students from other developing and emerging countries,3330.0
2011,Number,,,Students from other developing and emerging countries,3633.0
2012,Number,,,Students from other developing and emerging countries,3962.0
2013,Number,,,Students from other developing and emerging countries,4198.0
2014,Number,,,Students from other developing and emerging countries,4561.0
2015,Number,,,Students from other developing and emerging countries,4970.0
2016,Number,,,Students from other developing and emerging countries,5061.0
2017,Number,,,Students from other developing and emerging countries,5401.0
2018,Number,,,Students from other developing and emerging countries,5810.0
2019,Number,,,Students from other developing and emerging countries,6336.0
2020,Number,,,Students from other developing and emerging countries,6563.0
2005,Number,,,Students from other developing and emerging countries,2071.0
2006,Number,,,Students from other developing and emerging countries,2135.0
2007,Number,,,Students from other developing and emerging countries,2149.0
2008,Number,,,Students from other developing and emerging countries,2131.0
2009,Number,,,Students from other developing and emerging countries,2192.0
2010,Number,,,Students from other developing and emerging countries,2219.0
2011,Number,,,Students from other developing and emerging countries,2248.0
2012,Number,,,Students from other developing and emerging countries,2356.0
2013,Number,,,Students from other developing and emerging countries,2400.0
2014,Number,,,Students from other developing and emerging countries,2575.0
2015,Number,,,Students from other developing and emerging countries,2741.0
2016,Number,,,Students from other developing and emerging countries,3116.0
2017,Number,,,Students from other developing and emerging countries,3101.0
2018,Number,,,Students from other developing and emerging countries,3358.0
2019,Number,,,Students from other developing and emerging countries,3549.0
2020,Number,,,Students from other developing and emerging countries,3581.0
2005,Number,,,Students from other developing and emerging countries,1615.0
2006,Number,,,Students from other developing and emerging countries,1759.0
2007,Number,,,Students from other developing and emerging countries,1971.0
2008,Number,,,Students from other developing and emerging countries,1937.0
2009,Number,,,Students from other developing and emerging countries,2169.0
2010,Number,,,Students from other developing and emerging countries,2437.0
2011,Number,,,Students from other developing and emerging countries,2517.0
2012,Number,,,Students from other developing and emerging countries,2860.0
2013,Number,,,Students from other developing and emerging countries,3396.0
2014,Number,,,Students from other developing and emerging countries,3852.0
2015,Number,,,Students from other developing and emerging countries,4243.0
2016,Number,,,Students from other developing and emerging countries,4488.0
2017,Number,,,Students from other developing and emerging countries,4846.0
2018,Number,,,Students from other developing and emerging countries,5500.0
2019,Number,,,Students from other developing and emerging countries,6655.0
2020,Number,,,Students from other developing and emerging countries,7388.0
2005,Number,,,Researchers from LDCs,209.0
2006,Number,,,Researchers from LDCs,212.0
2007,Number,,,Researchers from LDCs,207.0
2008,Number,,,Researchers from LDCs,254.0
2009,Number,,,Researchers from LDCs,299.0
2010,Number,,,Researchers from LDCs,331.0
2011,Number,,,Researchers from LDCs,382.0
2012,Number,,,Researchers from LDCs,420.0
2013,Number,,,Researchers from LDCs,476.0
2014,Number,,,Researchers from LDCs,500.0
2015,Number,,,Researchers from LDCs,517.0
2016,Number,,,Researchers from LDCs,558.0
2017,Number,,,Researchers from LDCs,649.0
2018,Number,,,Researchers from LDCs,687.0
2019,Number,,,Researchers from LDCs,681.0
2020,Number,,,Researchers from LDCs,838.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,40.0
2007,Number,,,Researchers from LDCs,45.0
2008,Number,,,Researchers from LDCs,52.0
2009,Number,,,Researchers from LDCs,51.0
2010,Number,,,Researchers from LDCs,57.0
2011,Number,,,Researchers from LDCs,85.0
2012,Number,,,Researchers from LDCs,96.0
2013,Number,,,Researchers from LDCs,93.0
2014,Number,,,Researchers from LDCs,98.0
2015,Number,,,Researchers from LDCs,106.0
2016,Number,,,Researchers from LDCs,118.0
2017,Number,,,Researchers from LDCs,150.0
2018,Number,,,Researchers from LDCs,140.0
2019,Number,,,Researchers from LDCs,141.0
2020,Number,,,Researchers from LDCs,146.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,26.0
2007,Number,,,Researchers from LDCs,23.0
2008,Number,,,Researchers from LDCs,24.0
2009,Number,,,Researchers from LDCs,35.0
2010,Number,,,Researchers from LDCs,39.0
2011,Number,,,Researchers from LDCs,57.0
2012,Number,,,Researchers from LDCs,67.0
2013,Number,,,Researchers from LDCs,68.0
2014,Number,,,Researchers from LDCs,71.0
2015,Number,,,Researchers from LDCs,70.0
2016,Number,,,Researchers from LDCs,60.0
2017,Number,,,Researchers from LDCs,75.0
2018,Number,,,Researchers from LDCs,63.0
2019,Number,,,Researchers from LDCs,76.0
2020,Number,,,Researchers from LDCs,105.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,6.0
2007,Number,,,Researchers from LDCs,5.0
2008,Number,,,Researchers from LDCs,7.0
2009,Number,,,Researchers from LDCs,8.0
2010,Number,,,Researchers from LDCs,10.0
2011,Number,,,Researchers from LDCs,11.0
2012,Number,,,Researchers from LDCs,12.0
2013,Number,,,Researchers from LDCs,19.0
2014,Number,,,Researchers from LDCs,22.0
2015,Number,,,Researchers from LDCs,25.0
2016,Number,,,Researchers from LDCs,34.0
2017,Number,,,Researchers from LDCs,30.0
2018,Number,,,Researchers from LDCs,31.0
2019,Number,,,Researchers from LDCs,35.0
2020,Number,,,Researchers from LDCs,36.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,3.0
2007,Number,,,Researchers from LDCs,2.0
2008,Number,,,Researchers from LDCs,6.0
2009,Number,,,Researchers from LDCs,8.0
2010,Number,,,Researchers from LDCs,8.0
2011,Number,,,Researchers from LDCs,5.0
2012,Number,,,Researchers from LDCs,8.0
2013,Number,,,Researchers from LDCs,7.0
2014,Number,,,Researchers from LDCs,4.0
2015,Number,,,Researchers from LDCs,7.0
2016,Number,,,Researchers from LDCs,13.0
2017,Number,,,Researchers from LDCs,6.0
2018,Number,,,Researchers from LDCs,8.0
2019,Number,,,Researchers from LDCs,18.0
2020,Number,,,Researchers from LDCs,27.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,5.0
2007,Number,,,Researchers from LDCs,3.0
2008,Number,,,Researchers from LDCs,6.0
2009,Number,,,Researchers from LDCs,8.0
2010,Number,,,Researchers from LDCs,8.0
2011,Number,,,Researchers from LDCs,6.0
2012,Number,,,Researchers from LDCs,5.0
2013,Number,,,Researchers from LDCs,10.0
2014,Number,,,Researchers from LDCs,9.0
2015,Number,,,Researchers from LDCs,13.0
2016,Number,,,Researchers from LDCs,11.0
2017,Number,,,Researchers from LDCs,11.0
2018,Number,,,Researchers from LDCs,10.0
2019,Number,,,Researchers from LDCs,11.0
2020,Number,,,Researchers from LDCs,12.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,8.0
2007,Number,,,Researchers from LDCs,11.0
2008,Number,,,Researchers from LDCs,5.0
2009,Number,,,Researchers from LDCs,7.0
2010,Number,,,Researchers from LDCs,14.0
2011,Number,,,Researchers from LDCs,14.0
2012,Number,,,Researchers from LDCs,14.0
2013,Number,,,Researchers from LDCs,19.0
2014,Number,,,Researchers from LDCs,20.0
2015,Number,,,Researchers from LDCs,15.0
2016,Number,,,Researchers from LDCs,19.0
2017,Number,,,Researchers from LDCs,23.0
2018,Number,,,Researchers from LDCs,20.0
2019,Number,,,Researchers from LDCs,19.0
2020,Number,,,Researchers from LDCs,29.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,18.0
2007,Number,,,Researchers from LDCs,19.0
2008,Number,,,Researchers from LDCs,20.0
2009,Number,,,Researchers from LDCs,17.0
2010,Number,,,Researchers from LDCs,27.0
2011,Number,,,Researchers from LDCs,25.0
2012,Number,,,Researchers from LDCs,26.0
2013,Number,,,Researchers from LDCs,36.0
2014,Number,,,Researchers from LDCs,40.0
2015,Number,,,Researchers from LDCs,42.0
2016,Number,,,Researchers from LDCs,53.0
2017,Number,,,Researchers from LDCs,58.0
2018,Number,,,Researchers from LDCs,59.0
2019,Number,,,Researchers from LDCs,43.0
2020,Number,,,Researchers from LDCs,42.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,5.0
2007,Number,,,Researchers from LDCs,3.0
2008,Number,,,Researchers from LDCs,4.0
2009,Number,,,Researchers from LDCs,5.0
2010,Number,,,Researchers from LDCs,5.0
2011,Number,,,Researchers from LDCs,14.0
2012,Number,,,Researchers from LDCs,11.0
2013,Number,,,Researchers from LDCs,11.0
2014,Number,,,Researchers from LDCs,13.0
2015,Number,,,Researchers from LDCs,9.0
2016,Number,,,Researchers from LDCs,13.0
2017,Number,,,Researchers from LDCs,17.0
2018,Number,,,Researchers from LDCs,13.0
2019,Number,,,Researchers from LDCs,9.0
2020,Number,,,Researchers from LDCs,14.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,32.0
2007,Number,,,Researchers from LDCs,27.0
2008,Number,,,Researchers from LDCs,26.0
2009,Number,,,Researchers from LDCs,30.0
2010,Number,,,Researchers from LDCs,30.0
2011,Number,,,Researchers from LDCs,26.0
2012,Number,,,Researchers from LDCs,31.0
2013,Number,,,Researchers from LDCs,35.0
2014,Number,,,Researchers from LDCs,41.0
2015,Number,,,Researchers from LDCs,41.0
2016,Number,,,Researchers from LDCs,48.0
2017,Number,,,Researchers from LDCs,57.0
2018,Number,,,Researchers from LDCs,58.0
2019,Number,,,Researchers from LDCs,49.0
2020,Number,,,Researchers from LDCs,57.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,24.0
2007,Number,,,Researchers from LDCs,24.0
2008,Number,,,Researchers from LDCs,48.0
2009,Number,,,Researchers from LDCs,51.0
2010,Number,,,Researchers from LDCs,51.0
2011,Number,,,Researchers from LDCs,63.0
2012,Number,,,Researchers from LDCs,64.0
2013,Number,,,Researchers from LDCs,85.0
2014,Number,,,Researchers from LDCs,87.0
2015,Number,,,Researchers from LDCs,89.0
2016,Number,,,Researchers from LDCs,99.0
2017,Number,,,Researchers from LDCs,113.0
2018,Number,,,Researchers from LDCs,127.0
2019,Number,,,Researchers from LDCs,123.0
2020,Number,,,Researchers from LDCs,150.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,10.0
2007,Number,,,Researchers from LDCs,13.0
2008,Number,,,Researchers from LDCs,15.0
2009,Number,,,Researchers from LDCs,19.0
2010,Number,,,Researchers from LDCs,20.0
2011,Number,,,Researchers from LDCs,18.0
2012,Number,,,Researchers from LDCs,19.0
2013,Number,,,Researchers from LDCs,15.0
2014,Number,,,Researchers from LDCs,16.0
2015,Number,,,Researchers from LDCs,17.0
2016,Number,,,Researchers from LDCs,15.0
2017,Number,,,Researchers from LDCs,21.0
2018,Number,,,Researchers from LDCs,25.0
2019,Number,,,Researchers from LDCs,31.0
2020,Number,,,Researchers from LDCs,48.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,3.0
2007,Number,,,Researchers from LDCs,3.0
2008,Number,,,Researchers from LDCs,4.0
2009,Number,,,Researchers from LDCs,8.0
2010,Number,,,Researchers from LDCs,6.0
2011,Number,,,Researchers from LDCs,6.0
2012,Number,,,Researchers from LDCs,5.0
2013,Number,,,Researchers from LDCs,3.0
2014,Number,,,Researchers from LDCs,5.0
2015,Number,,,Researchers from LDCs,5.0
2016,Number,,,Researchers from LDCs,5.0
2017,Number,,,Researchers from LDCs,1.0
2018,Number,,,Researchers from LDCs,8.0
2019,Number,,,Researchers from LDCs,9.0
2020,Number,,,Researchers from LDCs,15.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,19.0
2007,Number,,,Researchers from LDCs,17.0
2008,Number,,,Researchers from LDCs,19.0
2009,Number,,,Researchers from LDCs,23.0
2010,Number,,,Researchers from LDCs,29.0
2011,Number,,,Researchers from LDCs,24.0
2012,Number,,,Researchers from LDCs,32.0
2013,Number,,,Researchers from LDCs,32.0
2014,Number,,,Researchers from LDCs,30.0
2015,Number,,,Researchers from LDCs,36.0
2016,Number,,,Researchers from LDCs,35.0
2017,Number,,,Researchers from LDCs,42.0
2018,Number,,,Researchers from LDCs,56.0
2019,Number,,,Researchers from LDCs,53.0
2020,Number,,,Researchers from LDCs,69.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,5.0
2007,Number,,,Researchers from LDCs,1.0
2008,Number,,,Researchers from LDCs,3.0
2009,Number,,,Researchers from LDCs,5.0
2010,Number,,,Researchers from LDCs,5.0
2011,Number,,,Researchers from LDCs,3.0
2012,Number,,,Researchers from LDCs,4.0
2013,Number,,,Researchers from LDCs,8.0
2014,Number,,,Researchers from LDCs,9.0
2015,Number,,,Researchers from LDCs,10.0
2016,Number,,,Researchers from LDCs,7.0
2017,Number,,,Researchers from LDCs,9.0
2018,Number,,,Researchers from LDCs,17.0
2019,Number,,,Researchers from LDCs,14.0
2020,Number,,,Researchers from LDCs,22.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,5.0
2007,Number,,,Researchers from LDCs,6.0
2008,Number,,,Researchers from LDCs,8.0
2009,Number,,,Researchers from LDCs,11.0
2010,Number,,,Researchers from LDCs,10.0
2011,Number,,,Researchers from LDCs,13.0
2012,Number,,,Researchers from LDCs,11.0
2013,Number,,,Researchers from LDCs,13.0
2014,Number,,,Researchers from LDCs,15.0
2015,Number,,,Researchers from LDCs,12.0
2016,Number,,,Researchers from LDCs,14.0
2017,Number,,,Researchers from LDCs,17.0
2018,Number,,,Researchers from LDCs,23.0
2019,Number,,,Researchers from LDCs,27.0
2020,Number,,,Researchers from LDCs,28.0
2005,Number,,,Researchers from LDCs,
2006,Number,,,Researchers from LDCs,3.0
2007,Number,,,Researchers from LDCs,5.0
2008,Number,,,Researchers from LDCs,7.0
2009,Number,,,Researchers from LDCs,13.0
2010,Number,,,Researchers from LDCs,12.0
2011,Number,,,Researchers from LDCs,12.0
2012,Number,,,Researchers from LDCs,15.0
2013,Number,,,Researchers from LDCs,22.0
2014,Number,,,Researchers from LDCs,20.0
2015,Number,,,Researchers from LDCs,20.0
2016,Number,,,Researchers from LDCs,17.0
2017,Number,,,Researchers from LDCs,19.0
2018,Number,,,Researchers from LDCs,29.0
2019,Number,,,Researchers from LDCs,23.0
2020,Number,,,Researchers from LDCs,38.0
2005,Number,,,Researchers from other developing and emerging countries,5848.0
2006,Number,,,Researchers from other developing and emerging countries,6434.0
2007,Number,,,Researchers from other developing and emerging countries,6766.0
2008,Number,,,Researchers from other developing and emerging countries,8180.0
2009,Number,,,Researchers from other developing and emerging countries,9482.0
2010,Number,,,Researchers from other developing and emerging countries,10614.0
2011,Number,,,Researchers from other developing and emerging countries,10946.0
2012,Number,,,Researchers from other developing and emerging countries,11741.0
2013,Number,,,Researchers from other developing and emerging countries,12865.0
2014,Number,,,Researchers from other developing and emerging countries,13837.0
2015,Number,,,Researchers from other developing and emerging countries,14592.0
2016,Number,,,Researchers from other developing and emerging countries,15317.0
2017,Number,,,Researchers from other developing and emerging countries,16904.0
2018,Number,,,Researchers from other developing and emerging countries,18429.0
2019,Number,,,Researchers from other developing and emerging countries,20214.0
2020,Number,,,Researchers from other developing and emerging countries,22257.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,1190.0
2007,Number,,,Researchers from other developing and emerging countries,1333.0
2008,Number,,,Researchers from other developing and emerging countries,1579.0
2009,Number,,,Researchers from other developing and emerging countries,1847.0
2010,Number,,,Researchers from other developing and emerging countries,2049.0
2011,Number,,,Researchers from other developing and emerging countries,1986.0
2012,Number,,,Researchers from other developing and emerging countries,2155.0
2013,Number,,,Researchers from other developing and emerging countries,2388.0
2014,Number,,,Researchers from other developing and emerging countries,2547.0
2015,Number,,,Researchers from other developing and emerging countries,2691.0
2016,Number,,,Researchers from other developing and emerging countries,2761.0
2017,Number,,,Researchers from other developing and emerging countries,3164.0
2018,Number,,,Researchers from other developing and emerging countries,3314.0
2019,Number,,,Researchers from other developing and emerging countries,3458.0
2020,Number,,,Researchers from other developing and emerging countries,3897.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,872.0
2007,Number,,,Researchers from other developing and emerging countries,934.0
2008,Number,,,Researchers from other developing and emerging countries,1171.0
2009,Number,,,Researchers from other developing and emerging countries,1296.0
2010,Number,,,Researchers from other developing and emerging countries,1483.0
2011,Number,,,Researchers from other developing and emerging countries,1612.0
2012,Number,,,Researchers from other developing and emerging countries,1767.0
2013,Number,,,Researchers from other developing and emerging countries,1956.0
2014,Number,,,Researchers from other developing and emerging countries,2150.0
2015,Number,,,Researchers from other developing and emerging countries,2212.0
2016,Number,,,Researchers from other developing and emerging countries,2280.0
2017,Number,,,Researchers from other developing and emerging countries,2425.0
2018,Number,,,Researchers from other developing and emerging countries,2600.0
2019,Number,,,Researchers from other developing and emerging countries,2910.0
2020,Number,,,Researchers from other developing and emerging countries,3265.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,468.0
2007,Number,,,Researchers from other developing and emerging countries,461.0
2008,Number,,,Researchers from other developing and emerging countries,550.0
2009,Number,,,Researchers from other developing and emerging countries,597.0
2010,Number,,,Researchers from other developing and emerging countries,620.0
2011,Number,,,Researchers from other developing and emerging countries,603.0
2012,Number,,,Researchers from other developing and emerging countries,672.0
2013,Number,,,Researchers from other developing and emerging countries,688.0
2014,Number,,,Researchers from other developing and emerging countries,765.0
2015,Number,,,Researchers from other developing and emerging countries,858.0
2016,Number,,,Researchers from other developing and emerging countries,877.0
2017,Number,,,Researchers from other developing and emerging countries,934.0
2018,Number,,,Researchers from other developing and emerging countries,1000.0
2019,Number,,,Researchers from other developing and emerging countries,1138.0
2020,Number,,,Researchers from other developing and emerging countries,1322.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,97.0
2007,Number,,,Researchers from other developing and emerging countries,109.0
2008,Number,,,Researchers from other developing and emerging countries,124.0
2009,Number,,,Researchers from other developing and emerging countries,151.0
2010,Number,,,Researchers from other developing and emerging countries,170.0
2011,Number,,,Researchers from other developing and emerging countries,208.0
2012,Number,,,Researchers from other developing and emerging countries,204.0
2013,Number,,,Researchers from other developing and emerging countries,209.0
2014,Number,,,Researchers from other developing and emerging countries,227.0
2015,Number,,,Researchers from other developing and emerging countries,232.0
2016,Number,,,Researchers from other developing and emerging countries,267.0
2017,Number,,,Researchers from other developing and emerging countries,322.0
2018,Number,,,Researchers from other developing and emerging countries,352.0
2019,Number,,,Researchers from other developing and emerging countries,414.0
2020,Number,,,Researchers from other developing and emerging countries,492.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,108.0
2007,Number,,,Researchers from other developing and emerging countries,96.0
2008,Number,,,Researchers from other developing and emerging countries,116.0
2009,Number,,,Researchers from other developing and emerging countries,156.0
2010,Number,,,Researchers from other developing and emerging countries,181.0
2011,Number,,,Researchers from other developing and emerging countries,184.0
2012,Number,,,Researchers from other developing and emerging countries,177.0
2013,Number,,,Researchers from other developing and emerging countries,193.0
2014,Number,,,Researchers from other developing and emerging countries,192.0
2015,Number,,,Researchers from other developing and emerging countries,195.0
2016,Number,,,Researchers from other developing and emerging countries,204.0
2017,Number,,,Researchers from other developing and emerging countries,225.0
2018,Number,,,Researchers from other developing and emerging countries,219.0
2019,Number,,,Researchers from other developing and emerging countries,238.0
2020,Number,,,Researchers from other developing and emerging countries,238.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,162.0
2007,Number,,,Researchers from other developing and emerging countries,215.0
2008,Number,,,Researchers from other developing and emerging countries,242.0
2009,Number,,,Researchers from other developing and emerging countries,272.0
2010,Number,,,Researchers from other developing and emerging countries,282.0
2011,Number,,,Researchers from other developing and emerging countries,281.0
2012,Number,,,Researchers from other developing and emerging countries,281.0
2013,Number,,,Researchers from other developing and emerging countries,330.0
2014,Number,,,Researchers from other developing and emerging countries,340.0
2015,Number,,,Researchers from other developing and emerging countries,347.0
2016,Number,,,Researchers from other developing and emerging countries,416.0
2017,Number,,,Researchers from other developing and emerging countries,442.0
2018,Number,,,Researchers from other developing and emerging countries,496.0
2019,Number,,,Researchers from other developing and emerging countries,578.0
2020,Number,,,Researchers from other developing and emerging countries,649.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,469.0
2007,Number,,,Researchers from other developing and emerging countries,520.0
2008,Number,,,Researchers from other developing and emerging countries,628.0
2009,Number,,,Researchers from other developing and emerging countries,730.0
2010,Number,,,Researchers from other developing and emerging countries,836.0
2011,Number,,,Researchers from other developing and emerging countries,898.0
2012,Number,,,Researchers from other developing and emerging countries,921.0
2013,Number,,,Researchers from other developing and emerging countries,1017.0
2014,Number,,,Researchers from other developing and emerging countries,1063.0
2015,Number,,,Researchers from other developing and emerging countries,1065.0
2016,Number,,,Researchers from other developing and emerging countries,1089.0
2017,Number,,,Researchers from other developing and emerging countries,1146.0
2018,Number,,,Researchers from other developing and emerging countries,1238.0
2019,Number,,,Researchers from other developing and emerging countries,1344.0
2020,Number,,,Researchers from other developing and emerging countries,1424.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,67.0
2007,Number,,,Researchers from other developing and emerging countries,73.0
2008,Number,,,Researchers from other developing and emerging countries,94.0
2009,Number,,,Researchers from other developing and emerging countries,102.0
2010,Number,,,Researchers from other developing and emerging countries,139.0
2011,Number,,,Researchers from other developing and emerging countries,128.0
2012,Number,,,Researchers from other developing and emerging countries,139.0
2013,Number,,,Researchers from other developing and emerging countries,160.0
2014,Number,,,Researchers from other developing and emerging countries,176.0
2015,Number,,,Researchers from other developing and emerging countries,176.0
2016,Number,,,Researchers from other developing and emerging countries,194.0
2017,Number,,,Researchers from other developing and emerging countries,209.0
2018,Number,,,Researchers from other developing and emerging countries,239.0
2019,Number,,,Researchers from other developing and emerging countries,276.0
2020,Number,,,Researchers from other developing and emerging countries,308.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,519.0
2007,Number,,,Researchers from other developing and emerging countries,646.0
2008,Number,,,Researchers from other developing and emerging countries,710.0
2009,Number,,,Researchers from other developing and emerging countries,797.0
2010,Number,,,Researchers from other developing and emerging countries,883.0
2011,Number,,,Researchers from other developing and emerging countries,915.0
2012,Number,,,Researchers from other developing and emerging countries,1010.0
2013,Number,,,Researchers from other developing and emerging countries,1132.0
2014,Number,,,Researchers from other developing and emerging countries,1140.0
2015,Number,,,Researchers from other developing and emerging countries,1206.0
2016,Number,,,Researchers from other developing and emerging countries,1250.0
2017,Number,,,Researchers from other developing and emerging countries,1343.0
2018,Number,,,Researchers from other developing and emerging countries,1475.0
2019,Number,,,Researchers from other developing and emerging countries,1549.0
2020,Number,,,Researchers from other developing and emerging countries,1638.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,1399.0
2007,Number,,,Researchers from other developing and emerging countries,1240.0
2008,Number,,,Researchers from other developing and emerging countries,1675.0
2009,Number,,,Researchers from other developing and emerging countries,2017.0
2010,Number,,,Researchers from other developing and emerging countries,2178.0
2011,Number,,,Researchers from other developing and emerging countries,2221.0
2012,Number,,,Researchers from other developing and emerging countries,2293.0
2013,Number,,,Researchers from other developing and emerging countries,2473.0
2014,Number,,,Researchers from other developing and emerging countries,2749.0
2015,Number,,,Researchers from other developing and emerging countries,2949.0
2016,Number,,,Researchers from other developing and emerging countries,3199.0
2017,Number,,,Researchers from other developing and emerging countries,3539.0
2018,Number,,,Researchers from other developing and emerging countries,3955.0
2019,Number,,,Researchers from other developing and emerging countries,4306.0
2020,Number,,,Researchers from other developing and emerging countries,4628.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,238.0
2007,Number,,,Researchers from other developing and emerging countries,254.0
2008,Number,,,Researchers from other developing and emerging countries,291.0
2009,Number,,,Researchers from other developing and emerging countries,302.0
2010,Number,,,Researchers from other developing and emerging countries,404.0
2011,Number,,,Researchers from other developing and emerging countries,412.0
2012,Number,,,Researchers from other developing and emerging countries,472.0
2013,Number,,,Researchers from other developing and emerging countries,505.0
2014,Number,,,Researchers from other developing and emerging countries,514.0
2015,Number,,,Researchers from other developing and emerging countries,529.0
2016,Number,,,Researchers from other developing and emerging countries,602.0
2017,Number,,,Researchers from other developing and emerging countries,640.0
2018,Number,,,Researchers from other developing and emerging countries,653.0
2019,Number,,,Researchers from other developing and emerging countries,756.0
2020,Number,,,Researchers from other developing and emerging countries,823.0
2005,Number,,,Researchers from other developing and emerging countries,
2006,Number,,,Researchers from other developing and emerging countries,111.0
2007,Number,,,Researchers from other developing and emerging countries,102.0
2008,Number,,,Researchers from other developing and emerging countries,108.0
2009,Number,,,Researchers from other developing and emerging countries,162.0
2010,Number,,,Researchers from other developing and emerging countries,182.0
2011,Number,,,Researchers from other developing and emerging countries,227.0
2012,Number,,,Researchers from other developing and emerging countries,236.0
2013,Number,,,Researchers from other developing and emerging countries,271.0
2014,Number,,,Researchers from other developing and emerging countries,299.0
2015,Number,,,Researchers from other developing and emerging countries,330.0
2016,Number,,,Researchers from other developing and emerging countries,325.0
2017,Number,,,Researchers from other developing and emerging countries,322.0
2018,Number,,,Researchers from other developing and emerging countries,384.0
2019,Number,,,Researchers from other developing and emerging countries,371.0
2020,Number,,,Researchers from other developing and emerging countries,404.0
