Year,Units,Series,Bundesland,GeoCode,Value
2008,Anzahl,EMAS-Organisationen,,,44.0
2009,Anzahl,EMAS-Organisationen,,,46.0
2010,Anzahl,EMAS-Organisationen,,,44.0
2011,Anzahl,EMAS-Organisationen,,,37.0
2012,Anzahl,EMAS-Organisationen,,,35.0
2013,Anzahl,EMAS-Organisationen,,,36.0
2014,Anzahl,EMAS-Organisationen,,,37.0
2015,Anzahl,EMAS-Organisationen,,,31.0
2016,Anzahl,EMAS-Organisationen,,,33.0
2017,Anzahl,EMAS-Organisationen,,,33.0
2018,Anzahl,EMAS-Organisationen,,,34.0
2019,Anzahl,EMAS-Organisationen,,,34.0
2020,Anzahl,EMAS-Organisationen,,,24.0
2021,Anzahl,EMAS-Organisationen,,,23.0
2005,Anzahl,EMAS-Organisationen,,,49.0
2006,Anzahl,EMAS-Organisationen,,,47.0
2007,Anzahl,EMAS-Organisationen,,,50.0
2008,Anzahl,EMAS-Organisationen,,,52.0
2009,Anzahl,EMAS-Organisationen,,,51.0
2010,Anzahl,EMAS-Organisationen,,,49.0
2011,Anzahl,EMAS-Organisationen,,,44.0
2012,Anzahl,EMAS-Organisationen,,,43.0
2013,Anzahl,EMAS-Organisationen,,,44.0
2014,Anzahl,EMAS-Organisationen,,,51.0
2015,Anzahl,EMAS-Organisationen,,,50.0
2016,Anzahl,EMAS-Organisationen,,,51.0
2017,Anzahl,EMAS-Organisationen,,,53.0
2018,Anzahl,EMAS-Organisationen,,,48.0
2019,Anzahl,EMAS-Organisationen,,,49.0
2020,Anzahl,EMAS-Organisationen,,,49.0
2021,Anzahl,EMAS-Organisationen,,,46.0
2005,Anzahl,EMAS-Organisationen,,,53.0
2006,Anzahl,EMAS-Organisationen,,,47.0
2007,Anzahl,EMAS-Organisationen,,,46.0
2008,Anzahl,EMAS-Organisationen,,,42.0
2009,Anzahl,EMAS-Organisationen,,,40.0
2010,Anzahl,EMAS-Organisationen,,,36.0
2011,Anzahl,EMAS-Organisationen,,,35.0
2012,Anzahl,EMAS-Organisationen,,,35.0
2013,Anzahl,EMAS-Organisationen,,,33.0
2014,Anzahl,EMAS-Organisationen,,,33.0
2015,Anzahl,EMAS-Organisationen,,,32.0
2016,Anzahl,EMAS-Organisationen,,,32.0
2017,Anzahl,EMAS-Organisationen,,,33.0
2018,Anzahl,EMAS-Organisationen,,,30.0
2019,Anzahl,EMAS-Organisationen,,,29.0
2020,Anzahl,EMAS-Organisationen,,,25.0
2021,Anzahl,EMAS-Organisationen,,,23.0
2005,Anzahl,EMAS-Organisationen,,,34.0
2006,Anzahl,EMAS-Organisationen,,,34.0
2007,Anzahl,EMAS-Organisationen,,,37.0
2008,Anzahl,EMAS-Organisationen,,,38.0
2009,Anzahl,EMAS-Organisationen,,,35.0
2010,Anzahl,EMAS-Organisationen,,,35.0
2011,Anzahl,EMAS-Organisationen,,,28.0
2012,Anzahl,EMAS-Organisationen,,,28.0
2013,Anzahl,EMAS-Organisationen,,,28.0
2014,Anzahl,EMAS-Organisationen,,,24.0
2015,Anzahl,EMAS-Organisationen,,,21.0
2016,Anzahl,EMAS-Organisationen,,,21.0
2017,Anzahl,EMAS-Organisationen,,,22.0
2018,Anzahl,EMAS-Organisationen,,,22.0
2019,Anzahl,EMAS-Organisationen,,,23.0
2020,Anzahl,EMAS-Organisationen,,,21.0
2021,Anzahl,EMAS-Organisationen,,,20.0
2005,Anzahl,EMAS-Organisationen,,,72.0
2006,Anzahl,EMAS-Organisationen,,,72.0
2007,Anzahl,EMAS-Organisationen,,,66.0
2008,Anzahl,EMAS-Organisationen,,,59.0
2009,Anzahl,EMAS-Organisationen,,,50.0
2010,Anzahl,EMAS-Organisationen,,,36.0
2011,Anzahl,EMAS-Organisationen,,,34.0
2012,Anzahl,EMAS-Organisationen,,,26.0
2013,Anzahl,EMAS-Organisationen,,,26.0
2014,Anzahl,EMAS-Organisationen,,,22.0
2015,Anzahl,EMAS-Organisationen,,,17.0
2016,Anzahl,EMAS-Organisationen,,,18.0
2017,Anzahl,EMAS-Organisationen,,,18.0
2018,Anzahl,EMAS-Organisationen,,,15.0
2019,Anzahl,EMAS-Organisationen,,,15.0
2020,Anzahl,EMAS-Organisationen,,,16.0
2021,Anzahl,EMAS-Organisationen,,,16.0
2005,Anzahl,EMAS-Organisationen,,,112.0
2006,Anzahl,EMAS-Organisationen,,,107.0
2007,Anzahl,EMAS-Organisationen,,,85.0
2008,Anzahl,EMAS-Organisationen,,,84.0
2009,Anzahl,EMAS-Organisationen,,,63.0
2010,Anzahl,EMAS-Organisationen,,,51.0
2011,Anzahl,EMAS-Organisationen,,,43.0
2012,Anzahl,EMAS-Organisationen,,,40.0
2013,Anzahl,EMAS-Organisationen,,,43.0
2014,Anzahl,EMAS-Organisationen,,,43.0
2015,Anzahl,EMAS-Organisationen,,,47.0
2016,Anzahl,EMAS-Organisationen,,,49.0
2017,Anzahl,EMAS-Organisationen,,,48.0
2018,Anzahl,EMAS-Organisationen,,,47.0
2019,Anzahl,EMAS-Organisationen,,,51.0
2020,Anzahl,EMAS-Organisationen,,,50.0
2021,Anzahl,EMAS-Organisationen,,,50.0
