Year,Units,Series,sex,federal state,GeoCode,Value
2007,percentage,foreigns,,,,84.13
2008,percentage,foreigns,,,,84.02
2009,percentage,foreigns,,,,86.18
2010,percentage,foreigns,,,,87.12
2011,percentage,foreigns,,,,87.83
2012,percentage,foreigns,,,,88.97
2013,percentage,foreigns,,,,87.67
2014,percentage,foreigns,,,,88.58
2015,percentage,foreigns,,,,86.47
2016,percentage,foreigns,,,,85.79
2017,percentage,foreigns,,,,81.97
2018,percentage,foreigns,,,,80.63
2019,percentage,foreigns,,,,80.46
2020,percentage,foreigns,,,,82.14
1996,percentage,foreigns,,,,68.58
1997,percentage,foreigns,,,,68.59
1998,percentage,foreigns,,,,70.57
1999,percentage,foreigns,,,,68.86
2000,percentage,foreigns,,,,67.16
2001,percentage,foreigns,,,,67.37
2002,percentage,foreigns,,,,68.05
2003,percentage,foreigns,,,,67.12
2004,percentage,foreigns,,,,73.52
2005,percentage,foreigns,,,,70.44
2006,percentage,foreigns,,,,70.37
2007,percentage,foreigns,,,,75.92
2008,percentage,foreigns,,,,76.21
2009,percentage,foreigns,,,,79.43
2010,percentage,foreigns,,,,80.65
2011,percentage,foreigns,,,,80.96
2012,percentage,foreigns,,,,83.91
2013,percentage,foreigns,,,,85.03
2014,percentage,foreigns,,,,87.04
2015,percentage,foreigns,,,,84.74
2016,percentage,foreigns,,,,81.82
2017,percentage,foreigns,,,,73.24
2018,percentage,foreigns,,,,74.52
2019,percentage,foreigns,,,,73.9
2020,percentage,foreigns,,,,77.23
1996,percentage,foreigns,,,,87.33
1997,percentage,foreigns,,,,87.02
1998,percentage,foreigns,,,,87.21
1999,percentage,foreigns,,,,87.73
2000,percentage,foreigns,,,,86.85
2001,percentage,foreigns,,,,86.36
2002,percentage,foreigns,,,,85.59
2003,percentage,foreigns,,,,86.27
2004,percentage,foreigns,,,,86.08
2005,percentage,foreigns,,,,85.94
2006,percentage,foreigns,,,,86.21
2007,percentage,foreigns,,,,85.76
2008,percentage,foreigns,,,,85.94
2009,percentage,foreigns,,,,86.86
2010,percentage,foreigns,,,,87.72
2011,percentage,foreigns,,,,88.65
2012,percentage,foreigns,,,,88.99
2013,percentage,foreigns,,,,89.76
2014,percentage,foreigns,,,,88.45
2015,percentage,foreigns,,,,88.88
2016,percentage,foreigns,,,,88.39
2017,percentage,foreigns,,,,84.61
2018,percentage,foreigns,,,,84.01
2019,percentage,foreigns,,,,84.11
2020,percentage,foreigns,,,,86.75
1996,percentage,foreigns,,,,90.22
1997,percentage,foreigns,,,,90.23
1998,percentage,foreigns,,,,90.41
1999,percentage,foreigns,,,,90.43
2000,percentage,foreigns,,,,89.66
2001,percentage,foreigns,,,,89.52
2002,percentage,foreigns,,,,88.65
2003,percentage,foreigns,,,,88.98
2004,percentage,foreigns,,,,89.16
2005,percentage,foreigns,,,,89.08
2006,percentage,foreigns,,,,88.81
2007,percentage,foreigns,,,,88.52
2008,percentage,foreigns,,,,88.56
2009,percentage,foreigns,,,,88.67
2010,percentage,foreigns,,,,89.59
2011,percentage,foreigns,,,,90.52
2012,percentage,foreigns,,,,90.64
2013,percentage,foreigns,,,,91.47
2014,percentage,foreigns,,,,90.31
2015,percentage,foreigns,,,,90.39
2016,percentage,foreigns,,,,90.27
2017,percentage,foreigns,,,,87.8
2018,percentage,foreigns,,,,86.67
2019,percentage,foreigns,,,,86.48
2020,percentage,foreigns,,,,89.09
1996,percentage,foreigns,,,,84.68
1997,percentage,foreigns,,,,84.14
1998,percentage,foreigns,,,,84.26
1999,percentage,foreigns,,,,85.2
2000,percentage,foreigns,,,,84.15
2001,percentage,foreigns,,,,83.45
2002,percentage,foreigns,,,,82.65
2003,percentage,foreigns,,,,83.72
2004,percentage,foreigns,,,,83.05
2005,percentage,foreigns,,,,83.08
2006,percentage,foreigns,,,,83.78
2007,percentage,foreigns,,,,83.14
2008,percentage,foreigns,,,,83.35
2009,percentage,foreigns,,,,85.1
2010,percentage,foreigns,,,,85.88
2011,percentage,foreigns,,,,86.86
2012,percentage,foreigns,,,,87.39
2013,percentage,foreigns,,,,88.06
2014,percentage,foreigns,,,,86.67
2015,percentage,foreigns,,,,87.44
2016,percentage,foreigns,,,,86.61
2017,percentage,foreigns,,,,81.7
2018,percentage,foreigns,,,,81.72
2019,percentage,foreigns,,,,82.02
2020,percentage,foreigns,,,,84.6
1996,percentage,foreigns,,,,78.34
1997,percentage,foreigns,,,,77.16
1998,percentage,foreigns,,,,74.8
1999,percentage,foreigns,,,,73.01
2000,percentage,foreigns,,,,74.77
2001,percentage,foreigns,,,,76.79
2002,percentage,foreigns,,,,78.12
2003,percentage,foreigns,,,,74.56
2004,percentage,foreigns,,,,78.52
2005,percentage,foreigns,,,,84.96
2006,percentage,foreigns,,,,83.22
2007,percentage,foreigns,,,,84.9
2008,percentage,foreigns,,,,84.1
2009,percentage,foreigns,,,,86.37
2010,percentage,foreigns,,,,88.19
2011,percentage,foreigns,,,,89.17
2012,percentage,foreigns,,,,89.98
2013,percentage,foreigns,,,,89.66
2014,percentage,foreigns,,,,89.03
2015,percentage,foreigns,,,,88.14
2016,percentage,foreigns,,,,85.99
2017,percentage,foreigns,,,,82.43
2018,percentage,foreigns,,,,82.13
2019,percentage,foreigns,,,,82.19
2020,percentage,foreigns,,,,85.87
1996,percentage,foreigns,,,,84.84
1997,percentage,foreigns,,,,81.93
1998,percentage,foreigns,,,,81.25
1999,percentage,foreigns,,,,79.73
2000,percentage,foreigns,,,,81.06
2001,percentage,foreigns,,,,81.8
2002,percentage,foreigns,,,,82.88
2003,percentage,foreigns,,,,75.96
2004,percentage,foreigns,,,,83.19
2005,percentage,foreigns,,,,87.27
2006,percentage,foreigns,,,,88.08
2007,percentage,foreigns,,,,88.83
2008,percentage,foreigns,,,,87.21
2009,percentage,foreigns,,,,89.78
2010,percentage,foreigns,,,,90.6
2011,percentage,foreigns,,,,91.32
2012,percentage,foreigns,,,,92.0
2013,percentage,foreigns,,,,92.19
2014,percentage,foreigns,,,,90.51
2015,percentage,foreigns,,,,90.49
2016,percentage,foreigns,,,,90.3
2017,percentage,foreigns,,,,86.9
2018,percentage,foreigns,,,,87.23
2019,percentage,foreigns,,,,86.59
2020,percentage,foreigns,,,,89.58
1996,percentage,foreigns,,,,73.15
1997,percentage,foreigns,,,,72.91
1998,percentage,foreigns,,,,69.49
1999,percentage,foreigns,,,,67.54
2000,percentage,foreigns,,,,69.43
2001,percentage,foreigns,,,,72.61
2002,percentage,foreigns,,,,73.63
2003,percentage,foreigns,,,,72.91
2004,percentage,foreigns,,,,73.95
2005,percentage,foreigns,,,,82.78
2006,percentage,foreigns,,,,78.8
2007,percentage,foreigns,,,,81.15
2008,percentage,foreigns,,,,81.15
2009,percentage,foreigns,,,,83.28
2010,percentage,foreigns,,,,85.92
2011,percentage,foreigns,,,,87.15
2012,percentage,foreigns,,,,88.08
2013,percentage,foreigns,,,,87.31
2014,percentage,foreigns,,,,87.63
2015,percentage,foreigns,,,,86.06
2016,percentage,foreigns,,,,82.16
2017,percentage,foreigns,,,,78.71
2018,percentage,foreigns,,,,78.3
2019,percentage,foreigns,,,,78.45
2020,percentage,foreigns,,,,82.71
1996,percentage,foreigns,,,,76.62
1997,percentage,foreigns,,,,82.82
1998,percentage,foreigns,,,,80.57
1999,percentage,foreigns,,,,79.21
2000,percentage,foreigns,,,,76.11
2001,percentage,foreigns,,,,80.79
2002,percentage,foreigns,,,,83.09
2003,percentage,foreigns,,,,82.31
2004,percentage,foreigns,,,,83.25
2005,percentage,foreigns,,,,84.88
2006,percentage,foreigns,,,,85.9
2007,percentage,foreigns,,,,88.1
2008,percentage,foreigns,,,,87.91
2009,percentage,foreigns,,,,89.67
2010,percentage,foreigns,,,,89.76
2011,percentage,foreigns,,,,91.0
2012,percentage,foreigns,,,,93.21
2013,percentage,foreigns,,,,91.69
2014,percentage,foreigns,,,,92.54
2015,percentage,foreigns,,,,90.84
2016,percentage,foreigns,,,,82.98
2017,percentage,foreigns,,,,84.89
2018,percentage,foreigns,,,,79.79
2019,percentage,foreigns,,,,78.45
2020,percentage,foreigns,,,,81.92
1996,percentage,foreigns,,,,76.62
1997,percentage,foreigns,,,,82.82
1998,percentage,foreigns,,,,80.57
1999,percentage,foreigns,,,,79.21
2000,percentage,foreigns,,,,76.11
2001,percentage,foreigns,,,,80.79
2002,percentage,foreigns,,,,83.09
2003,percentage,foreigns,,,,82.31
2004,percentage,foreigns,,,,83.25
2005,percentage,foreigns,,,,84.88
2006,percentage,foreigns,,,,85.9
2007,percentage,foreigns,,,,88.1
2008,percentage,foreigns,,,,87.91
2009,percentage,foreigns,,,,89.67
2010,percentage,foreigns,,,,89.76
2011,percentage,foreigns,,,,91.0
2012,percentage,foreigns,,,,93.21
2013,percentage,foreigns,,,,91.69
2014,percentage,foreigns,,,,92.54
2015,percentage,foreigns,,,,90.84
2016,percentage,foreigns,,,,82.98
2017,percentage,foreigns,,,,84.89
2018,percentage,foreigns,,,,79.79
2019,percentage,foreigns,,,,83.86
2020,percentage,foreigns,,,,82.01
1996,percentage,foreigns,,,,67.72
1997,percentage,foreigns,,,,73.36
1998,percentage,foreigns,,,,70.9
1999,percentage,foreigns,,,,70.56
2000,percentage,foreigns,,,,70.29
2001,percentage,foreigns,,,,68.13
2002,percentage,foreigns,,,,72.62
2003,percentage,foreigns,,,,78.01
2004,percentage,foreigns,,,,75.37
2005,percentage,foreigns,,,,79.06
2006,percentage,foreigns,,,,81.9
2007,percentage,foreigns,,,,80.42
2008,percentage,foreigns,,,,81.17
2009,percentage,foreigns,,,,82.93
2010,percentage,foreigns,,,,85.81
2011,percentage,foreigns,,,,87.84
2012,percentage,foreigns,,,,86.67
2013,percentage,foreigns,,,,88.59
2014,percentage,foreigns,,,,87.79
2015,percentage,foreigns,,,,85.16
2016,percentage,foreigns,,,,66.92
2017,percentage,foreigns,,,,68.35
2018,percentage,foreigns,,,,71.94
2019,percentage,foreigns,,,,73.84
2020,percentage,foreigns,,,,81.83
1996,percentage,foreigns,,,,63.87
1997,percentage,foreigns,,,,69.06
1998,percentage,foreigns,,,,68.83
1999,percentage,foreigns,,,,73.29
2000,percentage,foreigns,,,,80.17
2001,percentage,foreigns,,,,75.35
2002,percentage,foreigns,,,,68.18
2003,percentage,foreigns,,,,77.86
2004,percentage,foreigns,,,,80.12
2005,percentage,foreigns,,,,80.69
2006,percentage,foreigns,,,,81.16
2007,percentage,foreigns,,,,79.42
2008,percentage,foreigns,,,,83.77
2009,percentage,foreigns,,,,88.1
2010,percentage,foreigns,,,,84.83
2011,percentage,foreigns,,,,88.31
2012,percentage,foreigns,,,,89.42
2013,percentage,foreigns,,,,84.83
2014,percentage,foreigns,,,,84.62
2015,percentage,foreigns,,,,85.25
2016,percentage,foreigns,,,,84.6
2017,percentage,foreigns,,,,81.78
2018,percentage,foreigns,,,,77.35
2019,percentage,foreigns,,,,79.09
2020,percentage,foreigns,,,,83.25
1996,percentage,foreigns,,,,75.51
1997,percentage,foreigns,,,,72.5
1998,percentage,foreigns,,,,73.91
1999,percentage,foreigns,,,,74.22
2000,percentage,foreigns,,,,87.67
2001,percentage,foreigns,,,,85.0
2002,percentage,foreigns,,,,72.63
2003,percentage,foreigns,,,,84.92
2004,percentage,foreigns,,,,86.83
2005,percentage,foreigns,,,,84.7
2006,percentage,foreigns,,,,89.27
2007,percentage,foreigns,,,,85.71
2008,percentage,foreigns,,,,90.41
2009,percentage,foreigns,,,,91.34
2010,percentage,foreigns,,,,89.84
2011,percentage,foreigns,,,,90.57
2012,percentage,foreigns,,,,91.75
2013,percentage,foreigns,,,,87.88
2014,percentage,foreigns,,,,87.29
2015,percentage,foreigns,,,,88.4
2016,percentage,foreigns,,,,87.58
2017,percentage,foreigns,,,,86.26
2018,percentage,foreigns,,,,83.9
2019,percentage,foreigns,,,,82.65
2020,percentage,foreigns,,,,87.54
1996,percentage,foreigns,,,,55.71
1997,percentage,foreigns,,,,64.41
1998,percentage,foreigns,,,,64.71
1999,percentage,foreigns,,,,72.48
2000,percentage,foreigns,,,,73.0
2001,percentage,foreigns,,,,66.81
2002,percentage,foreigns,,,,63.59
2003,percentage,foreigns,,,,71.53
2004,percentage,foreigns,,,,73.33
2005,percentage,foreigns,,,,76.87
2006,percentage,foreigns,,,,74.27
2007,percentage,foreigns,,,,73.2
2008,percentage,foreigns,,,,77.03
2009,percentage,foreigns,,,,84.75
2010,percentage,foreigns,,,,80.04
2011,percentage,foreigns,,,,86.18
2012,percentage,foreigns,,,,87.23
2013,percentage,foreigns,,,,81.98
2014,percentage,foreigns,,,,82.21
2015,percentage,foreigns,,,,82.4
2016,percentage,foreigns,,,,82.03
2017,percentage,foreigns,,,,78.08
2018,percentage,foreigns,,,,72.51
2019,percentage,foreigns,,,,76.35
2020,percentage,foreigns,,,,79.62
1996,percentage,foreigns,,,,70.49
1997,percentage,foreigns,,,,60.66
1998,percentage,foreigns,,,,63.95
1999,percentage,foreigns,,,,72.0
2000,percentage,foreigns,,,,70.95
2001,percentage,foreigns,,,,72.11
2002,percentage,foreigns,,,,64.62
2003,percentage,foreigns,,,,64.41
2004,percentage,foreigns,,,,64.42
2005,percentage,foreigns,,,,71.0
2006,percentage,foreigns,,,,75.86
2007,percentage,foreigns,,,,78.54
2008,percentage,foreigns,,,,82.66
2009,percentage,foreigns,,,,82.19
2010,percentage,foreigns,,,,81.15
2011,percentage,foreigns,,,,81.01
2012,percentage,foreigns,,,,83.49
2013,percentage,foreigns,,,,87.11
2014,percentage,foreigns,,,,81.02
2015,percentage,foreigns,,,,75.1
2016,percentage,foreigns,,,,66.01
2017,percentage,foreigns,,,,60.0
2018,percentage,foreigns,,,,61.79
2019,percentage,foreigns,,,,70.63
2020,percentage,foreigns,,,,75.26
1996,percentage,foreigns,,,,81.82
1997,percentage,foreigns,,,,67.92
1998,percentage,foreigns,,,,74.6
1999,percentage,foreigns,,,,80.33
2000,percentage,foreigns,,,,86.15
2001,percentage,foreigns,,,,87.93
2002,percentage,foreigns,,,,85.45
2003,percentage,foreigns,,,,78.48
2004,percentage,foreigns,,,,74.44
2005,percentage,foreigns,,,,73.64
2006,percentage,foreigns,,,,86.36
2007,percentage,foreigns,,,,88.3
2008,percentage,foreigns,,,,82.88
2009,percentage,foreigns,,,,87.37
2010,percentage,foreigns,,,,79.31
2011,percentage,foreigns,,,,81.3
2012,percentage,foreigns,,,,87.07
2013,percentage,foreigns,,,,91.45
2014,percentage,foreigns,,,,85.04
2015,percentage,foreigns,,,,79.28
2016,percentage,foreigns,,,,73.95
2017,percentage,foreigns,,,,69.38
2018,percentage,foreigns,,,,66.22
2019,percentage,foreigns,,,,76.42
2020,percentage,foreigns,,,,80.65
1996,percentage,foreigns,,,,64.1
1997,percentage,foreigns,,,,55.07
1998,percentage,foreigns,,,,55.95
1999,percentage,foreigns,,,,64.06
2000,percentage,foreigns,,,,59.04
2001,percentage,foreigns,,,,61.8
2002,percentage,foreigns,,,,49.33
2003,percentage,foreigns,,,,53.06
2004,percentage,foreigns,,,,56.78
2005,percentage,foreigns,,,,67.78
2006,percentage,foreigns,,,,65.12
2007,percentage,foreigns,,,,71.94
2008,percentage,foreigns,,,,82.5
2009,percentage,foreigns,,,,78.95
2010,percentage,foreigns,,,,83.48
2011,percentage,foreigns,,,,80.74
2012,percentage,foreigns,,,,79.17
2013,percentage,foreigns,,,,83.45
2014,percentage,foreigns,,,,77.55
2015,percentage,foreigns,,,,71.64
2016,percentage,foreigns,,,,60.87
2017,percentage,foreigns,,,,54.55
2018,percentage,foreigns,,,,58.7
2019,percentage,foreigns,,,,67.35
2020,percentage,foreigns,,,,71.86
1996,percentage,foreigns,,,,77.28
1997,percentage,foreigns,,,,74.52
1998,percentage,foreigns,,,,75.78
1999,percentage,foreigns,,,,77.95
2000,percentage,foreigns,,,,78.52
2001,percentage,foreigns,,,,78.51
2002,percentage,foreigns,,,,81.61
2003,percentage,foreigns,,,,83.67
2004,percentage,foreigns,,,,81.14
2005,percentage,foreigns,,,,82.07
2006,percentage,foreigns,,,,81.42
2007,percentage,foreigns,,,,83.91
2008,percentage,foreigns,,,,84.7
2009,percentage,foreigns,,,,87.31
2010,percentage,foreigns,,,,87.62
2011,percentage,foreigns,,,,88.24
2012,percentage,foreigns,,,,88.62
2013,percentage,foreigns,,,,86.08
2014,percentage,foreigns,,,,87.06
2015,percentage,foreigns,,,,86.96
2016,percentage,foreigns,,,,82.76
2017,percentage,foreigns,,,,80.18
2018,percentage,foreigns,,,,77.72
2019,percentage,foreigns,,,,74.3
2020,percentage,foreigns,,,,77.66
1996,percentage,foreigns,,,,80.42
1997,percentage,foreigns,,,,82.32
1998,percentage,foreigns,,,,79.56
1999,percentage,foreigns,,,,82.85
2000,percentage,foreigns,,,,83.39
2001,percentage,foreigns,,,,83.01
2002,percentage,foreigns,,,,84.64
2003,percentage,foreigns,,,,88.53
2004,percentage,foreigns,,,,86.53
2005,percentage,foreigns,,,,84.99
2006,percentage,foreigns,,,,86.12
2007,percentage,foreigns,,,,85.86
2008,percentage,foreigns,,,,87.81
2009,percentage,foreigns,,,,89.13
2010,percentage,foreigns,,,,91.01
2011,percentage,foreigns,,,,92.25
2012,percentage,foreigns,,,,92.15
2013,percentage,foreigns,,,,87.44
2014,percentage,foreigns,,,,89.32
2015,percentage,foreigns,,,,90.54
2016,percentage,foreigns,,,,87.28
2017,percentage,foreigns,,,,86.3
2018,percentage,foreigns,,,,82.42
2019,percentage,foreigns,,,,79.72
2020,percentage,foreigns,,,,80.84
1996,percentage,foreigns,,,,74.55
1997,percentage,foreigns,,,,67.89
1998,percentage,foreigns,,,,72.31
1999,percentage,foreigns,,,,73.23
2000,percentage,foreigns,,,,74.08
2001,percentage,foreigns,,,,74.53
2002,percentage,foreigns,,,,78.74
2003,percentage,foreigns,,,,78.8
2004,percentage,foreigns,,,,76.08
2005,percentage,foreigns,,,,79.25
2006,percentage,foreigns,,,,77.0
2007,percentage,foreigns,,,,82.01
2008,percentage,foreigns,,,,81.79
2009,percentage,foreigns,,,,85.65
2010,percentage,foreigns,,,,84.34
2011,percentage,foreigns,,,,84.37
2012,percentage,foreigns,,,,85.16
2013,percentage,foreigns,,,,84.87
2014,percentage,foreigns,,,,84.87
2015,percentage,foreigns,,,,83.6
2016,percentage,foreigns,,,,78.9
2017,percentage,foreigns,,,,75.37
2018,percentage,foreigns,,,,73.88
2019,percentage,foreigns,,,,69.8
2020,percentage,foreigns,,,,75.0
1996,percentage,foreigns,,,,62.12
1997,percentage,foreigns,,,,60.53
1998,percentage,foreigns,,,,61.46
1999,percentage,foreigns,,,,55.88
2000,percentage,foreigns,,,,61.54
2001,percentage,foreigns,,,,61.6
2002,percentage,foreigns,,,,74.38
2003,percentage,foreigns,,,,82.58
2004,percentage,foreigns,,,,84.51
2005,percentage,foreigns,,,,82.42
2006,percentage,foreigns,,,,81.62
2007,percentage,foreigns,,,,85.63
2008,percentage,foreigns,,,,84.62
2009,percentage,foreigns,,,,89.64
2010,percentage,foreigns,,,,89.96
2011,percentage,foreigns,,,,89.41
2012,percentage,foreigns,,,,90.78
2013,percentage,foreigns,,,,84.87
2014,percentage,foreigns,,,,86.71
2015,percentage,foreigns,,,,81.79
2016,percentage,foreigns,,,,77.27
2017,percentage,foreigns,,,,53.2
2018,percentage,foreigns,,,,61.77
2019,percentage,foreigns,,,,67.12
2020,percentage,foreigns,,,,72.72
1996,percentage,foreigns,,,,56.52
1997,percentage,foreigns,,,,58.33
1998,percentage,foreigns,,,,74.36
1999,percentage,foreigns,,,,62.79
2000,percentage,foreigns,,,,69.35
2001,percentage,foreigns,,,,63.08
2002,percentage,foreigns,,,,79.03
2003,percentage,foreigns,,,,81.16
2004,percentage,foreigns,,,,86.11
2005,percentage,foreigns,,,,87.8
2006,percentage,foreigns,,,,85.71
2007,percentage,foreigns,,,,89.74
2008,percentage,foreigns,,,,91.55
2009,percentage,foreigns,,,,93.7
2010,percentage,foreigns,,,,92.86
2011,percentage,foreigns,,,,93.28
2012,percentage,foreigns,,,,91.59
2013,percentage,foreigns,,,,87.94
2014,percentage,foreigns,,,,89.51
2015,percentage,foreigns,,,,83.69
2016,percentage,foreigns,,,,85.44
2017,percentage,foreigns,,,,67.41
2018,percentage,foreigns,,,,67.9
2019,percentage,foreigns,,,,76.38
2020,percentage,foreigns,,,,74.76
1996,percentage,foreigns,,,,65.12
1997,percentage,foreigns,,,,62.5
1998,percentage,foreigns,,,,52.63
1999,percentage,foreigns,,,,50.85
2000,percentage,foreigns,,,,56.38
2001,percentage,foreigns,,,,60.0
2002,percentage,foreigns,,,,69.49
2003,percentage,foreigns,,,,83.72
2004,percentage,foreigns,,,,82.86
2005,percentage,foreigns,,,,78.0
2006,percentage,foreigns,,,,78.7
2007,percentage,foreigns,,,,81.71
2008,percentage,foreigns,,,,78.82
2009,percentage,foreigns,,,,85.48
2010,percentage,foreigns,,,,87.22
2011,percentage,foreigns,,,,85.47
2012,percentage,foreigns,,,,90.0
2013,percentage,foreigns,,,,81.54
2014,percentage,foreigns,,,,83.06
2015,percentage,foreigns,,,,79.86
2016,percentage,foreigns,,,,70.7
2017,percentage,foreigns,,,,44.95
2018,percentage,foreigns,,,,58.77
2019,percentage,foreigns,,,,60.95
2020,percentage,foreigns,,,,71.03
1996,percentage,germans,,,,93.7
1997,percentage,germans,,,,94.02
1998,percentage,germans,,,,93.98
1999,percentage,germans,,,,93.9
2000,percentage,germans,,,,93.71
2001,percentage,germans,,,,93.67
2002,percentage,germans,,,,93.82
2003,percentage,germans,,,,94.31
2004,percentage,germans,,,,94.35
2005,percentage,germans,,,,94.67
2006,percentage,germans,,,,95.09
2007,percentage,germans,,,,95.47
2008,percentage,germans,,,,95.7
2009,percentage,germans,,,,95.63
2010,percentage,germans,,,,95.83
2011,percentage,germans,,,,96.03
2012,percentage,germans,,,,96.56
2013,percentage,germans,,,,96.23
2014,percentage,germans,,,,95.89
2015,percentage,germans,,,,95.9
2016,percentage,germans,,,,95.7
2017,percentage,germans,,,,94.81
2018,percentage,germans,,,,94.91
2019,percentage,germans,,,,95.19
2020,percentage,germans,,,,95.64
1996,percentage,germans,,,,93.08
1997,percentage,germans,,,,92.65
1998,percentage,germans,,,,92.3
1999,percentage,germans,,,,92.56
2000,percentage,germans,,,,92.1
2001,percentage,germans,,,,91.4
2002,percentage,germans,,,,91.83
2003,percentage,germans,,,,92.47
2004,percentage,germans,,,,92.62
2005,percentage,germans,,,,93.19
2006,percentage,germans,,,,93.58
2007,percentage,germans,,,,93.99
2008,percentage,germans,,,,94.55
2009,percentage,germans,,,,94.93
2010,percentage,germans,,,,95.19
2011,percentage,germans,,,,96.41
2012,percentage,germans,,,,95.97
2013,percentage,germans,,,,96.24
2014,percentage,germans,,,,96.41
2015,percentage,germans,,,,96.31
2016,percentage,germans,,,,96.39
2017,percentage,germans,,,,96.12
2018,percentage,germans,,,,95.94
2019,percentage,germans,,,,95.98
2020,percentage,germans,,,,96.24
1996,percentage,germans,,,,90.79
1997,percentage,germans,,,,90.26
1998,percentage,germans,,,,89.48
1999,percentage,germans,,,,89.49
2000,percentage,germans,,,,89.63
2001,percentage,germans,,,,91.06
2002,percentage,germans,,,,91.08
2003,percentage,germans,,,,91.17
2004,percentage,germans,,,,91.64
2005,percentage,germans,,,,92.64
2006,percentage,germans,,,,92.56
2007,percentage,germans,,,,92.37
2008,percentage,germans,,,,92.6
2009,percentage,germans,,,,92.58
2010,percentage,germans,,,,92.5
2011,percentage,germans,,,,92.72
2012,percentage,germans,,,,94.27
2013,percentage,germans,,,,93.9
2014,percentage,germans,,,,93.12
2015,percentage,germans,,,,91.97
2016,percentage,germans,,,,93.45
2017,percentage,germans,,,,92.49
2018,percentage,germans,,,,92.12
2019,percentage,germans,,,,92.88
2020,percentage,germans,,,,93.45
1996,percentage,germans,,,,90.52
1997,percentage,germans,,,,91.5
1998,percentage,germans,,,,91.25
1999,percentage,germans,,,,91.4
2000,percentage,germans,,,,91.14
2001,percentage,germans,,,,91.08
2002,percentage,germans,,,,91.1
2003,percentage,germans,,,,91.64
2004,percentage,germans,,,,91.15
2005,percentage,germans,,,,90.42
2006,percentage,germans,,,,89.87
2007,percentage,germans,,,,90.17
2008,percentage,germans,,,,90.45
2009,percentage,germans,,,,91.73
2010,percentage,germans,,,,91.84
2011,percentage,germans,,,,91.42
2012,percentage,germans,,,,92.89
2013,percentage,germans,,,,92.01
2014,percentage,germans,,,,91.92
2015,percentage,germans,,,,92.5
2016,percentage,germans,,,,92.94
2017,percentage,germans,,,,92.94
2018,percentage,germans,,,,92.94
2019,percentage,germans,,,,92.97
2020,percentage,germans,,,,95.98
1996,percentage,germans,,,,91.77
1997,percentage,germans,,,,92.69
1998,percentage,germans,,,,90.58
1999,percentage,germans,,,,92.52
2000,percentage,germans,,,,92.65
2001,percentage,germans,,,,91.81
2002,percentage,germans,,,,92.35
2003,percentage,germans,,,,92.36
2004,percentage,germans,,,,91.28
2005,percentage,germans,,,,92.39
2006,percentage,germans,,,,93.89
2007,percentage,germans,,,,93.74
2008,percentage,germans,,,,94.24
2009,percentage,germans,,,,94.98
2010,percentage,germans,,,,96.03
2011,percentage,germans,,,,95.05
2012,percentage,germans,,,,95.94
2013,percentage,germans,,,,95.18
2014,percentage,germans,,,,94.83
2015,percentage,germans,,,,94.92
2016,percentage,germans,,,,95.1
2017,percentage,germans,,,,94.03
2018,percentage,germans,,,,94.49
2019,percentage,germans,,,,93.79
2020,percentage,germans,,,,94.64
1996,percentage,germans,,,,90.7
1997,percentage,germans,,,,90.09
1998,percentage,germans,,,,90.6
1999,percentage,germans,,,,90.5
2000,percentage,germans,,,,89.44
2001,percentage,germans,,,,89.1
2002,percentage,germans,,,,89.75
2003,percentage,germans,,,,90.03
2004,percentage,germans,,,,90.61
2005,percentage,germans,,,,90.41
2006,percentage,germans,,,,90.56
2007,percentage,germans,,,,91.5
2008,percentage,germans,,,,93.38
2009,percentage,germans,,,,93.61
2010,percentage,germans,,,,95.2
2011,percentage,germans,,,,93.98
2012,percentage,germans,,,,94.06
2013,percentage,germans,,,,95.79
2014,percentage,germans,,,,95.97
2015,percentage,germans,,,,95.37
2016,percentage,germans,,,,95.29
2017,percentage,germans,,,,95.81
2018,percentage,germans,,,,95.02
2019,percentage,germans,,,,95.13
2020,percentage,germans,,,,94.66
1996,percentage,germans,,,,93.07
1997,percentage,germans,,,,93.22
1998,percentage,germans,,,,93.33
1999,percentage,germans,,,,92.64
2000,percentage,germans,,,,91.81
2001,percentage,germans,,,,92.14
2002,percentage,germans,,,,92.87
2003,percentage,germans,,,,92.41
2004,percentage,germans,,,,93.0
2005,percentage,germans,,,,93.35
2006,percentage,germans,,,,93.52
2007,percentage,germans,,,,93.52
2008,percentage,germans,,,,94.54
2009,percentage,germans,,,,94.81
2010,percentage,germans,,,,95.4
2011,percentage,germans,,,,95.85
2012,percentage,germans,,,,95.81
2013,percentage,germans,,,,96.67
2014,percentage,germans,,,,96.38
2015,percentage,germans,,,,96.54
2016,percentage,germans,,,,95.82
2017,percentage,germans,,,,95.91
2018,percentage,germans,,,,95.93
2019,percentage,germans,,,,95.81
2020,percentage,germans,,,,96.46
1996,percentage,germans,,,,90.62
1997,percentage,germans,,,,90.79
1998,percentage,germans,,,,90.35
1999,percentage,germans,,,,89.63
2000,percentage,germans,,,,89.14
2001,percentage,germans,,,,86.42
2002,percentage,germans,,,,89.37
2003,percentage,germans,,,,89.76
2004,percentage,germans,,,,90.28
2005,percentage,germans,,,,89.35
2006,percentage,germans,,,,88.66
2007,percentage,germans,,,,89.67
2008,percentage,germans,,,,90.27
2009,percentage,germans,,,,87.91
2010,percentage,germans,,,,86.84
2011,percentage,germans,,,,86.02
