Year,Units,Series,federal state,GeoCode,county,Value
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",3.7
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",4.5
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",3.5
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",5.3
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",6.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",8.4
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",8.3
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",8.1
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",9.0
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",8.8
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",8.1
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",8.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05117,"mülheim an der ruhr, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",2.5
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",2.7
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",2.9
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",4.6
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",5.4
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.5
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",7.2
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.7
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.2
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.6
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.9
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",7.7
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",2.5
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",2.7
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",2.9
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",4.6
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",5.4
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.5
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",7.2
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.7
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.2
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.6
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",6.9
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",7.7
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05119,"oberhausen, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",5.3
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",6.8
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",7.8
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",9.7
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",11.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",14.2
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",15.7
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.1
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",16.9
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.8
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.0
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.0
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",5.3
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",6.8
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",7.8
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",9.7
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",11.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",14.2
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",15.7
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.1
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",16.9
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.8
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.0
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",17.0
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05120,"remscheid, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",4.2
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",5.6
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",7.1
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",8.5
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",8.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",10.5
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",12.4
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",11.2
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",12.0
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",12.5
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",13.8
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",14.2
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",4.2
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",5.6
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",7.1
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",8.5
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",8.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",10.5
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",12.4
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",11.2
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",12.0
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",12.5
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",13.8
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",14.2
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05122,"solingen, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",4.1
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",4.4
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",4.3
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",5.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",6.0
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",6.7
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",7.2
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",7.7
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",7.6
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",8.1
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",9.0
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",8.9
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",4.1
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",4.4
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",4.3
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",5.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",6.0
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",6.7
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",7.2
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",7.7
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",7.6
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",8.1
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",9.0
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",8.9
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05124,"wuppertal, stadt",
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,1.3
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,2.6
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,4.3
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,5.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,5.4
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,6.7
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,6.7
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,6.8
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.6
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.4
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.7
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,1.3
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,2.6
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,4.3
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,5.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,5.4
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,6.7
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,6.7
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,6.8
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.6
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.4
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,8.7
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05154,kleve,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,5.3
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,7.0
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,8.2
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,9.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,10.6
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,12.2
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,13.8
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,14.2
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,13.6
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,14.6
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,15.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,15.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,5.3
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,7.0
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,8.2
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,9.0
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,10.6
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,12.2
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,13.8
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,14.2
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,13.6
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,14.6
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,15.6
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,15.8
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05158,mettmann,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,5.4
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,7.0
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,8.6
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,9.2
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,10.0
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,12.0
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,13.7
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,14.3
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,15.5
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,16.1
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,16.9
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,17.7
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,5.4
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,7.0
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,8.6
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,9.2
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,10.0
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,12.0
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,13.7
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,14.3
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,15.5
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,16.1
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,16.9
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,17.7
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05162,rhein-kreis neuss,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2009,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,4.1
2010,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,5.1
2011,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,6.0
2012,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,8.7
2013,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,8.7
2014,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,11.5
2015,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,12.6
2016,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,11.9
2017,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,12.3
2018,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,13.9
2019,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,13.5
2020,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,14.2
2021,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2022,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2006,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2007,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
2008,percentage,all-day care provision for 0 to 2-year-old children,north rhine-westphalia,code05166,viersen,
