Year,Units,Series,type of area,federal state,GeoCode,Value
2020,hectre per day,calculated annual values,,,,5.4
1996,hectre per day,calculated annual values,,,,27.4
1997,hectre per day,calculated annual values,,,,28.4
1998,hectre per day,calculated annual values,,,,28.4
1999,hectre per day,calculated annual values,,,,28.4
2000,hectre per day,calculated annual values,,,,28.4
2001,hectre per day,calculated annual values,,,,21.6
2002,hectre per day,calculated annual values,,,,18.0
2003,hectre per day,calculated annual values,,,,17.2
2004,hectre per day,calculated annual values,,,,15.2
2005,hectre per day,calculated annual values,,,,15.8
2006,hectre per day,calculated annual values,,,,20.6
2007,hectre per day,calculated annual values,,,,16.1
2008,hectre per day,calculated annual values,,,,16.4
2009,hectre per day,calculated annual values,,,,16.4
2010,hectre per day,calculated annual values,,,,20.8
2011,hectre per day,calculated annual values,,,,
2012,hectre per day,calculated annual values,,,,12.0
2013,hectre per day,calculated annual values,,,,12.6
2014,hectre per day,calculated annual values,,,,
2015,hectre per day,calculated annual values,,,,12.8
2016,hectre per day,calculated annual values,,,,9.8
2017,hectre per day,calculated annual values,,,,11.7
2018,hectre per day,calculated annual values,,,,10.0
2019,hectre per day,calculated annual values,,,,10.8
2020,hectre per day,calculated annual values,,,,11.6
1996,hectre per day,calculated annual values,,,,-0.7
1997,hectre per day,calculated annual values,,,,1.4
1998,hectre per day,calculated annual values,,,,1.4
1999,hectre per day,calculated annual values,,,,1.4
2000,hectre per day,calculated annual values,,,,1.4
2001,hectre per day,calculated annual values,,,,0.5
2002,hectre per day,calculated annual values,,,,0.4
2003,hectre per day,calculated annual values,,,,0.1
2004,hectre per day,calculated annual values,,,,0.2
2005,hectre per day,calculated annual values,,,,0.4
2006,hectre per day,calculated annual values,,,,0.1
2007,hectre per day,calculated annual values,,,,0.5
2008,hectre per day,calculated annual values,,,,0.1
2009,hectre per day,calculated annual values,,,,0.6
2010,hectre per day,calculated annual values,,,,0.3
2011,hectre per day,calculated annual values,,,,0.2
2012,hectre per day,calculated annual values,,,,-0.6
2013,hectre per day,calculated annual values,,,,0.3
2014,hectre per day,calculated annual values,,,,0.0
2015,hectre per day,calculated annual values,,,,0.0
2016,hectre per day,calculated annual values,,,,0.2
2017,hectre per day,calculated annual values,,,,0.3
2018,hectre per day,calculated annual values,,,,0.1
2019,hectre per day,calculated annual values,,,,0.1
2020,hectre per day,calculated annual values,,,,0.0
1996,hectre per day,calculated annual values,,,,6.9
1997,hectre per day,calculated annual values,,,,9.3
1998,hectre per day,calculated annual values,,,,9.3
1999,hectre per day,calculated annual values,,,,9.3
2000,hectre per day,calculated annual values,,,,9.3
2001,hectre per day,calculated annual values,,,,9.3
2002,hectre per day,calculated annual values,,,,8.0
2003,hectre per day,calculated annual values,,,,8.3
2004,hectre per day,calculated annual values,,,,7.0
2005,hectre per day,calculated annual values,,,,11.2
2006,hectre per day,calculated annual values,,,,8.4
2007,hectre per day,calculated annual values,,,,6.8
2008,hectre per day,calculated annual values,,,,11.5
2009,hectre per day,calculated annual values,,,,6.7
2010,hectre per day,calculated annual values,,,,4.8
2011,hectre per day,calculated annual values,,,,3.2
2012,hectre per day,calculated annual values,,,,3.6
2013,hectre per day,calculated annual values,,,,11.2
2014,hectre per day,calculated annual values,,,,2.9
2015,hectre per day,calculated annual values,,,,1.9
2016,hectre per day,calculated annual values,,,,2.9
2017,hectre per day,calculated annual values,,,,0.6
2018,hectre per day,calculated annual values,,,,1.6
2019,hectre per day,calculated annual values,,,,0.5
2020,hectre per day,calculated annual values,,,,7.7
1996,hectre per day,calculated annual values,,,,0.1
1997,hectre per day,calculated annual values,,,,0.5
1998,hectre per day,calculated annual values,,,,0.5
1999,hectre per day,calculated annual values,,,,0.5
2000,hectre per day,calculated annual values,,,,0.5
2001,hectre per day,calculated annual values,,,,0.3
2002,hectre per day,calculated annual values,,,,0.1
2003,hectre per day,calculated annual values,,,,0.1
2004,hectre per day,calculated annual values,,,,0.2
2005,hectre per day,calculated annual values,,,,0.1
2006,hectre per day,calculated annual values,,,,0.1
2007,hectre per day,calculated annual values,,,,0.4
2008,hectre per day,calculated annual values,,,,0.2
2009,hectre per day,calculated annual values,,,,0.0
2010,hectre per day,calculated annual values,,,,0.2
2011,hectre per day,calculated annual values,,,,0.2
2012,hectre per day,calculated annual values,,,,0.6
2013,hectre per day,calculated annual values,,,,0.0
2014,hectre per day,calculated annual values,,,,0.1
2015,hectre per day,calculated annual values,,,,0.0
2016,hectre per day,calculated annual values,,,,0.3
2017,hectre per day,calculated annual values,,,,0.1
2018,hectre per day,calculated annual values,,,,-0.1
2019,hectre per day,calculated annual values,,,,0.0
2020,hectre per day,calculated annual values,,,,0.1
1996,hectre per day,calculated annual values,,,,0.4
1997,hectre per day,calculated annual values,,,,0.2
1998,hectre per day,calculated annual values,,,,0.2
1999,hectre per day,calculated annual values,,,,0.2
2000,hectre per day,calculated annual values,,,,0.2
2001,hectre per day,calculated annual values,,,,0.1
2002,hectre per day,calculated annual values,,,,1.0
2003,hectre per day,calculated annual values,,,,0.8
2004,hectre per day,calculated annual values,,,,1.2
2005,hectre per day,calculated annual values,,,,1.0
2006,hectre per day,calculated annual values,,,,0.8
2007,hectre per day,calculated annual values,,,,0.1
2008,hectre per day,calculated annual values,,,,0.1
2009,hectre per day,calculated annual values,,,,0.2
2010,hectre per day,calculated annual values,,,,0.2
2011,hectre per day,calculated annual values,,,,0.0
2012,hectre per day,calculated annual values,,,,0.2
2013,hectre per day,calculated annual values,,,,0.4
2014,hectre per day,calculated annual values,,,,-0.6
2015,hectre per day,calculated annual values,,,,-0.9
2016,hectre per day,calculated annual values,,,,-0.9
2017,hectre per day,calculated annual values,,,,0.1
2018,hectre per day,calculated annual values,,,,-0.1
2019,hectre per day,calculated annual values,,,,-0.1
2020,hectre per day,calculated annual values,,,,0.0
1996,hectre per day,calculated annual values,,,,4.5
1997,hectre per day,calculated annual values,,,,4.9
1998,hectre per day,calculated annual values,,,,4.9
1999,hectre per day,calculated annual values,,,,4.9
2000,hectre per day,calculated annual values,,,,4.9
2001,hectre per day,calculated annual values,,,,2.7
2002,hectre per day,calculated annual values,,,,4.8
2003,hectre per day,calculated annual values,,,,4.1
2004,hectre per day,calculated annual values,,,,4.2
2005,hectre per day,calculated annual values,,,,3.7
2006,hectre per day,calculated annual values,,,,3.3
2007,hectre per day,calculated annual values,,,,4.2
2008,hectre per day,calculated annual values,,,,3.2
2009,hectre per day,calculated annual values,,,,3.6
2010,hectre per day,calculated annual values,,,,3.6
2011,hectre per day,calculated annual values,,,,1.4
2012,hectre per day,calculated annual values,,,,3.7
2013,hectre per day,calculated annual values,,,,2.2
2014,hectre per day,calculated annual values,,,,3.6
2015,hectre per day,calculated annual values,,,,2.5
2016,hectre per day,calculated annual values,,,,
2017,hectre per day,calculated annual values,,,,3.7
2018,hectre per day,calculated annual values,,,,2.8
2019,hectre per day,calculated annual values,,,,2.5
2020,hectre per day,calculated annual values,,,,1.5
1996,hectre per day,calculated annual values,,,,5.3
1997,hectre per day,calculated annual values,,,,7.6
1998,hectre per day,calculated annual values,,,,7.6
1999,hectre per day,calculated annual values,,,,7.6
2000,hectre per day,calculated annual values,,,,7.6
2001,hectre per day,calculated annual values,,,,7.3
2002,hectre per day,calculated annual values,,,,10.9
2003,hectre per day,calculated annual values,,,,8.8
2004,hectre per day,calculated annual values,,,,7.9
2005,hectre per day,calculated annual values,,,,6.7
2006,hectre per day,calculated annual values,,,,7.3
2007,hectre per day,calculated annual values,,,,6.7
2008,hectre per day,calculated annual values,,,,10.7
2009,hectre per day,calculated annual values,,,,7.7
2010,hectre per day,calculated annual values,,,,7.1
2011,hectre per day,calculated annual values,,,,2.7
2012,hectre per day,calculated annual values,,,,3.1
2013,hectre per day,calculated annual values,,,,2.1
2014,hectre per day,calculated annual values,,,,2.0
2015,hectre per day,calculated annual values,,,,5.1
2016,hectre per day,calculated annual values,,,,17.7
2017,hectre per day,calculated annual values,,,,-7.9
2018,hectre per day,calculated annual values,,,,0.5
2019,hectre per day,calculated annual values,,,,-0.5
2020,hectre per day,calculated annual values,,,,1.0
1996,hectre per day,calculated annual values,,,,16.6
1997,hectre per day,calculated annual values,,,,16.4
1998,hectre per day,calculated annual values,,,,16.4
1999,hectre per day,calculated annual values,,,,16.4
2000,hectre per day,calculated annual values,,,,16.4
2001,hectre per day,calculated annual values,,,,14.9
2002,hectre per day,calculated annual values,,,,11.8
2003,hectre per day,calculated annual values,,,,12.6
2004,hectre per day,calculated annual values,,,,18.3
2005,hectre per day,calculated annual values,,,,14.0
2006,hectre per day,calculated annual values,,,,11.5
2007,hectre per day,calculated annual values,,,,10.0
2008,hectre per day,calculated annual values,,,,11.0
2009,hectre per day,calculated annual values,,,,8.6
2010,hectre per day,calculated annual values,,,,8.0
2011,hectre per day,calculated annual values,,,,14.8
2012,hectre per day,calculated annual values,,,,9.8
2013,hectre per day,calculated annual values,,,,9.2
2014,hectre per day,calculated annual values,,,,10.3
2015,hectre per day,calculated annual values,,,,9.5
2016,hectre per day,calculated annual values,,,,0.8
2017,hectre per day,calculated annual values,,,,6.5
2018,hectre per day,calculated annual values,,,,7.1
2019,hectre per day,calculated annual values,,,,5.8
2020,hectre per day,calculated annual values,,,,6.8
1996,hectre per day,calculated annual values,,,,15.8
1997,hectre per day,calculated annual values,,,,16.5
1998,hectre per day,calculated annual values,,,,16.5
1999,hectre per day,calculated annual values,,,,16.5
2000,hectre per day,calculated annual values,,,,16.5
2001,hectre per day,calculated annual values,,,,16.3
2002,hectre per day,calculated annual values,,,,16.0
2003,hectre per day,calculated annual values,,,,8.9
2004,hectre per day,calculated annual values,,,,19.7
2005,hectre per day,calculated annual values,,,,13.3
2006,hectre per day,calculated annual values,,,,14.4
2007,hectre per day,calculated annual values,,,,14.1
2008,hectre per day,calculated annual values,,,,15.0
2009,hectre per day,calculated annual values,,,,9.2
2010,hectre per day,calculated annual values,,,,11.5
2011,hectre per day,calculated annual values,,,,10.0
2012,hectre per day,calculated annual values,,,,10.4
2013,hectre per day,calculated annual values,,,,9.3
2014,hectre per day,calculated annual values,,,,9.0
2015,hectre per day,calculated annual values,,,,9.3
2016,hectre per day,calculated annual values,,,,
2017,hectre per day,calculated annual values,,,,6.3
2018,hectre per day,calculated annual values,,,,5.2
2019,hectre per day,calculated annual values,,,,8.1
2020,hectre per day,calculated annual values,,,,5.7
1996,hectre per day,calculated annual values,,,,5.0
1997,hectre per day,calculated annual values,,,,5.4
1998,hectre per day,calculated annual values,,,,5.4
1999,hectre per day,calculated annual values,,,,5.4
2000,hectre per day,calculated annual values,,,,5.4
2001,hectre per day,calculated annual values,,,,5.4
2002,hectre per day,calculated annual values,,,,5.0
2003,hectre per day,calculated annual values,,,,4.4
2004,hectre per day,calculated annual values,,,,8.3
2005,hectre per day,calculated annual values,,,,8.1
2006,hectre per day,calculated annual values,,,,5.4
2007,hectre per day,calculated annual values,,,,4.7
2008,hectre per day,calculated annual values,,,,3.2
2009,hectre per day,calculated annual values,,,,0.6
2010,hectre per day,calculated annual values,,,,0.5
2011,hectre per day,calculated annual values,,,,1.0
2012,hectre per day,calculated annual values,,,,1.5
2013,hectre per day,calculated annual values,,,,1.4
2014,hectre per day,calculated annual values,,,,0.6
2015,hectre per day,calculated annual values,,,,-1.0
2016,hectre per day,calculated annual values,,,,2.2
2017,hectre per day,calculated annual values,,,,-0.4
2018,hectre per day,calculated annual values,,,,1.5
2019,hectre per day,calculated annual values,,,,2.4
2020,hectre per day,calculated annual values,,,,4.8
1996,hectre per day,calculated annual values,,,,0.6
1997,hectre per day,calculated annual values,,,,0.7
1998,hectre per day,calculated annual values,,,,0.7
1999,hectre per day,calculated annual values,,,,0.7
2000,hectre per day,calculated annual values,,,,0.7
2001,hectre per day,calculated annual values,,,,0.8
2002,hectre per day,calculated annual values,,,,0.5
2003,hectre per day,calculated annual values,,,,0.4
2004,hectre per day,calculated annual values,,,,1.3
2005,hectre per day,calculated annual values,,,,0.6
2006,hectre per day,calculated annual values,,,,0.5
2007,hectre per day,calculated annual values,,,,0.6
2008,hectre per day,calculated annual values,,,,0.5
2009,hectre per day,calculated annual values,,,,0.8
2010,hectre per day,calculated annual values,,,,1.0
2011,hectre per day,calculated annual values,,,,0.5
2012,hectre per day,calculated annual values,,,,0.3
2013,hectre per day,calculated annual values,,,,0.3
2014,hectre per day,calculated annual values,,,,0.4
2015,hectre per day,calculated annual values,,,,0.1
2016,hectre per day,calculated annual values,,,,3.0
2017,hectre per day,calculated annual values,,,,0.2
2018,hectre per day,calculated annual values,,,,0.2
2019,hectre per day,calculated annual values,,,,0.2
2020,hectre per day,calculated annual values,,,,0.2
1996,hectre per day,calculated annual values,,,,8.8
1997,hectre per day,calculated annual values,,,,8.2
1998,hectre per day,calculated annual values,,,,8.2
1999,hectre per day,calculated annual values,,,,8.2
2000,hectre per day,calculated annual values,,,,8.2
2001,hectre per day,calculated annual values,,,,8.1
2002,hectre per day,calculated annual values,,,,5.8
2003,hectre per day,calculated annual values,,,,4.0
2004,hectre per day,calculated annual values,,,,2.8
2005,hectre per day,calculated annual values,,,,3.0
2006,hectre per day,calculated annual values,,,,4.5
2007,hectre per day,calculated annual values,,,,11.2
2008,hectre per day,calculated annual values,,,,6.9
2009,hectre per day,calculated annual values,,,,10.1
2010,hectre per day,calculated annual values,,,,6.9
2011,hectre per day,calculated annual values,,,,6.0
2012,hectre per day,calculated annual values,,,,5.7
2013,hectre per day,calculated annual values,,,,2.9
2014,hectre per day,calculated annual values,,,,
2015,hectre per day,calculated annual values,,,,
2016,hectre per day,calculated annual values,,,,3.1
2017,hectre per day,calculated annual values,,,,5.0
2018,hectre per day,calculated annual values,,,,4.5
2019,hectre per day,calculated annual values,,,,5.1
2020,hectre per day,calculated annual values,,,,6.1
1996,hectre per day,calculated annual values,,,,9.2
1997,hectre per day,calculated annual values,,,,9.9
1998,hectre per day,calculated annual values,,,,9.9
1999,hectre per day,calculated annual values,,,,9.9
2000,hectre per day,calculated annual values,,,,9.9
2001,hectre per day,calculated annual values,,,,11.2
2002,hectre per day,calculated annual values,,,,4.4
2003,hectre per day,calculated annual values,,,,8.8
2004,hectre per day,calculated annual values,,,,26.7
2005,hectre per day,calculated annual values,,,,25.0
2006,hectre per day,calculated annual values,,,,11.7
2007,hectre per day,calculated annual values,,,,0.8
2008,hectre per day,calculated annual values,,,,2.5
2009,hectre per day,calculated annual values,,,,0.4
2010,hectre per day,calculated annual values,,,,-1.6
2011,hectre per day,calculated annual values,,,,-0.6
2012,hectre per day,calculated annual values,,,,-0.4
2013,hectre per day,calculated annual values,,,,0.2
2014,hectre per day,calculated annual values,,,,1.8
2015,hectre per day,calculated annual values,,,,0.5
2016,hectre per day,calculated annual values,,,,1.7
2017,hectre per day,calculated annual values,,,,0.6
2018,hectre per day,calculated annual values,,,,-0.1
2019,hectre per day,calculated annual values,,,,1.7
2020,hectre per day,calculated annual values,,,,0.6
1996,hectre per day,calculated annual values,,,,3.3
1997,hectre per day,calculated annual values,,,,4.1
1998,hectre per day,calculated annual values,,,,4.1
1999,hectre per day,calculated annual values,,,,4.1
2000,hectre per day,calculated annual values,,,,4.1
2001,hectre per day,calculated annual values,,,,
2002,hectre per day,calculated annual values,,,,
2003,hectre per day,calculated annual values,,,,
2004,hectre per day,calculated annual values,,,,
2005,hectre per day,calculated annual values,,,,4.5
2006,hectre per day,calculated annual values,,,,6.5
2007,hectre per day,calculated annual values,,,,7.4
2008,hectre per day,calculated annual values,,,,3.1
2009,hectre per day,calculated annual values,,,,3.3
2010,hectre per day,calculated annual values,,,,3.0
2011,hectre per day,calculated annual values,,,,4.8
2012,hectre per day,calculated annual values,,,,2.3
2013,hectre per day,calculated annual values,,,,2.7
2014,hectre per day,calculated annual values,,,,2.9
2015,hectre per day,calculated annual values,,,,2.8
2016,hectre per day,calculated annual values,,,,0.9
2017,hectre per day,calculated annual values,,,,3.4
2018,hectre per day,calculated annual values,,,,3.2
2019,hectre per day,calculated annual values,,,,1.8
2020,hectre per day,calculated annual values,,,,5.8
1996,hectre per day,calculated annual values,,,,6.1
1997,hectre per day,calculated annual values,,,,3.6
1998,hectre per day,calculated annual values,,,,3.6
1999,hectre per day,calculated annual values,,,,3.6
2000,hectre per day,calculated annual values,,,,3.6
2001,hectre per day,calculated annual values,,,,2.4
2002,hectre per day,calculated annual values,,,,3.8
2003,hectre per day,calculated annual values,,,,1.5
2004,hectre per day,calculated annual values,,,,1.0
2005,hectre per day,calculated annual values,,,,1.6
2006,hectre per day,calculated annual values,,,,1.6
2007,hectre per day,calculated annual values,,,,2.0
2008,hectre per day,calculated annual values,,,,2.5
2009,hectre per day,calculated annual values,,,,2.7
2010,hectre per day,calculated annual values,,,,3.7
2011,hectre per day,calculated annual values,,,,5.1
2012,hectre per day,calculated annual values,,,,5.4
2013,hectre per day,calculated annual values,,,,2.6
2014,hectre per day,calculated annual values,,,,8.3
2015,hectre per day,calculated annual values,,,,2.5
2016,hectre per day,calculated annual values,,,,8.7
2017,hectre per day,calculated annual values,,,,
2018,hectre per day,calculated annual values,,,,
2019,hectre per day,calculated annual values,,,,1.9
2020,hectre per day,calculated annual values,,,,0.8
