Year,Units,Bundesland,GeoCode,Zeitreihe,Value
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9570.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9868.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,10512.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,10747.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,11270.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12157.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12996.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,14133.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,15513.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18083.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,20159.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,22166.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,23355.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2288.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2347.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2396.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2423.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2524.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2536.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2678.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2969.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3080.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3246.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3462.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3827.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4263.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4618.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4978.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5143.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3751.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3484.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3339.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3236.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3109.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2958.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2961.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2993.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3119.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3305.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3385.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3555.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3985.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4150.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4500.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4628.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4837.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4860.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4484.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4496.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4606.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4757.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4978.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5344.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5471.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5623.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5970.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6349.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6778.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,7608.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,7888.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,8046.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,13808.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,13737.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12328.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,14027.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,15436.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,16660.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,16633.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,17584.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18830.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,19958.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,21090.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,22111.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,23165.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,24689.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,25741.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,26496.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1071.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1056.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1063.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1028.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1105.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1160.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1160.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1188.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1329.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1437.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1664.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1955.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2406.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2691.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2785.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2875.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,10134.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9857.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9224.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9284.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9243.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9143.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9105.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9668.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,10475.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,11479.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,12813.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,13967.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,15599.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,17043.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18259.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,18710.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,35892.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,35688.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,32856.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,33436.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,34448.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,35346.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,37622.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,40638.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,44330.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,47929.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,50866.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,54724.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,56753.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,60421.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,64421.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,66566.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5760.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5969.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6413.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6525.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6335.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6226.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5974.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5990.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6083.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6295.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6620.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,7138.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,7835.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9016.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9720.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,10360.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1243.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1365.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1362.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1375.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1434.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1641.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1734.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1808.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1856.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1903.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1952.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1961.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2031.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2203.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2441.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2535.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4328.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4440.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4601.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4440.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4624.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4789.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5172.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5850.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6813.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,7861.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9042.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9496.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,9846.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,10885.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,11245.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,11340.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2825.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2964.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2997.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2976.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3142.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3330.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3633.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3962.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4198.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4561.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4970.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5061.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5401.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5810.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6336.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6563.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2071.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2135.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2149.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2131.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2192.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2219.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2248.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2356.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2400.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2575.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2741.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3116.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3101.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3358.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3549.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3581.0
2005,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1615.0
2006,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1759.0
2007,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1971.0
2008,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,1937.0
2009,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2169.0
2010,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2437.0
2011,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2517.0
2012,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,2860.0
2013,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3396.0
2014,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,3852.0
2015,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4243.0
2016,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4488.0
2017,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,4846.0
2018,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,5500.0
2019,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,6655.0
2020,Anzahl,,,Studierende aus den übrigen Entwicklungs- und Schwellenländern,7388.0
2005,Anzahl,,,Forschende aus LDCs,209.0
2006,Anzahl,,,Forschende aus LDCs,212.0
2007,Anzahl,,,Forschende aus LDCs,207.0
2008,Anzahl,,,Forschende aus LDCs,254.0
2009,Anzahl,,,Forschende aus LDCs,299.0
2010,Anzahl,,,Forschende aus LDCs,331.0
2011,Anzahl,,,Forschende aus LDCs,382.0
2012,Anzahl,,,Forschende aus LDCs,420.0
2013,Anzahl,,,Forschende aus LDCs,476.0
2014,Anzahl,,,Forschende aus LDCs,500.0
2015,Anzahl,,,Forschende aus LDCs,517.0
2016,Anzahl,,,Forschende aus LDCs,558.0
2017,Anzahl,,,Forschende aus LDCs,649.0
2018,Anzahl,,,Forschende aus LDCs,687.0
2019,Anzahl,,,Forschende aus LDCs,681.0
2020,Anzahl,,,Forschende aus LDCs,838.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,40.0
2007,Anzahl,,,Forschende aus LDCs,45.0
2008,Anzahl,,,Forschende aus LDCs,52.0
2009,Anzahl,,,Forschende aus LDCs,51.0
2010,Anzahl,,,Forschende aus LDCs,57.0
2011,Anzahl,,,Forschende aus LDCs,85.0
2012,Anzahl,,,Forschende aus LDCs,96.0
2013,Anzahl,,,Forschende aus LDCs,93.0
2014,Anzahl,,,Forschende aus LDCs,98.0
2015,Anzahl,,,Forschende aus LDCs,106.0
2016,Anzahl,,,Forschende aus LDCs,118.0
2017,Anzahl,,,Forschende aus LDCs,150.0
2018,Anzahl,,,Forschende aus LDCs,140.0
2019,Anzahl,,,Forschende aus LDCs,141.0
2020,Anzahl,,,Forschende aus LDCs,146.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,26.0
2007,Anzahl,,,Forschende aus LDCs,23.0
2008,Anzahl,,,Forschende aus LDCs,24.0
2009,Anzahl,,,Forschende aus LDCs,35.0
2010,Anzahl,,,Forschende aus LDCs,39.0
2011,Anzahl,,,Forschende aus LDCs,57.0
2012,Anzahl,,,Forschende aus LDCs,67.0
2013,Anzahl,,,Forschende aus LDCs,68.0
2014,Anzahl,,,Forschende aus LDCs,71.0
2015,Anzahl,,,Forschende aus LDCs,70.0
2016,Anzahl,,,Forschende aus LDCs,60.0
2017,Anzahl,,,Forschende aus LDCs,75.0
2018,Anzahl,,,Forschende aus LDCs,63.0
2019,Anzahl,,,Forschende aus LDCs,76.0
2020,Anzahl,,,Forschende aus LDCs,105.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,6.0
2007,Anzahl,,,Forschende aus LDCs,5.0
2008,Anzahl,,,Forschende aus LDCs,7.0
2009,Anzahl,,,Forschende aus LDCs,8.0
2010,Anzahl,,,Forschende aus LDCs,10.0
2011,Anzahl,,,Forschende aus LDCs,11.0
2012,Anzahl,,,Forschende aus LDCs,12.0
2013,Anzahl,,,Forschende aus LDCs,19.0
2014,Anzahl,,,Forschende aus LDCs,22.0
2015,Anzahl,,,Forschende aus LDCs,25.0
2016,Anzahl,,,Forschende aus LDCs,34.0
2017,Anzahl,,,Forschende aus LDCs,30.0
2018,Anzahl,,,Forschende aus LDCs,31.0
2019,Anzahl,,,Forschende aus LDCs,35.0
2020,Anzahl,,,Forschende aus LDCs,36.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,3.0
2007,Anzahl,,,Forschende aus LDCs,2.0
2008,Anzahl,,,Forschende aus LDCs,6.0
2009,Anzahl,,,Forschende aus LDCs,8.0
2010,Anzahl,,,Forschende aus LDCs,8.0
2011,Anzahl,,,Forschende aus LDCs,5.0
2012,Anzahl,,,Forschende aus LDCs,8.0
2013,Anzahl,,,Forschende aus LDCs,7.0
2014,Anzahl,,,Forschende aus LDCs,4.0
2015,Anzahl,,,Forschende aus LDCs,7.0
2016,Anzahl,,,Forschende aus LDCs,13.0
2017,Anzahl,,,Forschende aus LDCs,6.0
2018,Anzahl,,,Forschende aus LDCs,8.0
2019,Anzahl,,,Forschende aus LDCs,18.0
2020,Anzahl,,,Forschende aus LDCs,27.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,5.0
2007,Anzahl,,,Forschende aus LDCs,3.0
2008,Anzahl,,,Forschende aus LDCs,6.0
2009,Anzahl,,,Forschende aus LDCs,8.0
2010,Anzahl,,,Forschende aus LDCs,8.0
2011,Anzahl,,,Forschende aus LDCs,6.0
2012,Anzahl,,,Forschende aus LDCs,5.0
2013,Anzahl,,,Forschende aus LDCs,10.0
2014,Anzahl,,,Forschende aus LDCs,9.0
2015,Anzahl,,,Forschende aus LDCs,13.0
2016,Anzahl,,,Forschende aus LDCs,11.0
2017,Anzahl,,,Forschende aus LDCs,11.0
2018,Anzahl,,,Forschende aus LDCs,10.0
2019,Anzahl,,,Forschende aus LDCs,11.0
2020,Anzahl,,,Forschende aus LDCs,12.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,8.0
2007,Anzahl,,,Forschende aus LDCs,11.0
2008,Anzahl,,,Forschende aus LDCs,5.0
2009,Anzahl,,,Forschende aus LDCs,7.0
2010,Anzahl,,,Forschende aus LDCs,14.0
2011,Anzahl,,,Forschende aus LDCs,14.0
2012,Anzahl,,,Forschende aus LDCs,14.0
2013,Anzahl,,,Forschende aus LDCs,19.0
2014,Anzahl,,,Forschende aus LDCs,20.0
2015,Anzahl,,,Forschende aus LDCs,15.0
2016,Anzahl,,,Forschende aus LDCs,19.0
2017,Anzahl,,,Forschende aus LDCs,23.0
2018,Anzahl,,,Forschende aus LDCs,20.0
2019,Anzahl,,,Forschende aus LDCs,19.0
2020,Anzahl,,,Forschende aus LDCs,29.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,18.0
2007,Anzahl,,,Forschende aus LDCs,19.0
2008,Anzahl,,,Forschende aus LDCs,20.0
2009,Anzahl,,,Forschende aus LDCs,17.0
2010,Anzahl,,,Forschende aus LDCs,27.0
2011,Anzahl,,,Forschende aus LDCs,25.0
2012,Anzahl,,,Forschende aus LDCs,26.0
2013,Anzahl,,,Forschende aus LDCs,36.0
2014,Anzahl,,,Forschende aus LDCs,40.0
2015,Anzahl,,,Forschende aus LDCs,42.0
2016,Anzahl,,,Forschende aus LDCs,53.0
2017,Anzahl,,,Forschende aus LDCs,58.0
2018,Anzahl,,,Forschende aus LDCs,59.0
2019,Anzahl,,,Forschende aus LDCs,43.0
2020,Anzahl,,,Forschende aus LDCs,42.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,5.0
2007,Anzahl,,,Forschende aus LDCs,3.0
2008,Anzahl,,,Forschende aus LDCs,4.0
2009,Anzahl,,,Forschende aus LDCs,5.0
2010,Anzahl,,,Forschende aus LDCs,5.0
2011,Anzahl,,,Forschende aus LDCs,14.0
2012,Anzahl,,,Forschende aus LDCs,11.0
2013,Anzahl,,,Forschende aus LDCs,11.0
2014,Anzahl,,,Forschende aus LDCs,13.0
2015,Anzahl,,,Forschende aus LDCs,9.0
2016,Anzahl,,,Forschende aus LDCs,13.0
2017,Anzahl,,,Forschende aus LDCs,17.0
2018,Anzahl,,,Forschende aus LDCs,13.0
2019,Anzahl,,,Forschende aus LDCs,9.0
2020,Anzahl,,,Forschende aus LDCs,14.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,32.0
2007,Anzahl,,,Forschende aus LDCs,27.0
2008,Anzahl,,,Forschende aus LDCs,26.0
2009,Anzahl,,,Forschende aus LDCs,30.0
2010,Anzahl,,,Forschende aus LDCs,30.0
2011,Anzahl,,,Forschende aus LDCs,26.0
2012,Anzahl,,,Forschende aus LDCs,31.0
2013,Anzahl,,,Forschende aus LDCs,35.0
2014,Anzahl,,,Forschende aus LDCs,41.0
2015,Anzahl,,,Forschende aus LDCs,41.0
2016,Anzahl,,,Forschende aus LDCs,48.0
2017,Anzahl,,,Forschende aus LDCs,57.0
2018,Anzahl,,,Forschende aus LDCs,58.0
2019,Anzahl,,,Forschende aus LDCs,49.0
2020,Anzahl,,,Forschende aus LDCs,57.0
2005,Anzahl,,,Forschende aus LDCs,
2006,Anzahl,,,Forschende aus LDCs,24.0
2007,Anzahl,,,Forschende aus LDCs,24.0
2008,Anzahl,,,Forschende aus LDCs,48.0
