Year,Units,Series,Region,GeoCode,Value
2015,Total,Primärenergieverbrauch,Hamburg,code02,107.1
2016,Total,Primärenergieverbrauch,Hamburg,code02,110.2
2017,Total,Primärenergieverbrauch,Hamburg,code02,113.0
2018,Total,Primärenergieverbrauch,Hamburg,code02,109.0
2019,Total,Primärenergieverbrauch,Hamburg,code02,111.2
2008,Total,Primärenergieverbrauch,Hessen,code06,100.0
2009,Total,Primärenergieverbrauch,Hessen,code06,83.7
2010,Total,Primärenergieverbrauch,Hessen,code06,95.2
2011,Total,Primärenergieverbrauch,Hessen,code06,83.5
2012,Total,Primärenergieverbrauch,Hessen,code06,80.8
2013,Total,Primärenergieverbrauch,Hessen,code06,81.4
2014,Total,Primärenergieverbrauch,Hessen,code06,80.3
2015,Total,Primärenergieverbrauch,Hessen,code06,81.5
2016,Total,Primärenergieverbrauch,Hessen,code06,83.5
2017,Total,Primärenergieverbrauch,Hessen,code06,99.1
2018,Total,Primärenergieverbrauch,Hessen,code06,85.8
2019,Total,Primärenergieverbrauch,Hessen,code06,99.0
2008,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,100.0
2009,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,95.1
2010,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,101.9
2011,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,98.3
2012,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,103.9
2013,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,104.6
2014,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,104.2
2015,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,102.1
2016,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,106.1
2017,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,98.0
2018,Total,Primärenergieverbrauch,Mecklenburg-Vorpommern,code13,89.3
2008,Total,Primärenergieverbrauch,Niedersachsen,code03,100.0
2009,Total,Primärenergieverbrauch,Niedersachsen,code03,97.7
2010,Total,Primärenergieverbrauch,Niedersachsen,code03,100.8
2011,Total,Primärenergieverbrauch,Niedersachsen,code03,91.8
2012,Total,Primärenergieverbrauch,Niedersachsen,code03,90.6
2013,Total,Primärenergieverbrauch,Niedersachsen,code03,91.0
2014,Total,Primärenergieverbrauch,Niedersachsen,code03,90.2
2015,Total,Primärenergieverbrauch,Niedersachsen,code03,89.5
2016,Total,Primärenergieverbrauch,Niedersachsen,code03,89.5
2017,Total,Primärenergieverbrauch,Niedersachsen,code03,92.2
2018,Total,Primärenergieverbrauch,Niedersachsen,code03,91.1
2019,Total,Primärenergieverbrauch,Niedersachsen,code03,98.3
2008,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,100.0
2009,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,100.7
2010,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,105.7
2011,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,101.9
2012,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,100.6
2013,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,100.5
2014,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,102.5
2015,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,101.6
2016,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,96.7
2017,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,94.3
2018,Total,Primärenergieverbrauch,Nordrhein-Westfalen,code05,84.5
2008,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,100.0
2009,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,92.7
2010,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,100.1
2011,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,94.5
2012,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,94.3
2013,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,97.8
2014,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,92.6
2015,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,95.1
2016,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,96.3
2017,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,106.0
2018,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,95.6
2019,Total,Primärenergieverbrauch,Rheinland-Pfalz,code07,101.8
2008,Total,Primärenergieverbrauch,Saarland,code10,100.0
2009,Total,Primärenergieverbrauch,Saarland,code10,82.9
2010,Total,Primärenergieverbrauch,Saarland,code10,87.4
2011,Total,Primärenergieverbrauch,Saarland,code10,91.7
2012,Total,Primärenergieverbrauch,Saarland,code10,94.8
2013,Total,Primärenergieverbrauch,Saarland,code10,99.3
2014,Total,Primärenergieverbrauch,Saarland,code10,90.8
2015,Total,Primärenergieverbrauch,Saarland,code10,87.7
2008,Total,Primärenergieverbrauch,Sachsen,code14,100.0
2009,Total,Primärenergieverbrauch,Sachsen,code14,99.5
2010,Total,Primärenergieverbrauch,Sachsen,code14,101.2
2011,Total,Primärenergieverbrauch,Sachsen,code14,96.7
2012,Total,Primärenergieverbrauch,Sachsen,code14,98.4
2013,Total,Primärenergieverbrauch,Sachsen,code14,101.5
2014,Total,Primärenergieverbrauch,Sachsen,code14,99.4
2015,Total,Primärenergieverbrauch,Sachsen,code14,97.7
2016,Total,Primärenergieverbrauch,Sachsen,code14,100.5
2017,Total,Primärenergieverbrauch,Sachsen,code14,104.3
2018,Total,Primärenergieverbrauch,Sachsen,code14,101.9
2008,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,100.0
2009,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,99.1
2010,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,104.3
2011,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,102.3
2012,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,102.8
2013,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,97.0
2014,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,97.0
2015,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,100.2
2016,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,103.2
2017,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,100.3
2018,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,103.8
2019,Total,Primärenergieverbrauch,Sachsen-Anhalt,code15,99.2
2008,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,100.0
2009,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,97.2
2010,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,102.1
2011,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,97.3
2012,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,96.8
2013,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,100.2
2014,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,96.7
2015,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,93.9
2016,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,95.9
2017,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,88.9
2018,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,95.5
2019,Total,Primärenergieverbrauch,Schleswig-Holstein,code01,97.7
2008,Total,Primärenergieverbrauch,Thüringen,code16,100.0
2009,Total,Primärenergieverbrauch,Thüringen,code16,96.1
2010,Total,Primärenergieverbrauch,Thüringen,code16,100.0
2011,Total,Primärenergieverbrauch,Thüringen,code16,95.2
2012,Total,Primärenergieverbrauch,Thüringen,code16,96.8
2013,Total,Primärenergieverbrauch,Thüringen,code16,98.7
2014,Total,Primärenergieverbrauch,Thüringen,code16,92.9
2015,Total,Primärenergieverbrauch,Thüringen,code16,93.7
2016,Total,Primärenergieverbrauch,Thüringen,code16,96.8
2017,Total,Primärenergieverbrauch,Thüringen,code16,101.6
2018,Total,Primärenergieverbrauch,Thüringen,code16,95.4
